fiscal_year,data_from_table,bse_advances,bse_declines,bse_advance_decline_ratio,nse_advances,nse_declines,nse_advance_decline_ratio,msei_advances,msei_declines,msei_advance_decline_ratio,released_on,updated_on,data_source,data_url
2013-14,Table 25: Advances/Declines in Equity Cash Segment,1017,2586,0.39327146171693733,351,1230,0.28536585365853656,40,28,1.4285714285714286,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,Table 25: Advances/Declines in Equity Cash Segment,2738,942,2.9065817409766455,1387,205,6.765853658536585,4,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,Table 25: Advances/Declines in Equity Cash Segment,1896,1876,1.0106609808102345,858,698,1.2292263610315186,4,6,0.6666666666666666,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,Table 25: Advances/Declines in Equity Cash Segment,2137,1650,1.2951515151515152,993,627,1.5837320574162679,8,8,1,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,Table 25: Advances/Declines in Equity Cash Segment,703,2691,0.26124117428465254,1202,512,2.34765625,1,8,0.125,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,Table 25: Advances/Declines in Equity Cash Segment,1156,2730,0.42344322344322344,585,1294,0.4520865533230294,2,5,0.4,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,Table 25: Advances/Declines in Equity Cash Segment,793,3134,0.2530312699425654,440,1530,0.2875816993464052,6,3,2,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,Table 25: Advances/Declines in Equity Cash Segment,1711,2151,0.79544398,977,1044,0.94,0,4,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,Table 25: Advances/Declines in Equity Cash Segment,3430,488,7.028688524590164,308,1787,0.17,2,3,0.6666666666666666,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,Table 25: Advances/Declines in Equity Cash Segment,2367,1599,1.480300188,1285,953,1.35,2,4,0.5,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,Table 25: Advances/Declines in Equity Cash Segment,2772,1284,2.1588785046728973,1768,690,2.56231884057971,3,0,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,Table 25: Advances/Declines in Equity Cash Segment,3149,1053,2.990503323836657,2078,776,2.6778350515463916,1,5,0.2,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
