fiscal_year,month,month_numeric,data_from_table,bse_advances,bse_declines,bse_advance_decline_ratio,nse_advances,nse_declines,nse_advance_decline_ratio,msei_advances,msei_declines,msei_advance_decline_ratio,released_on,updated_on,data_source,data_url
2013-14,April,4,Table 25: Advances/Declines in Equity Cash Segment,1184,2196,0.5391621129326047,521,1045,0.49856459330143543,29,30,0.9666666666666667,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,May,5,Table 25: Advances/Declines in Equity Cash Segment,1638,1613,1.0154990700557966,729,594,1.2272727272727273,5,49,0.10204081632653061,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,June,6,Table 25: Advances/Declines in Equity Cash Segment,933,2245,0.4155902004454343,242,1081,0.2238667900092507,45,7,6.428571428571429,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,July,7,Table 25: Advances/Declines in Equity Cash Segment,1156,2006,0.576271186440678,427,901,0.4739178690344062,29,33,0.8787878787878788,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,August,8,Table 25: Advances/Declines in Equity Cash Segment,823,2347,0.35066041755432464,175,1021,0.1714005876591577,32,21,1.5238095238095237,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,September,9,Table 25: Advances/Declines in Equity Cash Segment,1819,1371,1.3267687819110139,835,360,2.3194444444444446,11,40,0.275,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,October,10,Table 25: Advances/Declines in Equity Cash Segment,2012,1245,1.6160642570281125,916,273,3.3553113553113554,33,18,1.8333333333333333,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,November,11,Table 25: Advances/Declines in Equity Cash Segment,1954,1328,1.4713855421686748,820,354,2.3163841807909606,38,12,3.1666666666666665,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,December,12,Table 25: Advances/Declines in Equity Cash Segment,1819,1470,1.2374149659863947,757,423,1.789598108747045,26,27,0.9629629629629629,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,January,1,Table 25: Advances/Declines in Equity Cash Segment,1978,892,2.217488789237668,660,515,1.2815533980582525,31,20,1.55,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,February,2,Table 25: Advances/Declines in Equity Cash Segment,897,1810,0.49558011049723755,382,1138,0.335676625659051,30,21,1.4285714285714286,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,March,3,Table 25: Advances/Declines in Equity Cash Segment,1655,1367,1.21,968,556,1.7410071942446044,38,12,3.1666666666666665,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,April,4,Table 25: Advances/Declines in Equity Cash Segment,2439,1039,2.3474494706448508,1316,219,6.0091324200913245,4,3,1.3333333333333333,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,May,5,Table 25: Advances/Declines in Equity Cash Segment,2478,1033,2.398838334946757,1241,306,4.055555555555555,3,1,3,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,June,6,Table 25: Advances/Declines in Equity Cash Segment,3013,559,5.389982110912343,1432,118,12.135593220338983,1,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,July,7,Table 25: Advances/Declines in Equity Cash Segment,2082,1506,1.3824701195219125,894,654,1.3669724770642202,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,August,8,Table 25: Advances/Declines in Equity Cash Segment,1546,2026,0.7630799605133267,639,953,0.670514165792235,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,September,9,Table 25: Advances/Declines in Equity Cash Segment,2351,1249,1.8823058446757406,1121,468,2.3952991452991452,1,2,0.5,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,October,10,Table 25: Advances/Declines in Equity Cash Segment,1431,2177,0.6573265962333487,516,1071,0.48179271708683474,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,November,11,Table 25: Advances/Declines in Equity Cash Segment,1944,1143,1.7007874015748032,1012,548,1.8467153284671534,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,December,12,Table 25: Advances/Declines in Equity Cash Segment,1332,1762,0.7559591373439274,552,1007,0.548162859980139,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
