fiscal_year,data_from_table,released_on,updated_on,data_source,data_url,mutual_fund_name,net_resource_mobilisation_inr_crore
2013-14,Table 60 AMC-Wise Net Resource Mobilisation (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,Aditya Birla Sunlife Mutual Fund,8651.489842458102
2014-15,Table 60 AMC-Wise Net Resource Mobilisation (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,Aditya Birla Sunlife Mutual Fund,17205.25028409064
2015-16,Table 60 AMC-Wise Net Resource Mobilisation (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,Aditya Birla Sunlife Mutual Fund,6642.69
2016-17,Table 60 AMC-Wise Net Resource Mobilisation (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,Aditya Birla Sunlife Mutual Fund,45378.88721756517
2017-18,Table 60 AMC-Wise Net Resource Mobilisation (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,Aditya Birla Sunlife Mutual Fund,30614.738788321378
2018 - 19,Table 60 AMC-Wise Net Resource Mobilisation (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,Aditya Birla Sunlife Mutual Fund,-3050.84
2019-20,Table 60 AMC-Wise Net Resource Mobilisation (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,Aditya Birla Sunlife Mutual Fund,-24219.793776866674
2020-21,Table 60 AMC-Wise Net Resource Mobilisation (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,Aditya Birla Sunlife Mutual Fund,8982.74
2021-22,Table 60 AMC-Wise Net Resource Mobilisation (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,Aditya Birla Sunlife Mutual Fund,-377.3473230777381
2022-23,Table 60 AMC-Wise Net Resource Mobilisation (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,Aditya Birla Sunlife Mutual Fund,-22370.834114555957
2023-24,Table 60 AMC-Wise Net Resource Mobilisation (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,Aditya Birla Sunlife Mutual Fund,-1844.7115216793786
2024-25,Table 60 AMC-Wise Net Resource Mobilisation (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,Aditya Birla Sunlife Mutual Fund,24076.032822702153
2013-14,Table 60 AMC-Wise Net Resource Mobilisation (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,Axis Mutual Fund,4230.699208415001
2014-15,Table 60 AMC-Wise Net Resource Mobilisation (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,Axis Mutual Fund,7257.31169619604
2015-16,Table 60 AMC-Wise Net Resource Mobilisation (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,Axis Mutual Fund,8318.98
2016-17,Table 60 AMC-Wise Net Resource Mobilisation (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,Axis Mutual Fund,16140.080848561825
2017-18,Table 60 AMC-Wise Net Resource Mobilisation (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,Axis Mutual Fund,7075.115753544002
2018 - 19,Table 60 AMC-Wise Net Resource Mobilisation (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,Axis Mutual Fund,15196.22
2019-20,Table 60 AMC-Wise Net Resource Mobilisation (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,Axis Mutual Fund,33802.80004588443
2020-21,Table 60 AMC-Wise Net Resource Mobilisation (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,Axis Mutual Fund,35868.678
2021-22,Table 60 AMC-Wise Net Resource Mobilisation (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,Axis Mutual Fund,38306.19905763
2022-23,Table 60 AMC-Wise Net Resource Mobilisation (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,Axis Mutual Fund,-17704.72470625
2023-24,Table 60 AMC-Wise Net Resource Mobilisation (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,Axis Mutual Fund,-20687.88060261
2024-25,Table 60 AMC-Wise Net Resource Mobilisation (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,Axis Mutual Fund,17291.69790224
2013-14,Table 60 AMC-Wise Net Resource Mobilisation (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,Baroda Mutual Fund,300.9899999999801
2014-15,Table 60 AMC-Wise Net Resource Mobilisation (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,Baroda Mutual Fund,-1565.1517848389974
2015-16,Table 60 AMC-Wise Net Resource Mobilisation (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,Baroda Mutual Fund,204.99
2016-17,Table 60 AMC-Wise Net Resource Mobilisation (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,Baroda Mutual Fund,1334.8207598949887
2017-18,Table 60 AMC-Wise Net Resource Mobilisation (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,Baroda Mutual Fund,983.2014020979999
2018 - 19,Table 60 AMC-Wise Net Resource Mobilisation (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,Baroda Mutual Fund,-791.01
