fiscal_year,data_from_table,fpi_fii_sa_no,fpi_fii_sa_amt,insurance_company_no,insurance_company_amt,mutual_funds_no,mutual_funds_amt,fdi_investments_no,fdi_investments_amt,foreign_depository_no,foreign_depository_amt,banks_no,banks_amt,financial_institutions_no,financial_institutions_amt,local_pension_funds_no,local_pension_funds_amt,foreign_venture_capital_investment_no,foreign_venture_capital_investment_amt,corporates_no,corporates_amt,portfolio_management_services_no,portfolio_management_services_amt,nris_no,nris_amt,global_depository_receipts_no,global_depository_receipts_amt,ocbs_no,ocbs_amt,others_no,others_amt,total_no,total_amt,released_on,updated_on,data_source,data_url
2013-14,Table 56: Assets under the Custody of Custodians (Amount in ₹   crore),,1593869,,958995,,767869,,294945,,190529,,143931,,169287,,76961,,48854,,54189,,20419,,1318,,5358,,1178,,272545,,4600247,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,Table 56: Assets under the Custody of Custodians (Amount in ₹   crore),8328,2411863,448,372197,1948,883162,1284,454886,61,252749,41,126781,21,20819,41,4328,177,52183,323,54877,3784,28662,271,2000,663,7515,25,1784,2699,339597.09,20114,5013404.949999999,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,Table 56: Assets under the Custody of Custodians (Amount in ₹   crore),8855,2224537,489,1227301,1807,1101724,1411,468498,63,235914,114,192946,31,69999,92,116990,189,57928,401,57784,5223,35397,345,2327,664,5552,23,1658,5032,388448.4700000001,24739,6187003.96,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,Table 56: Assets under the Custody of Custodians (Amount in ₹   crore),8956,2705729,766,1440523,1663,1536949,1532,591977,64,272830,115,303380,29,74174,96,227369,188,31695,434,73927,5824,64149,330,2849,650,7946,22,2175,4846,471092.52,25515,7806763.77,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,Table 56: Assets under the Custody of Custodians (Amount in ₹   crore),9326,3148350,856,1578987,1541,1978172,1651,733302,64,295548,114,352781,27,109010,120,332925,188,31420,459,87065,7988,91970,415,3249,619,6271,23,2425,6973,564216.78,30364,9315688.09,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,Table 56: Assets under the Custody of Custodians (Amount in ₹   crore),9556,3342680,781,1732889,1755,2278220,1867,802860,64,354340,117,320445,25,60866,120,422317,201,37261,499,104563,10804,103937,547,3486,583,3951,24,1949,7631,683200.04,34574,10252963.96,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,Table 56: Assets under the Custody of Custodians (Amount in ₹   crore),9823,2490223.13,788,1547955.17,1624,1891120.2000000002,2079,832863.6900000001,66,227791.97,121,412044.01999999996,25,40702.490000000005,124,477968.29000000004,208,38124.84,598,88517.75,14715,89045.47,693,2098.92,583,20020.229999999996,25,1582.04,10297,858649.38,41769,9018707.59,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,Table 56: Assets under the Custody of Custodians (Amount in ₹   crore),10178,4462903.279999999,794,2164195.9000000004,1582,2478604.9400000004,2340,1305900.2699999998,66,456690.09,79,555211.81,27,39926.51,98,600289.0400000002,215,42525.5,679,117686.38,18897,144114.52,792,3345.92,561,21853.25,23,2208.4499999999994,12262,1068405.86,48593,13463861.72,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,Table 56: Assets under the Custody of Custodians (Amount in ₹   crore),10742,5097011.77,732,2590262.96,1529,3057108.9199999995,2716,1911826.3600000003,10,521600.97000000003,78,589129.29,23,38789.950000000004,80,646576.6399999999,220,42090.030000000006,995,234027.32,25657,221417.44000000003,1239,3044.5400000000004,560,23651.770000000004,23,2005.08,17130,1257390.58,61734,16235933.620000001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,Table 56: Assets under the Custody of Custodians (Amount in ₹   crore),11216,4870792,768,2942186,1497,3300913,3077,2085733,16,480942,87,660272,23,48128,128,869641,222,45786,1274,245151,26986,254075,1345,3363,559,23734,23,458,22271,1391196,69492,17222369,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
