fiscal_year,year,month,month_numeric,data_from_table,measure_type,portfolio_category,line_item,value,released_on,updated_on,data_source,data_url
2013-14,2013,April,4,Table 62: Assets Under Management by Portfolio Managers,number_of_clients,discretionary,,49102,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,April,4,Table 62: Assets Under Management by Portfolio Managers,number_of_clients,non_discretionary,,4751,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,April,4,Table 62: Assets Under Management by Portfolio Managers,number_of_clients,advisory,,11210,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,April,4,Table 62: Assets Under Management by Portfolio Managers,aum_inr_crore,discretionary,listed_equity,15826.8582,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,April,4,Table 62: Assets Under Management by Portfolio Managers,aum_inr_crore,discretionary,unlisted_equity,1523.6106000000002,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,April,4,Table 62: Assets Under Management by Portfolio Managers,aum_inr_crore,discretionary,plain_debt,467165.6481000001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,April,4,Table 62: Assets Under Management by Portfolio Managers,aum_inr_crore,discretionary,structured_debt,993.0794000000001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,April,4,Table 62: Assets Under Management by Portfolio Managers,aum_inr_crore,discretionary,equity_derivative,74.82359999999998,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,April,4,Table 62: Assets Under Management by Portfolio Managers,aum_inr_crore,discretionary,mutual_fund,3867.7339000000006,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,April,4,Table 62: Assets Under Management by Portfolio Managers,aum_inr_crore,discretionary,others,15360.580100000005,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
