fiscal_year,year,month,month_numeric,data_from_table,released_on,updated_on,data_source,data_url,period_date,fpi_fii_sa_no,fpi_fii_sa_amt,insurance_company_no,insurance_company_amt,mutual_funds_no,mutual_funds_amt,fdi_investments_no,fdi_investments_amt,foreign_depository_no,foreign_depository_amt,banks_no,banks_amt,financial_institutions_no,financial_institutions_amt,local_pension_funds_no,local_pension_funds_amt,foreign_venture_capital_investment_no,foreign_venture_capital_investment_amt,corporates_no,corporates_amt,portfolio_management_services_no,portfolio_management_services_amt,nris_no,nris_amt,global_depository_receipts_no,global_depository_receipts_amt,ocbs_no,ocbs_amt,others_no,others_amt,total_no,total_amt
2013-14,2013,April,4,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2013-04-01,,1391619,,983951,,733118,,249790,,164579,,128698,,79057,,62540,,54346,,52726,,24742,,8272,,5293,,1026,,244149,,4183906
2013-14,2013,May,5,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2013-05-01,,1438980,,978674,,742476,,257193,,167054,,124382,,79014,,63969,,50966,,53257,,24350,,800,,4611,,1047,,248163,,4234936
2013-14,2013,June,6,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2013-06-01,,1349184,,969168,,701907,,253414,,159512,,132358,,73028,,64807,,51427,,51693,,23359,,795,,5421,,1038,,244142,,4081253
2013-14,2013,July,7,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2013-07-01,,1293687,,943252,,663559,,251485,,152452,,144491,,70221,,66632,,52032,,52919,,22026,,755,,5112,,1025,,245779,,3965427
2013-14,2013,August,8,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2013-08-01,,1242154,,923383,,587099,,242927,,150120,,136389,,65258,,67712,,51798,,53997,,22026,,723,,3997,,1157,,247846,,3796586
2013-14,2013,September,9,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2013-09-01,,1310194,,952732,,633798,,259103,,156677,,123523,,70393,,68323,,51952,,58661,,20721,,748,,5196,,1164,,251358,,3964543
2013-14,2013,October,10,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2013-10-01,,1416560,,995013,,733133,,275537,,178661,,140567,,73175,,69659,,52575,,47472,,21722,,807,,5310,,1230,,256423,,4267844
2013-14,2013,November,11,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2013-11-01,,1406462,,984245,,726473,,274322,,176856,,148828,,72310,,70151,,52698,,49773,,21771,,811,,5712,,1227,,258150,,4249789
2013-14,2013,December,12,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2013-12-01,,1464355,,990396,,724921,,296652,,181060,,141871,,71629,,71263,,52427,,50088,,22555,,903,,6215,,1386,,256490,,4332211
2013-14,2014,January,1,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2014-01-01,,1426875,,965147,,750244,,284118,,172556,,145143,,70347,,74304,,74043,,50493,,22090,,1023,,5893,,1441,,262187,,4305904
2013-14,2014,February,2,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2014-02-01,,1473802,,990382,,765820,,282353,,182951,,141953,,71332,,75160,,52566,,50435,,21488,,1111,,6007,,1095,,262351,,4378806
2013-14,2014,March,3,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2014-03-01,,1593869,,958995,,767869,,294945,,190529,,143931,,169287,,76961,,48854,,54189,,20419,,1318,,5358,,1178,,272545,,4600247
2014-15,2014,April,4,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2014-04-01,,1606596,,960642,,830106,,295772,,190760,,148248,,170286,,76542,,49040,,55067,,21482,,1512,,6342,,1143,,273974,,4687512
2014-15,2014,May,5,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2014-05-01,,1770781,,1033012,,863308,,321937,,207778,,150628,,175243,,108026,,49834,,59398,,22512,,1620,,6580,,1272,,275753,,5047682
2014-15,2014,June,6,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2014-06-01,8425,1909535,431,344569,1960,788738,1233,333409,73,215250,37,89956,23,16674,40,3698,166,48680,287,43103,3380,20732,228,1685,684,6747,26,1437,1972,288500,18965,4112713
2014-15,2014,July,7,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2014-07-01,8407,1971945,433,351012,1947,805683,1239,339452,73,219623,40,102003,22,17625,42,3735,171,49110,290,42425,3382,23000,231,1697,685,6755,26,1496,2006,296329,18994,4231890
2014-15,2014,August,8,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2014-08-01,8234,2047291,432,357091,1949,827030,1236,360700,73,230306,40,110892,22,17324,42,3730,172,50697,297,42967,3341,23266,230,1771,686,7306,26,1495,2065,304513,18845,4386379
