fiscal_year,data_from_table,bse_s_p_bse_sensex,bse_market_capitalisation_inr_crore,nse_nifty_50,nse_market_capitalisation_inr_crore,msei_sx40,msei_market_capitalisation_inr_crore,released_on,updated_on,data_source,data_url
2013-14,Table 21: Averages of Major Indices and  Market Capitalisation,20120.123784860556,7415296.09,6009.51,7277720,11960.046573705169,7239669.836141344,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,Table 21: Averages of Major Indices and  Market Capitalisation,26556.532757201636,10149289.97,7967.34,9930122,15672.681728395055,9825989.803,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,Table 21: Averages of Major Indices and  Market Capitalisation,26322.096315789495,9475328.34,7983.79,9310471,15737.1171659919,9182759.424917074,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,Table 21: Averages of Major Indices and  Market Capitalisation,27338.2224596774,12154525.46,8421.19,11978421,16491.60487903226,11831270.931585776,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,Table 21: Averages of Major Indices and  Market Capitalisation,32396.83178861788,14224996.97,10030.13,14044152,19395.385121951225,13896723.831919141,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,Table 21: Averages of Major Indices and  Market Capitalisation,35971.78822580646,15108711.01,10859.51,14934227,21229.953870967747,14751584.31,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,Table 21: Averages of Major Indices and  Market Capitalisation,38756.69943319839,11348756.59,11487.96,11243112,22635.58502024291,11034810.51,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,Table 21: Averages of Major Indices and  Market Capitalisation,40826.38843373495,20430814.54,12016.888152610445,20295813,23839.99730923696,19488804.36,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,Table 21: Averages of Major Indices and  Market Capitalisation,55774.57705645161,26406501.38,16662.742137096775,26219158.7498226,32728.63302419357,24177248.86871172,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,Table 21: Averages of Major Indices and  Market Capitalisation,58307.52204819275,25819896,17335.919477911637,25632704.3672942,33882.14281124497,25157438.1,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,Table 21: Averages of Major Indices and  Market Capitalisation,66822.73373983744,38697099.77,19978.281300813,38421667.5427958,38208.75089068829,38356305.41,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,Table 21: Averages of Major Indices and  Market Capitalisation,23825.97941,41287646.5,23776.71164658635,41086929.0057575,45133.47385542169,41854173.83,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
