fiscal_year,data_from_table,nse_market_capitalisation_inr_crore,nse_no_of_trading_days,nse_net_traded_value_inr_crore,nse_average_traded_value_inr_crore,released_on,updated_on,data_source,data_url
2013-14,Table 40: Business Growth on the Negotiated Trade Reporting Platform,5128733,243,851433.62,3503.842057613169,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,Table 40: Business Growth on the Negotiated Trade Reporting Platform,5739272,237,772369.06,3258.9411814345995,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,Table 40: Business Growth on the Negotiated Trade Reporting Platform,5965056,241,569494.67,2363.0484232365147,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,Table 40: Business Growth on the Negotiated Trade Reporting Platform,6610043,241,682426.2,2831.6439834024895,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,Table 40: Business Growth on the Negotiated Trade Reporting Platform,7267229,241,517889.42,2148.918755186722,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,Table 40: Business Growth on the Negotiated Trade Reporting Platform,8140887,242,353684.35,1461.5055785123966,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,Table 40: Business Growth on the Negotiated Trade Reporting Platform,9570055.03,242,414827.917,1714.164946280992,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,Table 40: Business Growth on the Negotiated Trade Reporting Platform,7885921.3,245,271695.8,1108.9624489795917,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,Table 40: Business Growth on the Negotiated Trade Reporting Platform,13321321.41,241,344855.82,1430.937012448133,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,Table 40: Business Growth on the Negotiated Trade Reporting Platform,14268186,244,352715.74,1445.5563114754098,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,Table 40: Business Growth on the Negotiated Trade Reporting Platform,16564797,240,431603.93,1798.3497083333334,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,Table 40: Business Growth on the Negotiated Trade Reporting Platform,19386823.852900006,241,627773.27,2604.868340248963,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
