fiscal_year,data_from_table,bse_turnover_proprietary,bse_turnover_fpi,bse_turnover_mutual_funds,bse_turnover_diis,bse_turnover_others,bse_open_interest_proprietary,bse_open_interest_fpi,bse_open_interest_mutual_funds,bse_open_interest_diis,bse_open_interest_others,nse_turnover_proprietary,nse_turnover_fpi,nse_turnover_mutual_funds,nse_turnover_diis,nse_turnover_others,nse_open_interest_proprietary,nse_open_interest_fpi,nse_open_interest_mutual_funds,nse_open_interest_diis,nse_open_interest_others,released_on,updated_on,data_source,data_url
2013-14,Table 28: Category-wise Share of Turnover & Open Interest in Equity Derivative Segment  (in per cent),80.82833333333333,0,0.00010833333333333333,0,19.17076666666667,74.2789,0,0,0,25.7211,47.7,15.2,0.14,0,36.95,18.240447801363786,36.45463834900532,4.036347167543467,1.8776977975178897,39.39086888456954,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,Table 28: Category-wise Share of Turnover & Open Interest in Equity Derivative Segment  (in per cent),90.46,0.00006683333333333334,0.000016666666666666667,0,9.539983166666667,84.9793,0,0,0,15.020700000000001,51.06,11.31,0.25,0,37.38,13.627259224288416,33.60889278750409,6.489424173126472,5.715426157041657,40.55899765803935,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,Table 28: Category-wise Share of Turnover & Open Interest in Equity Derivative Segment  (in per cent),85.4977782892468,0.0013651790558938095,0,0,14.5008565316973,65.8981,0,0,0,34.1,49.32,11.81,0.45,0,38.42,13.66945196457252,32.42793941455263,9.379996744499476,3.4699799942875127,41.05263188208786,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,Table 28: Category-wise Share of Turnover & Open Interest in Equity Derivative Segment  (in per cent),72.46182577956168,0,0,0,27.53817422043832,65.88785046728972,0,0,0,34.112149532710276,42.07,13.75,0.4,0,43.78,13.531549264864513,30.496942309777385,8.540442075386128,3.5180812389550544,43.91298511101691,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,Table 28: Category-wise Share of Turnover & Open Interest in Equity Derivative Segment  (in per cent),90.61643103468174,1.5461210552503115,0,0,7.83744791006795,0,0,0,0,100,42.37,11.53,0.46,0,45.63,11.487350205533517,24.406815717210055,12.805880445469755,5.855121860633939,45.44483177115275,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,Table 28: Category-wise Share of Turnover & Open Interest in Equity Derivative Segment  (in per cent),2,0,0,0,98,0,0,0,0,100,37.64,13.67,0.42,0,48.27,13.70616058735469,29.788325903200608,12.937148659385212,2.526308070384279,41.04205677967522,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,Table 28: Category-wise Share of Turnover & Open Interest in Equity Derivative Segment  (in per cent),59.88,0.02,0,0,40.1,52.91,0,0,0,47.09,33.13,19.32,0.3,0,47.24,13.31,27.02,14.33,0.85,44.48,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,Table 28: Category-wise Share of Turnover & Open Interest in Equity Derivative Segment  (in per cent),85.13163251234232,0.0005617782983008455,0,0,14.867805709359356,85.32981530343008,0,0,0,14.67018469656992,40.72,13.93,0.17,0,45.18,18.4,18.73,7.54,0,55.33,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,Table 28: Category-wise Share of Turnover & Open Interest in Equity Derivative Segment  (in per cent),83.52593108932335,0.0010296892375292826,0,0,16.473039221439134,9.498639408011627,1.4947445784134403,0,0,89.00661601357493,48.65,8.95,0.11,0,42.3,17.74,18.46,9.81,0,53.99,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,Table 28: Category-wise Share of Turnover & Open Interest in Equity Derivative Segment  (in per cent),75.311056988,0.002232338,0,0,24.686710674,18.324503933,0,0,0,81.675496067,53.23,7.37,0.05,0,39.35,19.940599110808776,17.28625718281481,6.0295923101905835,0,56.74355512238862,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
