fiscal_year,year,month,month_numeric,data_from_table,released_on,updated_on,data_source,data_url,period_date,gross_mobilisation_private_sector_inr_crore,gross_mobilisation_public_sector_inr_crore,gross_mobilisation_total_inr_crore,redemption_private_sector_inr_crore,redemption_public_sector_inr_crore,redemption_total_inr_crore,net_inflow_private_sector_inr_crore,net_inflow_public_sector_inr_crore,net_inflow_total_inr_crore,assets_at_end_of_period_inr_crore
2013-14,2013,April,4,Table 58  Category-wise Resource Mobilisation by Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2013-04-01,550268.3232318836,128341.89254838001,678610.2157802635,465846.193910803,106189.70372020901,572035.897631012,84422.12932108053,22152.188828171,106574.31814925153,825551.7172642057
2013-14,2013,May,5,Table 58  Category-wise Resource Mobilisation by Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2013-05-01,596199.4335972711,106857.474384315,703056.9079815862,562523.6066403282,103098.34743902399,665621.9540793522,33675.82695694345,3759.126945291032,37434.95390223448,868426.321711916
2013-14,2013,June,6,Table 58  Category-wise Resource Mobilisation by Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2013-06-01,568683.9872628152,129597.477199171,698281.4744619862,609404.8870653089,137279.83643556305,746684.7335008718,-40720.89980249357,-7682.359236392045,-48403.25903888559,811481.0525476965
2013-14,2013,July,7,Table 58  Category-wise Resource Mobilisation by Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2013-07-01,637638.742933634,139314.49947055598,776953.2424041899,689263.8989138813,137756.31485541796,827020.2137692994,-51625.15598024741,1558.1846151380105,-50066.971365109406,760832.823989331
2013-14,2013,August,8,Table 58  Category-wise Resource Mobilisation by Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2013-08-01,682127.2409067308,123109.83551265797,805237.0764193884,654828.0660467306,126696.176841373,781524.2428881032,27299.174859999694,-3586.3413287149415,23712.83353128475,766102.6829907501
2013-14,2013,September,9,Table 58  Category-wise Resource Mobilisation by Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2013-09-01,724293.2721990785,142587.8878127564,866881.1600118354,752528.5775548983,148262.1538374385,900790.731392337,-28235.305355819422,-5674.26602468218,-33909.5713805016,745968.6422571002
2013-14,2013,October,10,Table 58  Category-wise Resource Mobilisation by Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2013-10-01,795728.7166977413,185798.96000485867,981527.6667026002,748513.9204191812,166688.40803020744,915202.3184493883,47214.79627856071,19110.551974651156,66325.34825321185,833960.56
2013-14,2013,November,11,Table 58  Category-wise Resource Mobilisation by Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2013-11-01,656296.0115362061,134600.40161904343,790896.4231552482,606128.6611784464,135760.16256661748,741888.8337450642,50167.35035775945,-1159.7609475741283,49007.58941018535,889951.6378102038
2013-14,2013,December,12,Table 58  Category-wise Resource Mobilisation by Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2013-12-01,730489.6275767228,154141.51068060368,884631.1382573275,792491.8918075459,166716.82488003885,959208.7166875843,-62002.26423082315,-12575.314199434848,-74577.57843025801,825839.5140826295
2013-14,2014,January,1,Table 58  Category-wise Resource Mobilisation by Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2014-01-12,838626.4854898714,111793.24550433038,950419.7209942015,767356.0839385139,99530.5000916,866886.5740301143,71270.40155135712,12262.745412730445,83533.14696408754,903255.4221350461
