fiscal_year,data_from_table,bse_proprietary,bse_fpi,bse_mutual_funds,bse_banks,bse_diis,bse_nps,bse_ppfs_including_epfo,bse_others,nse_proprietary,nse_fpi,nse_mutual_funds,nse_banks,nse_diis,nse_nps,nse_pfs_including_epfo,nse_others,msei_proprietary,msei_fpi,msei_mutual_funds,msei_banks,msei_diis,msei_nps,msei_pfs_including_epfo,msei_others,released_on,updated_on,data_source,data_url
2013-14,Table 26: Category-wise Share of Turnover in Equity Cash Segment,20.71076378131742,13.57415339749467,2.7863851727884374,0.09148308295609751,3.339978848960114,0.004361358841217108,0,59.492874357642044,22.69,22.94,4.13,0.41,0.01,4.88,0,44.88,35.746349484963794,0,0,0.0008245809137070889,0,0,0,64.2528259341225,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,Table 26: Category-wise Share of Turnover in Equity Cash Segment,20.155603999609394,19.86673185300673,2.517655979634592,0.09525466365476946,2.014238211400313,0.0015425279155415275,0,55.348972764778665,21.05,20.52,4.46,0.48,0.02,3.71,0,49.71,24.85687532631231,0,0,0,0,0,0,75.1431246736877,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,Table 26: Category-wise Share of Turnover in Equity Cash Segment,18.892289170958644,17.34552957106156,3.284888828722327,0.1782759348261007,1.7328211199916848,0.001067940421541477,0,58.56512743401813,20.78,22.23,5.43,0.43,0.01,3.3,0,47.73,0,0,0,0,0,0,0,100,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,Table 26: Category-wise Share of Turnover in Equity Cash Segment,16.02733524356852,14.22898118152267,5.2850034076883,0.10072331323391408,1.588862283127536,0.0016733762074331296,0,62.76742119465163,16.91,20.27,6.21,0.42,0.09,3.11,0,52.89,0.05366745927653109,0,0,0,0,0,0,99.94633254072347,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,Table 26: Category-wise Share of Turnover in Equity Cash Segment,16.680746571499252,15.5384520747947,8.166646688962325,0.14993736423989096,2.0389807643101,0.0030192152063893735,0,57.42221732098735,18.07,15.95,7.29,0.48,0.01,2.33,0,55.78,0,0,0,0,0,0,0,100,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,Table 26: Category-wise Share of Turnover in Equity Cash Segment,22.35152523617315,12.89312022133822,7.938371780634539,0.051220867275423215,1.9905260208271518,0.0067024202018059476,0,54.76853345354971,21.54,15.1,7.49,0.22,0.01,2.47,0,53.07,0,0,0,0,0,0,0,100,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,Table 26: Category-wise Share of Turnover in Equity Cash Segment,27.638330646670372,9.976644983292854,7.3355729394431775,0.11697282202055022,0.0946019237236801,0.00567131679859204,0,54.83220536805078,22.75,15,7.41,0.15,0.01,2.5,0,52.18000000000001,0.0002512483170985231,0,0,0,0,0,0,99.9997487516829,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,Table 26: Category-wise Share of Turnover in Equity Cash Segment,32.39,12.17,2.91,0.06,1.73,0,,50.74,24.9,11.45,5.12,0.1,0.01,1.84,0,56.58,0,0,0,0,0,0,0,100,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,Table 26: Category-wise Share of Turnover in Equity Cash Segment,33.850580506248065,10.979365224763498,2.396320401772708,0.07278208608461921,1.9296621195465196,0.0016076023978337942,,50.76968205918677,27.53,12.21,6.29,0.1683333333333333,0.02,2.13,0,51.64,0,0,0,0,0,0,0,100,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,Table 26: Category-wise Share of Turnover in Equity Cash Segment,33.05342072993464,15.43148039539734,2.264074541841991,0.019251164043756673,2.515163142690363,0.006518092447089241,,46.710091933644826,27.240716114387403,15.070236823430974,7.986943917590366,0.17841662919410597,2.42,0.03956760334978476,,47.115181454618536,0.004455776834751698,0,0,0,0,0,0,99.99554422316524,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
