fiscal_year,data_from_table,bse_ahmedabad,bse_bengaluru,bse_vadodara,bse_bhubneshwar,bse_chennai,bse_ernakulam,bse_coimbatore,bse_new_delhi,bse_guwahati,bse_hyderabad,bse_indore,bse_jaipur,bse_kanpur,bse_kolkata,bse_ludhiana,bse_mangalore,bse_mumbai,bse_patna,bse_pune,bse_rajkot,bse_others,bse_total,nse_ahmedabad,nse_bengaluru,nse_vadodara,nse_bhubneshwar,nse_chennai,nse_ernakulam,nse_coimbatore,nse_new_delhi,nse_guwahati,nse_hyderabad,nse_indore,nse_jaipur,nse_kanpur,nse_kolkata,nse_ludhiana,nse_mangalore,nse_mumbai,nse_patna,nse_pune,nse_rajkot,nse_others,nse_total,msei_ahmedabad,msei_bengaluru,msei_vadodara,msei_bhubneshwar,msei_chennai,msei_ernakulam,msei_coimbatore,msei_new_delhi,msei_guwahati,msei_hyderabad,msei_indore,msei_jaipur,msei_kanpur,msei_kolkata,msei_ludhiana,msei_mangalore,msei_mumbai,msei_patna,msei_pune,msei_rajkot,msei_others,msei_total,released_on,updated_on,data_source,data_url
2013-14,Table 23: City-wise Distribution of Turnover of Equity Cash Segment,5.4996681844208055,0.26403081067941203,0.12867041388555184,0.7006024082525496,0.01646422027602459,0.6082226097186547,0.18662544610766033,4.374852672681861,0.11446789846813686,0.33266588798168056,0.4516753535699879,0.8701185893206426,0.7065678345733806,6.794353393317897,0.03351093811484082,0.08736087250903586,56.870752946236514,0.5266588238855315,3.278752877648076,0.02353994899619418,18.28264823223732,100,3.7816145878665552,1.5986811965710321,0.42121580550306265,0,1.319877666541278,0,0.2120530936547875,9.008409325642411,0,4.160251568246855,0.49403069549999934,0.41445473751869844,0.1314984288958965,7.4118464409482065,0.08230490235268008,0,59.51461694516333,0,0.18578799561208625,1.0428570169780647,10.200000000000003,100,0.977777669057175,0.0022428662289043118,0.0024903217438460384,0.08242679009826524,0,0.0009525222401145853,0,0.3961960021930722,0,20.753534143014946,0.00019240430700568736,0.00029122826590475393,0.5637895277227601,1.3005785470109357,0,19.672838113319195,0,0.0006436677531061526,0.1625233562164708,0.000001224850261833097,56.08352161597803,100.00000000000001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,Table 23: City-wise Distribution of Turnover of Equity Cash Segment,3.7193236660625324,0.28516732199021955,0.13149553033239722,1.2382576208876177,0.01709883901653591,0.4815067821737272,0.2011357273606445,3.3609698720775483,0.0725024084308281,0.32574424827702764,0.4005285099445051,0.8474762246061183,0.6527432467779531,8.566279632645788,0.026975603905468847,0.07305309233535025,54.303222038307474,0.44148309353539233,3.5225676418365373,0.031911702594618147,21.46396442982872,100,2.9,3.5,0.4,0,1.3,1.4,0.2,10.7,0,4.2,0.6,0.7,0.2,6.5,0.1,0,57.1,0,0.2,1.3,8.7,100,0.123707259141966,0,0,0,0,0,0,22.53896778662972,0,0,0,0,0,0.04676134395566333,0,0,0,0,0,0,77.29056361027264,100.00000000000001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,Table 23: City-wise Distribution of Turnover of Equity Cash Segment,3.8587013915644426,0.31031166638203433,0.1323985683922756,1.175933275866768,0.02077812729227275,0.8504772251936918,0.1890069865600604,3.326044116288966,0.0712583512684807,0.376483556741715,0.4032481468179677,0.7332259121260103,0.45988444404262463,7.48892400275321,0.028069458370201028,0.06854301675839201,52.512348297247435,0.41708135925509515,2.609268846093114,0.0422478876587123,24.925765363326533,100,2.6744551206593306,4.563436356628672,0.3096384142830724,0.0005977520795837838,1.247800007758504,1.1839557001832879,0.11102328054355627,8.464868904039587,0.0025743553682282716,4.065477447374899,0.42648273841860596,0.5740295962960993,0.13005404854328897,5.558303595874472,0.062164196960815626,0.0008724109621452193,58.11748480308795,0.006291277979137683,0.15768741124456156,1.1756161793693727,11.167186402344797,100,5.1594334753595055,0.02321489653638182,0,0,0,0.33137512691208176,0,23.461905180245477,0,0,0,0.7074909129448117,0.0013288631663361233,4.389032339950132,0,21.826913545502837,0,0.000009048821121673767,0,0,44.09929661056131,100.00000000000001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,Table 23: City-wise Distribution of Turnover of Equity Cash Segment,3.1720252866837217,0.3461018596117703,0.094769868795683,0.8703025828459393,0.017430937996629273,0.691662816805347,0.113061823364839,3.0965432691214123,0.054350372750387524,0.3547152019850945,0.32935707905544903,0.5968482179975397,0.33258017078442514,3.484640750228823,0.019182141141532872,0.04971091069110018,55.94202061158816,0.32183505927623784,1.7529716288304824,0.0375825163110802,28.322306894134343,100,2.9890138466302947,6.3042184739477785,0.33666970244081923,0.0002931320431561468,1.037228015920905,1.0785203489947173,0.08624776751104042,6.70746033162967,0.0013543654816490045,3.584074830349404,0.45214203499069167,0.4767818096473195,0.11508452135719188,4.789977434213751,0.10241025593190738,0.0004512396345860445,59.97263512776787,0.004983533178613297,0.14834695597098868,1.2407315386510989,10.5908044436147,100,1.359545403935081,0,0.06642931561143842,0,0,2.2166165304938894,0,23.913611299736978,0.02720856797105644,1.7756806311222093,0.21025380590644271,0.20671921138205462,0.48689087440372086,23.707937398204162,0,8.844283611375332,0,0.1755276365705759,0,0.12574288529112787,36.88355282799593,100.00000000000001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,Table 23: City-wise Distribution of Turnover of Equity Cash Segment,2.9307027757023185,0.3371671179881084,0.09645771795727763,0.8823054870305276,0.018744452375513216,1.0669645718755505,0.11806655106311205,3.0446179038173757,0.06326466508200433,0.34063164397865237,0.3940301317155775,0.6417904683978113,0.31841882167671176,3.5633992406212913,0.01710491661865983,0.05941090538735866,58.372785507321765,0.34794498189318585,1.744805167488694,0.052256385535690196,25.589130586472812,100,3.1,4.4,0.4,0,0.9,0.9,0.1,6.8,0,3.5,0.5,0.5,0.1,5,0.1,0,62.1,0,0.1,1.3,10.2,100,0,0,0,0,0,0,0,4.2775178777106415,0,0.06945418064708403,0.24019488157634594,0.3477314599760509,0,1.738216090089168,0,40.08583071072704,0,0,0,0,53.241054799273655,100.00000000000001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,Table 23: City-wise Distribution of Turnover of Equity Cash Segment,2.540772,0.453121,0.087381,0.907871,0.019895,1.090857,0.104662,1.604574,0.046059,0.428016,0.350443,0.558991,0.280899,2.410764,0.016735,0.051507,56.4127,0.325093,1.66843,0.042661,30.59857,100,2.239122794609204,3.8378049462992574,0.3,0.00023888387199578445,0.8568907833831215,0.7494668972209366,0.0475756539668338,6.338775816240011,0.0032854249949159503,3.3646358620873,0.43579943496932316,0.31879782383891525,0.06525553505135152,4.8412755229774325,0.1864182679646409,0.00024276297176155717,64.30932707820239,0.0012704223705293184,0.0956533082536186,1.173061483008693,10.835101297717785,100,1.10263529746376,0,0,0,0.00013282020450917708,0.002038956353351204,0,48.37470658275353,0,0,0,0,0,0,0,22.298325072397635,0,0,0,0,28.222161270827222,100.00000000000001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,Table 23: City-wise Distribution of Turnover of Equity Cash Segment,2.205511324,1.1804078,0.7,0.730764059,0.016662055,0.733786792,0.080620224,0.025038392,1.080805639,0.027876812,0.280567373,0.246330406,0.4909551,0.252796584,3.411444209,0.073506303,51.07366618,0.033395599,0.263635306,1.609832749,36.16918036,100,1.654358195173702,3.221770178117754,0.24026892761327065,0.00033728137443254116,0.8683284379092717,0.6994233367406718,0.04793188815659616,5.9174710936240515,0.0021529753237362506,3.125714453184223,0.29714716588302176,0.2996256142382685,0.08147668254289739,5.241328390029019,0.11073906206974858,0.00015258935733631777,64.04342680467957,0.0007355773461377074,0.07909625576458382,1.0693415547564786,12.999173536115237,100,1.0428957848881255,0,0,0.00012562415854926157,0.0019284880425757655,0,0,48.71796264045926,0,0,0,0,1.9277734569184888,0,0,0,21.095723069534415,0,0,0,27.21359093599859,100,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,Table 23: City-wise Distribution of Turnover of Equity Cash Segment,9.868873411,0.449447216,0.493666885,0.009777485,0.34167189,0.052281275,0.014227128,1.332141533,0.026580635,0.124601025,0.30443732,0.347289809,0.214281951,3.573555357,0.088387724,0.009857276,40.876533552,0.017976882,0.196693298,1.315204885,42.180831492501255,100,4.11,1.98,0.18,0,0.64,0.66,0.05,5.19,0,3.47,0.37,0.25,0.12,4.3,0.07,0,67.04,0,0.11,0.88,10.57,100,3,0,0,0,0,0,0,50,0,0,0.1,3.6,0.4,0,0,0,21.8,0,0,0,21.1,100,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,Table 23: City-wise Distribution of Turnover of Equity Cash Segment,20.306274386477988,0.30445353179820306,0.4023497758601562,0.00960578112552916,0.20659367387842034,0.031160898151534812,0.014064942024148921,2.128044623424475,0.018139497726924154,0.1107313115920637,0.36891012641675347,0.28169940653336295,0.19786495420699982,2.3784345270449254,0.1432012159882226,0.008617067965010097,36.44585703014606,0.01647835825449657,0.17997375104502958,0.7988677701247827,35.64867737021491,100,9.14,1.21,0.18,0,4.96,0.7,0.46,0.06,5.4,0,2.71,0.37,0.25,0.15,0.08,0,67.58,0,0.28,0.84,5.63,100,2.951839029590744,0,0,0,0.00013183928353693102,0,0,50.02933390483327,0,0,0.07413441546253234,3.615351001412228,0.4241777858638807,0,0,0,21.777136146103153,0,0,0,21.127895877450648,100,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,Table 23: City-wise Distribution of Turnover of Equity Cash Segment,23.238996302790305,0.263115518184365,0.3267991390824072,0.009296907326346972,0.22630243273149553,0.0715077786935236,0.014431206460393807,1.5055428700871631,0.029300312649674306,0.09082701866989216,0.2631866843166576,0.2865410722099778,0.18511164229737342,1.878134930351143,0.11459052692912748,0.010431478094746947,39.69336661565136,0.016042554336883796,0.17004534216045883,0.9221235089881739,30.684306157988537,100,11.17,0.77,0.13,0,0.88,0.37,0.05,3.72,0,2.52,0.28,0.16,0.27,4.19,0.08,0,68.02,0,0.4,1.03,5.96,100,3.09921598472822,0,0,0,0,0,0,48.85849821119997,0,0,0,0,0,0,0,0,0.09134146368880781,0,0,0,47.950944340383,100,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
