year,index_type,index_name,country,index_value,data_from_table,released_on,updated_on,data_source,data_url
2013,Closing Value of International Indices,Bovespa,Brazil,51507.16,Yearly Closing Values of Bluechip International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2014,Closing Value of International Indices,Bovespa,Brazil,50007.41,Yearly Closing Values of Bluechip International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2015,Closing Value of International Indices,Bovespa,Brazil,43349.9602613,Yearly Closing Values of Bluechip International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2016,Closing Value of International Indices,Bovespa,Brazil,60227.288437,Yearly Closing Values of Bluechip International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2017,Closing Value of International Indices,Bovespa,Brazil,76402.0819752,Yearly Closing Values of Bluechip International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2018,Closing Value of International Indices,Bovespa,Brazil,87887.26,Yearly Closing Values of Bluechip International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2019,Closing Value of International Indices,Bovespa,Brazil,115645.34,Yearly Closing Values of Bluechip International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2020,Closing Value of International Indices,Bovespa,Brazil,119017.24,Yearly Closing Values of Bluechip International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2021,Closing Value of International Indices,Bovespa,Brazil,104822.44,Yearly Closing Values of Bluechip International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2022,Closing Value of International Indices,Bovespa,Brazil,109734.6,Yearly Closing Values of Bluechip International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
