fiscal_year,data_from_table,price_to_earnings_ratio_bse_sensex,price_to_earnings_ratio_nifty_50,price_to_earnings_ratio_sx40,price_to_book_value_ratio_bse_sensex,price_to_book_value_ratio_nifty_50,price_to_book_value_ratio_sx40,annualised_volatility_per_cent_bse_sensex,annualised_volatility_per_cent_nifty_50,annualised_volatility_per_cent_sx40,released_on,updated_on,data_source,data_url
2013-14,Table 22: Comparative Valuations of Indices,18.32,18.86,20.27,2.71,3.23,3.61,17.418322779226656,18.1,16.45531384038089,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,Table 22: Comparative Valuations of Indices,19.09,22.7,24.56,3.01,3.65,3.86,13.515799255422712,13.68,12.731332906003235,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,Table 22: Comparative Valuations of Indices,19.25,20.89,21.39,2.8,3.1,3.6,16.972881406483157,17.15,16.586257962069112,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,Table 22: Comparative Valuations of Indices,22.63,23.26,22.68,2.95,3.5,3.66,12.09565518748416,12.42,11.908757649318783,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,Table 22: Comparative Valuations of Indices,22.66,24.66,24.2,3.01,3.42,3.31,9.844721472455198,9.94,9.594022598742495,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,Table 22: Comparative Valuations of Indices,28.04,29.01,27.87,3.15,3.71,3.49,12.04809945157012,12.38,12.06129511595639,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,Table 22: Comparative Valuations of Indices,17.81,19.38,19.59,2.27,2.45,2.42,27.8933957130041,27.71,27.355023710689682,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,Table 22: Comparative Valuations of Indices,34.36,33.2,35.67,3.33,4.2,4.14,22.889644705832545,22.34,22.14602020170724,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,Table 22: Comparative Valuations of Indices,25.77,22.92,29.36,3.57,4.46,5.06,15.911618724669317,15.759768140520503,15.718712130648559,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,Table 22: Comparative Valuations of Indices,22.4,20.44,16.73,3.26,4.06,5.16,14.793819780310733,14.4,15.066295456397762,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,Table 22: Comparative Valuations of Indices,25.15,22.88,19.87,3.74,3.94,6.67,9.7891349602871,9.693449753907354,9.885219442134666,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,Table 22: Comparative Valuations of Indices,21.58,21.37,17.57,3.98,3.48,5.24,14.02,14.08,14.232,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
