fiscal_year,data_from_table,nsdl_listed_companies_live,nsdl_listed_dps_live,nsdl_listed_dps_locations,nsdl_listed_beneficial_owner_accounts_number,nsdl_listed_demat_value_crore,nsdl_listed_demat_quantity_securities_in_crore,nsdl_unlisted_no_of_issuers_that_have_made_their_securities_available_for_dematerialization,nsdl_unlisted_no_of_depository_participants_registered,nsdl_unlisted_dps_locations,nsdl_unlisted_beneficial_owner_accounts_number_other_than_closed_excluding_cm_accounts,nsdl_unlisted_demat_value_crore,nsdl_unlisted_demat_quantity_securities_in_crore,cdsl_no_of_issuers_that_have_made_their_securities_available_for_dematerialization,cdsl_no_of_depository_participants_registered,cdsl_dps_locations,cdsl_beneficial_owner_accounts_number_other_than_closed_excluding_cm_accounts,cdsl_demat_value_crore,cdsl_demat_quantity_securities_in_crore,released_on,updated_on,data_source,data_url
2013-14,Table 50: Dematerialisation Statistics of Listed Companies & Unlisted Companies,,,,,,,12211,278,14444,13053654,8925410.78415235,79462.7819959912,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,Table 50: Dematerialisation Statistics of Listed Companies & Unlisted Companies,,,,,,,13992,273,15960,13705181,11739784.7224353,92678.7060893718,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,Table 50: Dematerialisation Statistics of Listed Companies & Unlisted Companies,,,,,,,15638,270,26765,14562942,11704106.5602007,109954.44112689499,10021,583,16764,14510902,1326796.63,22754.89,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,Table 50: Dematerialisation Statistics of Listed Companies & Unlisted Companies,,,,,,,17835,264,27389,15577633,14621822.3897242,131643.118674701,9887,588,17489,16496447,1773585.34,25522.739999999998,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,Table 50: Dematerialisation Statistics of Listed Companies & Unlisted Companies,,,,,,,19865,276,30385,17089576,17200109.8164164,150553.356390505,10628,593,17473,19404479,1983981.0254000002,28380.5,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,Table 50: Dematerialisation Statistics of Listed Companies & Unlisted Companies,,,,,,,25233,277,30741,18519486,18651621.7013195,186617.489210269,12757,597,19460,22335222,2079693.4918,36187.611756277794,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,Table 50: Dematerialisation Statistics of Listed Companies & Unlisted Companies,,,,,,,30335,279,30874,19681333,16032792,235038.21532927998,14762,599,20352,21177091,1671972.3724000002,45572.655247515904,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,Table 50: Dematerialisation Statistics of Listed Companies & Unlisted Companies,,,,,,,34225,276,36044,21231964,24374524.011,243352,16464,592,20689,33316133,2743935.7,47442,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,Table 50: Dematerialisation Statistics of Listed Companies & Unlisted Companies,,,,,,,37478,277,57026,26679035,30187555.842,277352.752,18268,584,21728,62992286,3717277.5201,56756.678131559594,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,Table 50: Dematerialisation Statistics of Listed Companies & Unlisted Companies,,,,,,,40987,283,59401,31458313,30218889.593692493,322433.0988795157,20323,588,18676,82997308,3971126.904,61285.0538574561,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,Table 50: Dematerialisation Statistics of Listed Companies & Unlisted Companies,,,,,,,46015,281,61665,35770759,42344187.61276069,377329.928,23060,580,17487,115602163,6420628,66146.3,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,Table 50: Dematerialisation Statistics of Listed Companies & Unlisted Companies,,,,,,,79773,294,65391,39452405,46416403.963999994,475869.3,35922,574,18918,152984202,7052401.879,83598.8879565837,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
