fiscal_year,year,month,month_numeric,data_from_table,nsdl_no_of_issuers_that_have_made_their_securities_available_for_dematerialization,nsdl_no_of_depository_participants_registered,nsdl_dps_locations,nsdl_beneficial_owner_accounts_number_other_than_closed_excluding_cm_accounts,nsdl_demat_value_crore,nsdl_demat_quantity_securities_in_crore,cdsl_no_of_issuers_that_have_made_their_securities_available_for_dematerialization,cdsl_no_of_depository_participants_registered,cdsl_dps_locations,cdsl_beneficial_owner_accounts_number_other_than_closed_excluding_cm_accounts,cdsl_demat_value_crore,cdsl_demat_quantity_securities_in_crore,released_on,updated_on,data_source,data_url
2013-14,2013,April,4,Table 50: Dematerialisation Statistics of Listed Companies & Unlisted Companies,10940,282,14670,12723740,7828193.905526441,69227.08414134,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,May,5,Table 50: Dematerialisation Statistics of Listed Companies & Unlisted Companies,11086,281,14636,12761952,7930329.75285056,70153.06774624821,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,June,6,Table 50: Dematerialisation Statistics of Listed Companies & Unlisted Companies,11203,282,14445,12793425,7738868.42117898,71029.3461896096,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,July,7,Table 50: Dematerialisation Statistics of Listed Companies & Unlisted Companies,11237,281,14440,12837707,7513832.876494559,71717.5079836595,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,August,8,Table 50: Dematerialisation Statistics of Listed Companies & Unlisted Companies,11313,281,14386,12859404,7373449.77704531,72019.72879800451,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,September,9,Table 50: Dematerialisation Statistics of Listed Companies & Unlisted Companies,11418,280,14348,12915038,7673938.07581695,72848.2909621921,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,October,10,Table 50: Dematerialisation Statistics of Listed Companies & Unlisted Companies,11547,281,14354,12961533,8185962.53955393,73276.36439173299,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,November,11,Table 50: Dematerialisation Statistics of Listed Companies & Unlisted Companies,11656,280,14409,13000466,8195614.77230404,74107.6222496337,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,December,12,Table 50: Dematerialisation Statistics of Listed Companies & Unlisted Companies,11762,280,14349,13051278,8465173.713132659,74408.2024513139,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2014,January,1,Table 50: Dematerialisation Statistics of Listed Companies & Unlisted Companies,11884,279,14410,13102724,8263474.406910141,75767.3524684168,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2014,February,2,Table 50: Dematerialisation Statistics of Listed Companies & Unlisted Companies,12013,279,14428,13063744,8453714.524826871,76251.9211791929,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2014,March,3,Table 50: Dematerialisation Statistics of Listed Companies & Unlisted Companies,12211,278,14444,13053654,8925410.78415235,79462.7819959912,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,2014,April,4,Table 50: Dematerialisation Statistics of Listed Companies & Unlisted Companies,12390,278,14437,13073421,8977759.7966615,80400.1866853663,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
