fiscal_year,year,month,month_numeric,data_from_table,nsdl_number_of_companies_signed_up_to_make_their_shares_available_for_dematerialization,nsdl_number_of_depository_participants_registered,nsdl_number_of_clearing_corporations_connected,nsdl_number_of_investors_accounts_lakh,nsdl_quantity_of_shares_dematerialized_crore,nsdl_value_of_shares_dematerialized_rs_crore,nsdl_quantity_of_securities_dematerialized_crore,nsdl_value_of_securities_dematerialized_rs_crore,nsdl_quantity_of_shares_settled_during_the_month_crore,nsdl_value_of_shares_settled_during_the_month_in_dematerialized_form_rs_crore,nsdl_the_ratio_of_dematerialized_equity_shares_to_the_total_outstanding_shares_market_value_per_cent,cdsl_number_of_companies_signed_up_to_make_their_shares_available_for_dematerialization,cdsl_number_of_depository_participants_registered,cdsl_number_of_clearing_corporations_connected,cdsl_number_of_investors_accounts_lakh,cdsl_quantity_of_shares_dematerialized_crore,cdsl_value_of_shares_dematerialized_rs_crore,cdsl_quantity_of_securities_dematerialized_crore,cdsl_value_of_securities_dematerialized_rs_crore,cdsl_quantity_of_shares_settled_during_the_month_crore,cdsl_value_of_shares_settled_during_the_month_in_dematerialized_form_rs_crore,cdsl_the_ratio_of_dematerialized_equity_shares_to_the_total_outstanding_shares_market_value_per_cent,released_on,updated_on,data_source,data_url
2013-14,2013,April,4,Table 49: Dematerialisation Statistics of Listed Companies,5510,282,8,127.28104,34411.4820918,5493861.860542052,35167.473802239394,6649589.693978596,506.1065381,99447.42889016551,82.18,,,,,,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,May,5,Table 49: Dematerialisation Statistics of Listed Companies,5525,281,8,127.66313,34609.534838299995,5541700.008436934,35326.6030397059,6718902.641924879,567.8560132,116843.41419428155,82.33,,,,,,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,June,6,Table 49: Dematerialisation Statistics of Listed Companies,5532,282,8,127.97777,34492.055003999994,5340040.507479885,35148.2568541901,6532618.402592111,524.0607207,109683.27836517146,82.56,,,,,,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,July,7,Table 49: Dematerialisation Statistics of Listed Companies,5539,281,8,128.42056,34601.1564404,5151726.865389854,35243.6899898467,6351818.168125615,569.9202083,121133.55445110645,83.02,,,,,,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,August,8,Table 49: Dematerialisation Statistics of Listed Companies,5558,281,8,128.6373,34850.968907,5090498.223016732,35479.525875719,6274067.980382945,571.5484874,121665.63167294722,83.67977745378843,,,,,,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,September,9,Table 49: Dematerialisation Statistics of Listed Companies,5572,280,8,129.1934,34826.6018649,5344143.488378303,35571.1356995503,6541143.737293545,582.5314054,122287.1557206539,83.4451407568574,,,,,,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,October,10,Table 49: Dematerialisation Statistics of Listed Companies,5588,281,8,129.65,35063.309066,5772796.368880153,35806.3638061686,6982106.7794040255,517.6215399,95676.72874696115,83.51112507675836,,,,,,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,November,11,Table 49: Dematerialisation Statistics of Listed Companies,5599,280,8,130.04661,35024,5735749,35772,6944869,506.8472804,97363.38608705644,83.53061276236446,,,,,,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,December,12,Table 49: Dematerialisation Statistics of Listed Companies,5612,280,8,130.55284,35064.7037114,5972649.921769049,35845.142984843296,7188519.957757557,586.232873,110959.14950002922,84.06690961140441,,,,,,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2014,January,1,Table 49: Dematerialisation Statistics of Listed Companies,5629,279,8,131.0662,35166,5734506,35968,6954997,578.7764418,116920.11925941435,84.25181194132108,,,,,,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2014,February,2,Table 49: Dematerialisation Statistics of Listed Companies,5639,279,8,130.67581,35221.4562621,5870023.225639239,36068.5456079276,7103683.4452607,433.4394121,89217.03260754608,84.28,,,,,,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2014,March,3,Table 49: Dematerialisation Statistics of Listed Companies,5668,278,8,130.57377,35281.6118367,6286296.911058468,38100.8193687656,7532989.548760808,642.533419,138604.99866416142,83.78266916626157,,,,,,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,2014,April,4,Table 49: Dematerialisation Statistics of Listed Companies,5683,278,8,130.77117,35422.9032725,6340626.738941711,38268.4922611849,7596743.998095049,663.2157196,138137.2450870883,83.5661166124928,,,,,,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,2014,May,5,Table 49: Dematerialisation Statistics of Listed Companies,5700,277,8,131.16821,35514.7944913,7089248.509260372,38360.4764096199,8336835.3314887425,1015.316442,192628.214195987,83.3479336076767,,,,,,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
