fiscal_year,data_from_table,nsdl_number_of_companies_signed_up_to_make_their_shares_available_for_dematerialization,nsdl_number_of_depository_participants_registered,nsdl_number_of_clearing_corporations_connected,nsdl_number_of_investors_accounts_lakh,nsdl_quantity_of_shares_dematerialized_crore,nsdl_value_of_shares_dematerialized_rs_crore,nsdl_quantity_of_securities_dematerialized_crore,nsdl_value_of_securities_dematerialized_rs_crore,nsdl_quantity_of_shares_settled_during_the_period_crore,nsdl_value_of_shares_settled_during_the_period_in_dematerialized_form_rs_crore,nsdl_the_ratio_of_dematerialized_equity_shares_to_the_total_outstanding_shares_market_value_per_cent,cdsl_number_of_companies_signed_up_to_make_their_shares_available_for_dematerialization,cdsl_number_of_depository_participants_registered,cdsl_number_of_clearing_corporations_connected,cdsl_number_of_investors_accounts_lakh,cdsl_quantity_of_shares_dematerialized_crore,cdsl_value_of_shares_dematerialized_rs_crore,cdsl_quantity_of_securities_dematerialized_crore,cdsl_value_of_securities_dematerialized_rs_crore,cdsl_quantity_of_shares_settled_during_the_period_crore,cdsl_value_of_shares_settled_during_the_period_in_dematerialized_form_rs_crore,cdsl_the_ratio_of_dematerialized_equity_shares_to_the_total_outstanding_shares_market_value_per_cent,released_on,updated_on,data_source,data_url
2013-14,Table 49: Dematerialisation Statistics of Listed Companies,5668,278,8,130.57377,35281.6118367,6286296.911058468,38100.8193687656,7532989.548760808,6587.4743393,1339801.8781594946,83.78266916626157,,,,,,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,Table 49: Dematerialisation Statistics of Listed Companies,5943,273,4,137.08445,38475.1859542,8687942.217589077,41116.1719971038,10274181.8080507,10097.1326646,2069409.248505468,85.00334915178897,,,,,,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,Table 49: Dematerialisation Statistics of Listed Companies,6159,270,4,145.66,41457,8204011,45284,10028322,9046.096651200001,2009725.426440823,85.42,6385,583,3,107.9,12367.63,1158717.31,12936.17,1219306.787726394,6224.1568735,482355.31946321594,12.82,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,Table 49: Dematerialisation Statistics of Listed Companies,6301,264,3,155.8,45155.3181023,10429664.748009877,47837.29672098661,12626243.160827737,10807.1193779,2634095.0783881205,84.89,6540,588,3,122.67432,13456.75,1540851.3,14165.85,1620385.3807789974,7047.377833699999,641848.833503002,13.4987495430562,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,Table 49: Dematerialisation Statistics of Listed Companies,5916,276,3,170.92549,49812.2759363,12269186.77779074,53163.1484529257,14825534.171190381,13175.136362499998,3478031.2491947077,86.66700846289093,6748,593,3,148.4,14774.72,1730199.53,15927.85,1824357.8,9379.7293236,939117.392646817,21.97,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,Table 49: Dematerialisation Statistics of Listed Companies,6150,277,3,185.22418,53156.455826000005,13113009.983829463,57208.2523800912,15895015.550030243,11630.0924029,3092212.1814167826,86.57585195603195,6407,597,3,173.86,17660.0309677,1757785.2046,19301.26,1882388.23,6656.4456445,697546.3856867101,11.57,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,Table 49: Dematerialisation Statistics of Listed Companies,5636,279,4,196.85619,55197.7535205,9895615.82597802,59866.4268760748,13122854.485402819,13355.6943098,3308113.0052277325,86.78,5692,599,3,211.81937,24108.4828064,1329810.84,26745.6836897293,1473670.2912,8137.6670386999995,746579.539263207,11.7286474153621,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,Table 49: Dematerialisation Statistics of Listed Companies,5681,276,4,216.9,57296.810971,17891666.1534578,61709.937026265,21611951.7033791,20349,6134953,86.117,5764,592,3,334.37873,23953.3813053,2325562.7897,26650.209884347,2531551.9037,23307,1955759.607797761,11.47,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,Table 49: Dematerialisation Statistics of Listed Companies,5846,277,4,266.83925,60191.1782397,22938891.6228097,64752.755568141,26849274.7415569,20957.614697000005,5472023.636001177,85.9959,5886,584,3,629.97,27625.04,3228356.02,31531.23,3482602.38,34228.74198779999,3074619.74525259,12.25,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,Table 49: Dematerialisation Statistics of Listed Companies,5843,283,4,314.63051,68058.8003835,22261190.595970742,72621.33460843848,26308596.322236788,16891.854700499996,4960292.20794286,85.0381,6043,588,3,830.01541,30945.0075989,3405158.1594,35421.42161,3708994.529,24721,2287511,13.1881964467305,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
