fiscal_year,data_from_table,total_value_pns_equity_debt_including_derivatives_inr_cr,total_value_pns_equity_debt_excluding_derivatives_inr_cr,assets_under_custody_fpis_deemed_fpis_inr_cr,pct_pns_including_derivatives_of_auc,pct_pns_excluding_derivatives_of_auc,released_on,updated_on,data_source,data_url
2013-14,Table 55: Notional Value of Offshore Derivative Instruments vs Assets Under Custody of Foreign Porfolio Investors/Deemed FPIs,207639,135821,1593869,13,8.5,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,Table 55: Notional Value of Offshore Derivative Instruments vs Assets Under Custody of Foreign Porfolio Investors/Deemed FPIs,272078,211605,2411810,11.3,8.8,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,Table 55: Notional Value of Offshore Derivative Instruments vs Assets Under Custody of Foreign Porfolio Investors/Deemed FPIs,223077,169470,2224537,10,7.6,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,Table 55: Notional Value of Offshore Derivative Instruments vs Assets Under Custody of Foreign Porfolio Investors/Deemed FPIs,178437,124277,2705729,6.6,4.6,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,Table 55: Notional Value of Offshore Derivative Instruments vs Assets Under Custody of Foreign Porfolio Investors/Deemed FPIs,106403,102726,3148349,3.4,3.3,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,Table 55: Notional Value of Offshore Derivative Instruments vs Assets Under Custody of Foreign Porfolio Investors/Deemed FPIs,78110,77287,3342680,2.3,2.3,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,Table 55: Notional Value of Offshore Derivative Instruments vs Assets Under Custody of Foreign Porfolio Investors/Deemed FPIs,48006.39827033391,47852,2490223,1.9277951520941663,1.9215949736228441,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,Table 55: Notional Value of Offshore Derivative Instruments vs Assets Under Custody of Foreign Porfolio Investors/Deemed FPIs,89100.31,89100.31,4462903,1.9964653052060508,1.9964653052060508,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,Table 55: Notional Value of Offshore Derivative Instruments vs Assets Under Custody of Foreign Porfolio Investors/Deemed FPIs,87979,87979,5097012,1.73,1.73,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,Table 55: Notional Value of Offshore Derivative Instruments vs Assets Under Custody of Foreign Porfolio Investors/Deemed FPIs,88600,88600,4870792,1.8190060261247043,1.8190060261247043,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,Table 55: Notional Value of Offshore Derivative Instruments vs Assets Under Custody of Foreign Porfolio Investors/Deemed FPIs,149119.91718537293,149119.91718537293,6953988,2.1443798462892505,2.1443798462892505,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,Table 55: Notional Value of Offshore Derivative Instruments vs Assets Under Custody of Foreign Porfolio Investors/Deemed FPIs,123651.87997716264,123651.87997716264,7429500,1.66,1.66,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
