fiscal_year,data_from_table,gross_inflows_gross_investments_inr_billion,gross_inflows_gross_investments_us_million,repatriation_disinvestment_inr_billion,repatriation_disinvestment_us_million,direct_investment_to_india_inr_billion,direct_investment_to_india_us_million,fdi_by_india_inr_billion,fdi_by_india_us_million,net_foreign_direct_investment_inr_billion,net_foreign_direct_investment_us_million,net_portfolio_investment_inr_billion,net_portfolio_investment_us_million,total_inr_billion,total_us_million,released_on,updated_on,data_source,data_url
2013-14,Table 52: Foreign Investment Inflows,2185.95,36047,317.65,5284,1868.3,30763,568.6,9199,1299.69,21564,296.8,4822,1596.5,26386,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,Table 52: Foreign Investment Inflows,2764,45147,605.06,9864,2158.93,35283,246.75,4031,1912.19,31251,2578.53,42205,4490.72,73456,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,Table 52: Foreign Investment Inflows,3641.46,55559,698.88,10652,2942.58,44907,584.76,8886,2357.82,36021,-272.03,-4130,2085.79,31891,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,Table 52: Foreign Investment Inflows,4040.57,60220,1207.65,18005,2832.92,42215,443.79,6603,2389.13,35612,504.82,7612,2893.94,43224,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,Table 52: Foreign Investment Inflows,3929.44,60974,1389.68,21544,2539.77,39431,589.25,9144,1950.52,30286,1426.32,22115,3376.84,52401,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,Table 52: Foreign Investment Inflows,4330.69,62001,1311.36,18699,3019.32,43302,878.96,12590,2140.36,30712,-18.57,-618,2121.79,30094,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,Table 52: Foreign Investment Inflows,5273.47,74390,1303.92,18384,3969.55,56006,921.35,12993,3048.2,43013,73.95,1403,3122.15,44417,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,Table 52: Foreign Investment Inflows,6077.71,81973,2010.06,27046,4067.65,54927,813.83,10972,3253.82,43955,2664.74,36137,5918.56,80092,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,Table 52: Foreign Investment Inflows,6320.47,84835,2132.84,28605,4187.63,56231,1312.96,17644,2874.67,38587,-1265.39,-16777,1609.28,21809,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,Table 52: Foreign Investment Inflows,5713.22,71355,2363.07,29349,3350.15,42006,1131.31,14020,2218.84,27986,-365.93,-5152,1852.91,22834,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,Table 52: Foreign Investment Inflows,5903.96,71302,3681.52,44472,2222.44,26830,1382.23,16678,840.21,10152,3648.04,44081,4488.25,54233,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,Table 52: Foreign Investment Inflows,6809.29,80615,4341.41,51486,2467.88,29130,2390.59,28171,77.3,959,273.43,3564,350.73,4523,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
