fiscal_year,data_from_table,equity_inr_crore,debt_inr_crore,debt_vrr_inr_crore,debt_far_inr_crore,hybrid_inr_crore,aifs_mfs_inr_crore,total_inr_crore,released_on,updated_on,data_source,data_url
2013-14,Table 54: Foreign Portfolio Investment Instrument wise,79709,-28060,0,,0,,51649,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,Table 54: Foreign Portfolio Investment Instrument wise,111333,166127,0,,0,,277461,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,Table 54: Foreign Portfolio Investment Instrument wise,-14172,-4004,0,,0,,-18176,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,Table 54: Foreign Portfolio Investment Instrument wise,55703,-7292,0,,0,,48411,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,Table 54: Foreign Portfolio Investment Instrument wise,25635,119036,0,,11,,144682,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,Table 54: Foreign Portfolio Investment Instrument wise,-88,-42357,0,,3515,,-38930,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,Table 54: Foreign Portfolio Investment Instrument wise,6153,-48709,7331,,7699,,-27529,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,Table 54: Foreign Portfolio Investment Instrument wise,274033.23000000004,-50444.35999999999,33266,,10246.720000000001,,267098.58999999997,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,Table 54: Foreign Portfolio Investment Instrument wise,-140008.93,1628.239999999998,12642.970000000001,,3498.24,,-122238.48000000001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,Table 54: Foreign Portfolio Investment Instrument wise,-37632,-8937,5814,,-181,,-40936,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,Table 54: Foreign Portfolio Investment Instrument wise,208212,121059,-2972,,12767,,339066,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,Table 54: Foreign Portfolio Investment Instrument wise,-127041,55734,6737,80691,4425,-529,20018,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
