fiscal_year,year,month,month_numeric,data_from_table,released_on,updated_on,data_source,data_url,period_date,equity_crore,debt_crore,debt_vrr_crore,debt_far,mf_aifs,hybrid_crore,total_crore
2013-14,2013,April,4,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2013-04-01,5414,5334,,,,0,10748
2013-14,2013,May,5,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2013-05-01,22169,5969,,,,0,28138
2013-14,2013,June,6,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2013-06-01,-11027,-33135,,,,0,-44162
2013-14,2013,July,7,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2013-07-01,-6086,-12038,,,,0,-18124
2013-14,2013,August,8,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2013-08-01,-5922,-9773,,,,0,-15695
2013-14,2013,September,9,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2013-09-01,13058,-5678,,,,0,7379
2013-14,2013,October,10,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2013-10-01,15706,-13578,,,,0,2128
2013-14,2013,November,11,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2013-11-01,8116,-5983,,,,0,2133
2013-14,2013,December,12,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2013-12-01,16086,5290,,,,0,21376
2013-14,2014,January,1,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2014-01-01,714,12609,,,,0,13323
2013-14,2014,February,2,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2014-02-01,1404,11337,,,,0,12741
2013-14,2014,March,3,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2014-03-01,20077,11586,,,,0,31663
2014-15,2014,April,4,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2014-04-01,9602,-9185,,,,0,418
2014-15,2014,May,5,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2014-05-01,14006,19772,,,,0,33778
2014-15,2014,June,6,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2014-06-01,13991,16715,,,,0,30705
2014-15,2014,July,7,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2014-07-01,13110,22935,,,,0,36046
2014-15,2014,August,8,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2014-08-01,5430,16704,,,,0,22134
2014-15,2014,September,9,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2014-09-01,5103,15869,,,,0,20972
2014-15,2014,October,10,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2014-10-01,-1172,17903,,,,0,16732
2014-15,2014,November,11,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2014-11-01,13753,11723,,,,0,25476
2014-15,2014,December,12,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2014-12-01,1036,11188,,,,0,12225
2014-15,2015,January,1,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2015-01-01,12919,20769,,,,0,33688
2014-15,2015,February,2,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2015-02-01,11476,13088,,,,0,24564
2014-15,2015,March,3,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2015-03-01,12078,8645,,,,0,20723
2015-16,2015,April,4,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2015-04-01,11721,3612,,,,0,15333
2015-16,2015,May,5,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2015-05-01,-5768,-8504,,,,0,-14272
2015-16,2015,June,6,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2015-06-01,-3344,1737,,,,0,-1608
2015-16,2015,July,7,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2015-07-01,5319,4,,,,0,5323
2015-16,2015,August,8,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2015-08-01,-16877,-647,,,,0,-17524
2015-16,2015,September,9,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2015-09-01,-6475,692,,,,0,-5784
