fiscal_year,year,month,month_numeric,data_from_table,released_on,updated_on,data_source,data_url,period_date,category_i_equity,category_i_debt,category_i_debt_vrr,category_i_debt_far,category_i_mf_aifs,category_i_hybrid,category_i_total,category_ii_equity,category_ii_debt,category_ii_debt_vrr,category_ii_debt_far,category_ii_mf_aifs,category_ii_hybrid,category_ii_total,category_iii_equity,category_iii_debt,category_iii_debt_vrr,category_iii_hybrid,category_iii_total
2013-14,2013,April,4,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2013-04-01,,,,,,,,,,,,,,,,,,,
2013-14,2013,May,5,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2013-05-01,,,,,,,,,,,,,,,,,,,
2013-14,2013,June,6,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2013-06-01,,,,,,,,,,,,,,,,,,,
2013-14,2013,July,7,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2013-07-01,,,,,,,,,,,,,,,,,,,
2013-14,2013,August,8,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2013-08-01,,,,,,,,,,,,,,,,,,,
2013-14,2013,September,9,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2013-09-01,,,,,,,,,,,,,,,,,,,
2013-14,2013,October,10,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2013-10-01,,,,,,,,,,,,,,,,,,,
2013-14,2013,November,11,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2013-11-01,,,,,,,,,,,,,,,,,,,
2013-14,2013,December,12,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2013-12-01,,,,,,,,,,,,,,,,,,,
2013-14,2014,January,1,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2014-01-01,,,,,,,,,,,,,,,,,,,
2013-14,2014,February,2,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2014-02-01,,,,,,,,,,,,,,,,,,,
2013-14,2014,March,3,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2014-03-01,,,,,,,,,,,,,,,,,,,
2014-15,2014,April,4,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2014-04-01,,,,,,,,,,,,,,,,,,,
2014-15,2014,May,5,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2014-05-01,,,,,,,,,,,,,,,,,,,
2014-15,2014,June,6,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2014-06-01,186564,41982,,,,0,228546,1527631,149871,,,,0,1677502,1236,2253,,0,3489
2014-15,2014,July,7,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2014-07-01,188424,43740,,,,0,232164,1566096,170037,,,,0,1736133,1214,2435,,0,3649
2014-15,2014,August,8,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2014-08-01,193088,45205,,,,0,238293,1618943,185675,,,,0,1804618,1242,3138,,0,4380
2014-15,2014,September,9,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2014-09-01,192328,49804,,,,0,242132,1642392,193023,,,,0,1835415,1287,5445,,0,6732
2014-15,2014,October,10,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2014-10-01,200048,52378,,,,0,252426,1701947,207164,,,,0,1909111,1971,7889,,0,9860
2014-15,2014,November,11,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2014-11-01,206649,54369,,,,0,261018,1778323,213702,,,,0,1992025,4825,10163,,0,14988
2014-15,2014,December,12,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2014-12-01,200574,57649,,,,0,258223,1748487,221720,,,,0,1970207,6014,10833,,0,16847
2014-15,2015,January,1,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2015-01-01,213157,60571,,,,0,273728,1871116,239091,,,,0,2110207,5794,12764,,0,18558
2014-15,2015,February,2,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2015-02-01,215624,61363,,,,0,276987,1910380,246721,,,,0,2157101,6038,16249,,0,22287
2014-15,2015,March,3,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2015-03-01,213046,61700,,,,0,274746,1857913,253235,,,,0,2111148,6927,19039,,0,25966
2015-16,2015,April,4,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2015-04-01,206947,63730,,,,0,270677,1800244,252519,,,,0,2052763,6637,25284,,0,31921
2015-16,2015,May,5,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2015-05-01,212829,65167,,,,0,277996,1858802,244144,,,,0,2102946,7122,25034,,0,32156
2015-16,2015,June,6,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2015-06-01,217011,65742,,,,0,282753,1827031,235628,,,,0,2062659,7566,33499,,0,41065
2015-16,2015,July,7,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2015-07-01,227519,65952,,,,0,293471,1875408,238981,,,,0,2114389,10207,34946,,0,45153
2015-16,2015,August,8,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2015-08-01,230947,66580,,,,0,297527,1730731,236048,,,,0,1966779,12520,36722,,0,49242
2015-16,2015,September,9,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2015-09-01,235522,66723,,,,0,302245,1716596,232610,,,,0,1949206,13070,38990,,0,52060
2015-16,2015,October,10,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2015-10-01,239281,71540,,,,0,310821,1730779,242345,,,,0,1973124,18682,41548,,0,60230
2015-16,2015,November,11,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2015-11-01,237221,71809,,,,0,309030,1699888,234267,,,,0,1934155,21369,44211,,0,65580
2015-16,2015,December,12,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2015-12-01,241663,72036,,,,0,313699,1708883,231816,,,,0,1940699,24781,41357,,0,66138
2015-16,2016,January,1,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2016-01-01,230862,72363,,,,0,303225,1598830,233383,,,,0,1832213,23779,41619,,0,65398
2015-16,2016,February,2,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2016-02-01,229571,72871,,,,0,302442,1450877,226554,,,,0,1677431,22568,40697,,0,63265
2015-16,2016,March,3,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2016-03-01,254150,73041,,,,0,327191,1603613,219160,,,,0,1822773,31026,43547,,0,74573
2016-17,2016,April,4,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2016-04-01,256248,73039,,,,0,329287,1645823,228275,,,,0,1874098,35163,42796,,0,77959
2016-17,2016,May,5,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2016-05-01,265926,73534,,,,0,339460,1694785,225683,,,,0,1920468,47806,40885,,0,88691
2016-17,2016,June,6,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2016-06-01,265482,74249,,,,0,339731,1737874,218596,,,,0,1956470,49918,41564,,0,91482
2016-17,2016,July,7,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2016-07-01,276917,75888,,,,0,352805,1841764,224461,,,,0,2066225,53208,41799,,0,95007
2016-17,2016,August,8,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2016-08-01,280664,75634,,,,0,356298,1891400,220657,,,,0,2112057,54695,42254,,0,96949
2016-17,2016,September,9,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2016-09-01,277938,78454,,,,0,356392,1875290,225539,,,,0,2100829,53868,45364,,0,99232
2016-17,2016,October,10,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2016-10-01,278356,79715,,,,0,358071,1898629,216368,,,,0,2114997,55805,48200,,0,104005
2016-17,2016,November,11,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2016-11-01,265437,77171,,,,0,342608,1762052,202253,,,,0,1964305,53250,48881,,0,102131
2016-17,2016,December,12,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2016-12-01,263553,76454,,,,0,340007,1717391,189438,,,,0,1906829,58827,42344,,0,101171
2016-17,2017,January,1,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2017-01-01,278425,76331,,,,0,354756,1807003,187627,,,,0,1994630,65575,41752,,0,107327
2016-17,2017,February,2,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2017-02-01,283700,75831,,,,0,359531,1902538,191145,,,,0,2093683,68966,43202,,0,112168
2016-17,2017,March,3,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2017-03-01,295363,75695,,,,0,371058,2002922,215545,,,,0,2218467,72381,43822,,0,116203
2017-18,2017,April,4,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2017-04-01,300970,75476,,,,0,376446,2053074,236010,,,,0,2289084,76053,44501,,0,120554
2017-18,2017,May,5,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2017-05-01,303474,76550,,,,0,380024,2097963,253704,,,,0,2351667,80096,44847,,0,124943
2017-18,2017,June,6,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2017-06-01,293805,79886,,,,0,373691,2102582,277762,,,,0,2380344,84665,43435,,0,128100
2017-18,2017,July,7,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2017-07-01,312217,79355,,,,0,391572,2233289,294168,,,,0,2527457,90752,46200,,0,136952
2017-18,2017,August,8,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2017-08-01,301652,79431,,,,0,381083,2210374,302143,,,,0,2512517,88917,52992,,0,141909
2017-18,2017,September,9,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2017-09-01,295924,78496,,,,0,374420,2183646,303484,,,,0,2487130,88796,53132,,0,141928
2017-18,2017,October,10,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2017-10-01,313073,80629,,,,0,393702,2311084,315208,,,,0,2626292,93283,56919,,0,150202
2017-18,2017,November,11,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2017-11-01,310026,79703,,,,0,389729,2341001,314504,,,,0,2655505,85874,57246,,0,143120
2017-18,2017,December,12,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2017-12-01,321602,81178,,,,678,403458,2414048,314268,,,,1931,2730247,88735,57820,,21,146576
2017-18,2018,January,1,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2018-01-01,335481,83567,,,,609,419657,2490226,319261,,,,1970,2811457,91618,58928,,15,150561
2017-18,2018,February,2,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2018-02-01,321161,86267,,,,576,408004,2367390,313987,,,,1954,2683331,88780,61195,,13,149988
2017-18,2018,March,3,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2018-03-01,313668,87576,,,,573,401817,2292679,303134,,,,1953,2597766,87392,61354,,19,148765
