fiscal_year,year,equity_public_issues_no_of_issues,equity_public_issues_amount_cr,equity_qip_preferential_no_of_issues,equity_qip_preferential_amount_cr,debt_public_issues_no_of_issues,debt_public_issues_amount_cr,debt_private_placement_no_of_issues,debt_private_placement_amount_cr,reits_invits_no_of_issues,reits_invits_amount_cr,total_funds_mobilized_no_of_issues,total_funds_mobilized_amount_cr,released_on,updated_on,data_source,data_url
2013-14,2014,56,12067.866244199999,378,69454.79384276702,35,42382.97,1924,276054,0,0,2393,399959.630086967,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,2015,61,9434.041171775,442,51263.81500034499,25,9713.43,2611,404137,0,0,3139,474548.28617212,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,2016,84,26431.4443604,391,65120.57984789307,20,33811.92,2975,458073,0,0,3470,583436.9442082931,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,2017,118,32483.368371874996,429,52699.22540026196,16,29547.149999999998,3377,640716,0,0,3940,755445.743772137,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,2018,212,99764.95196395,473,126783.59983168202,8,5172.5599999999995,2706,599147,2,7282.84,3401,838150.951795632,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,2019,133,18235.3193872,416,218837.438875935,25,36679.40000000001,2358,610318,3,14535,2935,898605.158263135,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,2020,76,76965.20876000001,298,229275.46817527595,35,15068.37,1787,674703.0592,4,10772,2200,1006784.1061352759,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,2021,78,110118.34,266,119667.65,18,10588.02,1995,771839.98,6,52416,2363,1064629.99,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,2022,164,138894.642263045,378,92136.99,28,11589.41,1405,588038.2069,8,21562,1983,852221.249163045,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,2023,238,65823.5914251,464,92044.24,34,9220.64,1524,754467,7,6360,2267,927915.4714251,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,2024,340,83092.51624,750,114126.59370970001,45,19168,1347,837755.5469650901,17,39024,2499,1093166.6569147902,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,2025,464,210189.866133046,1079,219680.80006769,43,8149,1659,986733.6988191501,13,31442.22,3256,1455976.8750198863,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
