fiscal_year,month,month_numeric,data_from_table,equity_public_issues_no_of_issues,equity_public_issues_amount_cr,equity_qip_preferential_no_of_issues,equity_qip_preferential_amount_cr,debt_public_issues_no_of_issues,debt_public_issues_amount_cr,debt_private_placement_no_of_issues,debt_private_placement_amount_cr,reits_invits_no_of_issues,reits_invits_amount_cr,total_funds_mobilized_no_of_issues,total_funds_mobilized_amount_cr,released_on,updated_on,data_source,data_url
2013-14,April,4,Table 12: Funds Mobilised by all Instruments,7,379.2798944,34,11725.981630951997,1,133.7,206,41811.99,,,248,54050.95152535199,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,May,5,Table 12: Funds Mobilised by all Instruments,2,659.780438,57,6886.9456353529995,0,0,236,33758.64,,,295,41305.366073353,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,June,6,Table 12: Funds Mobilised by all Instruments,4,943.54,29,12861.386222299998,0,0,222,35213.92,,,255,49018.846222299995,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,July,7,Table 12: Funds Mobilised by all Instruments,2,416.359353,22,2439.2397573,1,735.89,141,12182.44,,,166,15773.9291103,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,August,8,Table 12: Funds Mobilised by all Instruments,5,42.894,32,962.4081663909999,0,0,55,2088.71,,,92,3094.012166391,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,September,9,Table 12: Funds Mobilised by all Instruments,8,1689.3459313,28,884.9532132030001,4,4893.24,128,17763.12,,,168,25230.659144503,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,October,10,Table 12: Funds Mobilised by all Instruments,6,72.87259999999999,23,3234.1918941500003,4,5083,150,23567.05,,,183,31957.11449415,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,November,11,Table 12: Funds Mobilised by all Instruments,4,121.78875430000001,23,710.456267515,2,4175.9,92,11174.94,,,121,16183.085021815,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,December,12,Table 12: Funds Mobilised by all Instruments,3,6966.6900000000005,26,6905.322519746,3,2403.61,143,24276.79,,,175,40552.412519746,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,January,1,Table 12: Funds Mobilised by all Instruments,3,23.5,48,11648.040944519998,8,12251.789999999999,145,20782.49,,,204,44705.820944520005,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,February,2,Table 12: Funds Mobilised by all Instruments,5,575.157636,22,8794.925839284,1,4083.12,162,20170.69,,,190,33623.893475284,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
