year,scheme_category,no_of_schemes_as_on_march,funds_mobilised_for_the_period_april_to_march_inr_crore,repurchase_redemption_for_the_period_april_to_march_inr_crore,net_inflow_outflow_for_the_period_april_to_march_inr_crore,net_asset_under_management_as_on_march_inr_crore,released_on,updated_on,data_source,data_url
2025,Overnight Fund,34,5834393.482629984,5839389.097091788,-4995.614461805111,62458.43041655578,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2024,Overnight Fund,32,1211968.49,1220143.48,-8174.98,89223.42,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2023,Overnight Fund,32,5352764.85784536,5367160.01053023,-14395.1526848692,95625.58011598,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2022,Overnight Fund,30,4201907.424681335,4173345.083455437,28562.34122589755,103071.31598150404,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2025,Liquid Fund,37,4734720.687585796,4696371.977227226,38348.7103585694,437773.9325616652,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2024,Liquid Fund,36,999037.64,919129.54,79908.1,419555.59,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2023,Liquid Fund,36,3566045.75507679,3602648.67171507,-36602.9166382798,332498.15397999,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2022,Liquid Fund,37,3072449.78306467,3076026.2378710653,-3576.4648063941363,345903.4624088644,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2025,Ultra Short Duration Fund,25,296158.5725660864,288386.9003801621,7771.672185924271,98541.7927433167,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2024,Ultra Short Duration Fund,25,59136.16,42774.83,16361.34,97161.26,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2023,Ultra Short Duration Fund,25,190907.72888488,204570.46718406,-13662.73829918,79122.51289769,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2022,Ultra Short Duration Fund,27,227791.562082753,230311.59659730483,-2520.044514551745,87948.44960403921,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2025,Low Duration Fund,22,191223.8706923329,176494.37461574856,14729.496076584259,112928.32723756692,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2024,Low Duration Fund,21,33319.94,22751.68,10568.26,99019.05,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2023,Low Duration Fund,21,100879.18675029,131983.89784523,-31104.71109494,86692.52761761,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2022,Low Duration Fund,22,230949.95436529556,252797.16232514166,-21847.20795985612,112744.66239969572,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2025,Money Market Fund,24,734886.3666626826,668304.7269890533,66581.63967362915,232662.85009507695,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2024,Money Market Fund,22,96873.87,67354.83,29519.05,140034.52,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2023,Money Market Fund,22,282145.53418741,294815.12108971,-12669.5869023,108468.11987374,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2022,Money Market Fund,20,354414.07968220394,334432.72010430496,19981.359577899027,114219.14901750568,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2025,Short Duration Fund,24,75553.99663471497,69975.65846683293,5578.338167882057,113320.84867672388,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2024,Short Duration Fund,25,10767.11,5116.49,5650.63,99138.83,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2023,Short Duration Fund,25,38512.70613319,67458.92218747,-28946.21605428,91238.61203153,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2022,Short Duration Fund,25,70188.34671167764,100230.31417427406,-30041.967462596403,115856.34309135833,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2025,Medium Duration Fund,13,5072.242388315228,8403.219245316286,-3330.976857001059,24666.487119432084,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2024,Medium Duration Fund,15,1120.4,1451.46,-331.05,27349.41,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2023,Medium Duration Fund,15,5397.93978904,12548.43048656,-7150.49069752,27090.56178032,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2022,Medium Duration Fund,16,14398.885574286516,12948.349754866334,1450.5358194201813,32983.4621960133,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2025,Medium to Long Duration Fund,13,2407.884195540186,2289.210902013296,118.67329352688932,11553.692344258,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2024,Medium to Long Duration Fund,12,1286.59,522.3,764.29,9883.62,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2023,Medium to Long Duration Fund,12,1028.4543545,2497.05739512,-1468.60304062,8894.71323699,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2022,Medium to Long Duration Fund,13,7792.903872117691,8580.853720926001,-787.9498488083074,10054.516997055549,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2025,Long Duration Fund,11,9694.889626163,3696.070403698,5998.819222464999,20344.323396063628,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2024,Long Duration Fund,7,324.97,175.95,149.01,9183.13,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2023,Long Duration Fund,7,6464.0292697,344.584693,6119.4445767,8797.8767456,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2022,Long Duration Fund,2,298.4133716869999,412.4071202557781,-113.99374856877824,2523.489722334883,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2025,Dynamic Bond Fund,22,10986.945206681155,9941.465374134,1045.479832547158,35591.66304852987,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2024,Dynamic Bond Fund,22,1509.09,1294.8,214.29,30210.27,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2023,Dynamic Bond Fund,22,12161.1161119,9249.27605865,2911.84005325,29286.89035995,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2022,Dynamic Bond Fund,25,13439.990881683874,15278.786411699244,-1838.7955300153717,25312.029601986666,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2025,Corporate Bond Fund,21,82571.81026947635,67999.16307890887,14572.647190567464,175800.1846950518,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2024,Corporate Bond Fund,21,8656.28,7429.74,1226.54,135476.04,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2023,Corporate Bond Fund,21,47796.38361083,51242.76077732,-3446.37716649,130766.62457795,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2022,Corporate Bond Fund,21,62033.57303012986,99184.76039964656,-37151.18736951668,130073.36077217842,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2025,Credit Risk Fund,14,667.8391892989004,5157.75012296263,-4489.91093366373,20462.7301724994,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2024,Credit Risk Fund,15,288.98,1252.67,-963.68,24324.52,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2023,Credit Risk Fund,15,3424.49876109,7565.96142576,-4141.46266467,24776.35291953,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2022,Credit Risk Fund,15,6476.152750037781,5908.9684199269,567.1843301108809,27772.365001717026,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
