fiscal_year,month,month_numeric,data_from_table,airlines,automobile,banking_fis,cement_construction,chemicals,consumer_services,electrical_equipment_production,engineering,entertainment,finance,food_processing,healthcare,hotels,information_technology,insurance,miscellaneous,oil_natural_gas,paper_pulp,plastic,power,printing,roads_highways,telecommunication,textile,total,released_on,updated_on,data_source,data_url
2013-14,April,4,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),,,,2.616,,13,,,,282.5805064,,,,,,21,,,,,,,,5.082,324.27850639999997,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,May,5,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),,,,,,,,,108.9342,,,,,,,,,,,,,,,550.846238,659.780438,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,June,6,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),,,,,,919.14,,,2.8,6,,,,,,15.6,,,,,,,,,943.54,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,July,7,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),,,,,,,,,,,,,,,,416.359353,,,,,,,,,416.359353,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,August,8,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),,,,,,,,24.75,,18.144,,,,,,,,,,,,,,,42.894,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,September,9,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),,249.487035,,,,,,,588.330644,,5.004,,8,,,838.5242523,,,,,,,,,1689.3459312999998,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,October,10,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),,,,,,,18.75,,,44.3026,,,,,,6.32,,,,,,,,3.5,72.8726,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,November,11,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),,,,,,,,25,,9,12.86775,,,,,74.9210043,,,,,,,,,121.78875430000001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,December,12,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),,,,,,,,,,,,,,,,2.11,,,5.94,6958.64,,,,,6966.6900000000005,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,January,1,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),,,,,,,7.45,,,,,,,,,11.52,,,,,,,4.53,,23.5,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,February,2,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),,,,66.307636,,,,498.134,,,,,,,,3.02,,,7.7,,,,,,575.161636,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,March,3,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),,6.855,,,,,10.37,,,,,,,,,159.43263720000002,,,,,,,,,176.6576372,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,April,4,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),,,,,,,,,,,2.1,,,,,6.5,,,,1989.317364,,,,3.71,2001.627364,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
