fiscal_year,year,parameter,airlines,automobile,banking_fis,cement_construction,chemicals,consumer_services,electrical_equipment_production,engineering,entertainment,finance,food_processing,healthcare,hotels,information_technology,insurance,miscellaneous,oil_natural_gas,paper_pulp,plastic,power,printing,roads_highways,telecommunication,textile,total,released_on,updated_on,data_source,data_url
2013-14,2014,Amount (₹ crore),0.0,256.342035,0.0,68.923636,0.0,932.14,91.571388,547.884,700.064844,360.0271064,17.87175,0.0,8.0,0.0,0.0,1548.8072468000005,0.0,0.0,13.64,6958.64,0.0,0.0,4.53,559.428238,12067.8702442,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,2015,Amount (₹ crore),0.0,0.0,411.104595,625.236581,351.8599344,191.01,99.5835637,9.0,132.1532267,445.0787761,12.07,0.0,2188.263508,136.6635415,0.0,1902.837201375,0.0,0.0,7.7,1989.317364,0.0,524.52288,0.0,407.64,9434.041171775,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,2016,Amount (₹ crore),3017.1,1131.8444689,474.02776,7909.8185886,70.0,428.47723,61.3238274,305.71439999999996,995.5,50.709999999999994,772.2,3795.2199999999993,1157.02,464.5587799,0.0,4450.385070599999,0.0,4.29,99.990828,0.0,3.04,1231.820063,0.0,8.403344,26431.444360399997,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,2017,Amount (₹ crore),0.0,1342.1439800500002,3626.9208083,149.79507662499998,19.1732,281.512,55.178,12.5092,511.778649,6313.039657,2354.5161600000006,1882.8624088,0.0,2607.78,6056.7913372,4670.4545839,1039.0,49.7538456,0.0,364.5799974,0.0,653.98,0.0,491.59946800000006,32483.368371875,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,2018,Amount (₹ crore),4113.13,0.0,8057.783616000001,890.82034,1001.327752,895.25,1555.2117990000002,542.1928082,759.430794,4334.926485,1978.192344,3384.1668373999996,1518.843225,1907.7753146500004,43571.788782699994,22283.969298400003,0.0,74.12,197.195975,24.56,14.1669,600.65,1287.3292824,772.1204102000002,99764.95196394998,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,2019,Amount (₹ crore),0.0,2515.1912718,1131.1876268,1112.133818,691.8318302,29.6952,298.41911220000003,676.4975999999999,1.35,10019.512374699998,90.4176,84.75999999999999,2681.8046400000003,48.400200000000005,0.0,2862.9120587999996,10.08,0.0,38.52,11.34,0.0,86.96520000000001,0.0,1330.8333208,23721.8518533,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,2020,Amount (₹ crore),0.0,0.0,2345.4762225,274.93978810000004,153.0,106.0,4218.0,1992.0,2.26,10446.0,71.31,4726.76,3.6,484.0,0.0,1727.71,0.0,0.0,500.0,0.0,6.58,0.0,49969.65,24.81,77052.0960106,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,2021,Amount (₹ crore),0.0,29.7,15119.9,22.42,2353.169998,786.22,6.89,2026.8800815,888.8900000000001,14924.643042,1350.54,6579.55,349.66,1340.26,0.0,9281.79,53149.3,0.0,10.55,25.0,2.4,9.5,819.24,1041.85,110118.35312150004,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,2022,Amount (₹ crore),0.0,6326.0,1200.29,8200.0,6461.0,1101.12,53.0,650.0,0.0,3532.0,6303.7640964,11988.092624999996,4304.0,3794.0,6018.68,52315.0,22.95,0.0,16.51,0.0,12.0,962.33,21276.00389,4359.0,138895.7406114,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,2023,Amount (₹ crore),0.0,9.41,934.466,1200.5108,4085.9135,8.7,1627.3917,819.2376350000001,62.84,3745.011,1447.3432,4549.1691349,9.0,1738.506264,20557.23,20253.818649900004,4310.2,0.0,26.36,3.996,0.0,0.0,26.02,408.1006,65823.22448379999,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,2024,Amount (₹ crore),0.0,1499.4979199999998,3246.350551,5012.6219646,983.6554858,4219.19,6553.902292999998,971.40312,195.796131,10451.940295,1085.0771286,7154.4762636000005,4139.2270305,5192.90006,1171.58,28638.266284299985,585.4933012,0.0,108.57952,170.49879439999998,0.0,210.662697,49.46,1451.9373999999998,83092.51624,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,2025,Amount (₹ crore),0.0,36659.0,1449.0,9429.412880000002,4610.0,28695.0,18127.06173816,0.0,221.0,15958.0,6688.49685348,14819.0,0.0,14565.0,4815.0,19322.56243400602,79.0,85.0,0.0,10298.0,46.0,0.0,22725.0,1598.0,210189.533905646,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2014,No. of issues,0.0,2.0,0.0,3.0,0.0,2.0,4.0,4.0,3.0,10.0,2.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,3.0,56.0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,2015,No. of issues,0.0,0.0,2.0,5.0,1.0,2.0,3.0,1.0,3.0,10.0,3.0,0.0,3.0,3.0,0.0,16.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,5.0,61.0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,2016,No. of issues,1.0,3.0,1.0,8.0,1.0,2.0,5.0,6.0,4.0,3.0,5.0,7.0,5.0,3.0,0.0,22.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,3.0,84.0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,2017,No. of issues,0.0,3.0,4.0,7.0,4.0,3.0,7.0,3.0,3.0,6.0,7.0,6.0,0.0,5.0,1.0,40.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,14.0,118.0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,2018,No. of issues,1.0,0.0,4.0,11.0,7.0,15.0,17.0,5.0,4.0,7.0,13.0,12.0,2.0,20.0,5.0,63.0,0.0,2.0,5.0,3.0,1.0,1.0,4.0,10.0,212.0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,2019,No. of issues,0.0,5.0,1.0,9.0,8.0,4.0,9.0,16.0,1.0,6.0,4.0,4.0,3.0,3.0,0.0,50.0,1.0,0.0,2.0,1.0,0.0,6.0,0.0,12.0,145.0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,2020,No. of issues,0.0,0.0,3.0,5.0,4.0,4.0,5.0,5.0,1.0,3.0,3.0,8.0,1.0,4.0,0.0,27.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,79.0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,2021,No. of issues,0.0,1.0,2.0,3.0,5.0,5.0,1.0,7.0,4.0,9.0,2.0,2.0,1.0,8.0,0.0,17.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,3.0,78.0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,2022,No. of issues,0.0,4.0,1.0,13.0,7.0,2.0,5.0,4.0,0.0,5.0,8.0,21.0,5.0,13.0,1.0,60.0,2.0,0.0,2.0,0.0,1.0,1.0,2.0,7.0,164.0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,2023,No. of issues,0.0,1.0,6.0,16.0,12.0,2.0,12.0,7.0,2.0,7.0,11.0,14.0,1.0,9.0,1.0,121.0,2.0,0.0,3.0,1.0,0.0,0.0,1.0,9.0,238.0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,2024,No. of issues,0.0,4.0,7.0,9.0,13.0,7.0,24.0,19.0,6.0,13.0,9.0,25.0,4.0,27.0,1.0,146.0,2.0,0.0,3.0,5.0,0.0,3.0,1.0,12.0,340.0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,2025,No. of issues,0.0,19.0,8.0,26.0,23.0,23.0,86.0,0.0,7.0,34.0,18.0,23.0,0.0,22.0,2.0,131.0,3.0,2.0,0.0,3.0,1.0,0.0,4.0,29.0,464.0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
