fiscal_year,data_from_table,nse,released_on,updated_on,data_source,data_url
2013-14,Table 41: Instrument-wise Share of Securities Traded in Negotiated Trade Reporting Platform,41.49,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,Table 41: Instrument-wise Share of Securities Traded in Negotiated Trade Reporting Platform,53.17,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,Table 41: Instrument-wise Share of Securities Traded in Negotiated Trade Reporting Platform,56.22,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,Table 41: Instrument-wise Share of Securities Traded in Negotiated Trade Reporting Platform,60.04,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,Table 41: Instrument-wise Share of Securities Traded in Negotiated Trade Reporting Platform,56.42,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,Table 41: Instrument-wise Share of Securities Traded in Negotiated Trade Reporting Platform,52.44,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,Table 41: Instrument-wise Share of Securities Traded in Negotiated Trade Reporting Platform,59.650000000000006,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,Table 41: Instrument-wise Share of Securities Traded in Negotiated Trade Reporting Platform,55.33,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,Table 41: Instrument-wise Share of Securities Traded in Negotiated Trade Reporting Platform,55.48,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,Table 41: Instrument-wise Share of Securities Traded in Negotiated Trade Reporting Platform,42.54118235528031,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,Table 41: Instrument-wise Share of Securities Traded in Negotiated Trade Reporting Platform,49,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,Table 41: Instrument-wise Share of Securities Traded in Negotiated Trade Reporting Platform,42.29,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
