fiscal_year,data_from_table,bse_turnover_inr_crore_usdinr,bse_turnover_inr_crore_eurinr,bse_turnover_inr_crore_gbpinr,bse_turnover_inr_crore_jpyinr,bse_turnover_inr_crore_eurusd,bse_turnover_inr_crore_gbpusd,bse_turnover_inr_crore_usdjpy,bse_open_interest_as_on_last_day_of_the_month_in_lots_usdinr,bse_open_interest_as_on_last_day_of_the_month_in_lots_eurinr,bse_open_interest_as_on_last_day_of_the_month_in_lots_gbpinr,bse_open_interest_as_on_last_day_of_the_month_in_lots_jpyinr,bse_open_interest_as_on_last_day_of_the_month_in_lots_eurusd,bse_open_interest_as_on_last_day_of_the_month_in_lots_gbpusd,bse_open_interest_as_on_last_day_of_the_month_in_lots_usdjpy,nse_turnover_inr_crore_usdinr,nse_turnover_inr_crore_eurinr,nse_turnover_inr_crore_gbpinr,nse_turnover_inr_crore_jpyinr,nse_turnover_inr_crore_eurusd,nse_turnover_inr_crore_gbpusd,nse_turnover_inr_crore_usdjpy,nse_open_interest_as_on_last_day_of_the_month_in_lots_usdinr,nse_open_interest_as_on_last_day_of_the_month_in_lots_eurinr,nse_open_interest_as_on_last_day_of_the_month_in_lots_gbpinr,nse_open_interest_as_on_last_day_of_the_month_in_lots_jpyinr,nse_open_interest_as_on_last_day_of_the_month_in_lots_eurusd,nse_open_interest_as_on_last_day_of_the_month_in_lots_gbpusd,nse_open_interest_as_on_last_day_of_the_month_in_lots_usdjpy,msei_turnover_inr_crore_usdinr,msei_turnover_inr_crore_eurinr,msei_turnover_inr_crore_gbpinr,msei_turnover_inr_crore_jpyinr,msei_turnover_inr_crore_eurusd,msei_turnover_inr_crore_gbpusd,msei_turnover_inr_crore_usdjpy,msei_open_interest_as_on_last_day_of_the_month_in_lots_usdinr,msei_open_interest_as_on_last_day_of_the_month_in_lots_eurinr,msei_open_interest_as_on_last_day_of_the_month_in_lots_gbpinr,msei_open_interest_as_on_last_day_of_the_month_in_lots_jpyinr,msei_open_interest_as_on_last_day_of_the_month_in_lots_eurusd,msei_open_interest_as_on_last_day_of_the_month_in_lots_gbpusd,msei_open_interest_as_on_last_day_of_the_month_in_lots_usdjpy,released_on,updated_on,data_source,data_url
2013-14,Table 35: Instrument-wise Trends in Currency Derivative Segment,243168.68,1663.4649999999997,1818.63,673.19,,,,,,,,,,,3712187.1377789993,132059.47376524998,117841.64963199999,50425.191827999995,0,0,0,965287,42636,19803,6748,0,0,0,2190560.0034830105,98238.44179500008,88576.99874949998,45034.637906000025,,,,315752,14437,11070,3150,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,Table 35: Instrument-wise Trends in Currency Derivative Segment,1899622.3716000002,2980.7317000000003,2456.6388000000006,3483.7284,,,,,,,,,,,2774120.31253175,103260.6342365,116198.95743775001,30327.763471250004,0,0,0,3190546,51053,35036,9955,0,0,0,576715.8999400001,25874.62399449998,38258.6760275,9076.1625615,,,,350505,5791,4499,365,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,Table 35: Instrument-wise Trends in Currency Derivative Segment,2751844.7057,7785.7367,3136.0607,1159.6313000000002,,,,1275750,11087,645,359,,,,4205400.42066525,135414.50916125,130497.33005899999,30573.32162325,0,0,0,4364508,68311,21529,10093,0,0,0,296770.8776757499,13422.711158500002,12541.377068499985,1840.5816455000001,,,,315831,3213,3183,584,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,Table 35: Instrument-wise Trends in Currency Derivative Segment,3148260.1673,9756.003499999999,9401.1266,4230.639999999999,,,,1575230,11810,9156,2150,,,,4507897.788149251,99183.96813724999,183698.5956185,66295.502898,0,0,0,4606551,67631,43717,17015,0,0,0,289589.3697940001,2173.14415625,4391.6697,1773.4904652500009,,,,226074,1546,3268,1701,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,Table 35: Instrument-wise Trends in Currency Derivative Segment,4403388.1429,10491.211399999998,10781.6221,1726.4691,5148.119699999999,4719.505800000001,175.3591,871702,22950,5696,1860,1994,3967,3,4612668.18215225,161598.72606000004,194484.71142375,46310.02973575001,7168.01117618384,5887.954555756642,384.53713505950003,3503144,182368,98106,34923,15886,11570,1223,113894.65917500024,709.2592974999998,942.4778135000001,186.38497300000006,,,,93395,1292,906,44,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,Table 35: Instrument-wise Trends in Currency Derivative Segment,7336635.868761002,5354.2229065,4940.553378,1322.259218,2712.9961697707818,1275.37165016061,33.1141,709594,873,1332,354,0,9,0,7978933.798264251,176061.2688685,226751.72231325,59106.0906495,42661.71632945122,33643.821512666545,1192.8246283442,4059718,50501,37698,21801,33796,1978,74,45388.394358750025,682.56191225,1144.1230632500003,21.812766999999997,1.6082799439999997,0.018059051561999998,0,18649,53,7,6,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,Table 35: Instrument-wise Trends in Currency Derivative Segment,6677486.470000001,1792.54,2170.68,1823.75,0.09,0.04,0.17,2270484,7992,338,9434,0,0,0,9009927.992514,170324.37954974998,374339.80154675,75589.00403775,11480.417642609065,12513.169358854519,219.0037257473111,"66,80,611",81513,32141,30965,650,643,24,43153.868839250084,941.3291124999996,1223.8098987500011,5.511101750000005,0,0,0,6062,11,0,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,Table 35: Instrument-wise Trends in Currency Derivative Segment,5107532.52,4268.360000000001,10899.16,1063.39,0,0,0,3385290,1688,4090,3433,0,0,0,10763442.38,423522.373,802178.8235,102654.8373,5613.264986,8457.395201,108.8021776,9605752,134620,186934,39830,2192,1446,1102,95917.5638,510.3686693,1958.83211,7.93155425,0,0,0,70966,111,270,100,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,Table 35: Instrument-wise Trends in Currency Derivative Segment,6439211.199999999,2336.4300000000003,11280.26,1697.91,0,0.04,0,2910829,455,1111,20494,0,0,0,19807935.64,451586.71,791964.59,116165.97,3059.1,4364.2,478.37,11408417,146316,202351,196871,3459,3823,3068,86939.55266600003,108.87295925000001,2867.3803537999997,354.29509425000003,0,0,0,27041,3400,300,19162,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,Table 35: Instrument-wise Trends in Currency Derivative Segment,6232275.319999999,12125.91,20441.59,7020.72,0,0.02,0.02,3261659,19377,25415,18350,0,0,0,36472558.54,590765.29,847830.14,161602.06,4417.16,6955.24,2744.29,14680983,266268,307101,52237,24455,6927,1459,230028.4879,169.586207,875.976376,360.58217,0,0,0,241781,3,5,10,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
