fiscal_year,data_from_table,bse_06ygs768,bse_06ygs827,bse_10ygs716,bse_10ygs759,bse_10ygs772,bse_10ygs840,bse_10ygs883,bse_13ygs759,bse_13ygs788,bse_645gs2029,bse_668gs2031,bse_679gs2027,bse_679gs2029,bse_697gs2026,bse_717gs2028,bse_726gs2029,bse_727gs2026,bse_757gs2033,bse_759gs2026,bse_759gs2029,bse_761gs2030,bse_768gs2023,bse_772gs2025,bse_788gs2030,bse_795gs2032,bse_827gs2020,bse_840gs2024,bse_onmibor,bse_577gs2030,bse_579gs2030,bse_610gs2031,bse_664gs2035,bse_654gs2032,bse_667gs2035,bse_754gs2036,bse_726gs2032,bse_718gs2033,bse_726gs2033,nse_10ygs7,nse_577gs2030,nse_579gs2030,nse_585gs2030,nse_619gs2034,nse_645gs2029,nse_668gs2031,nse_679gs2027,nse_679gs2029,nse_679gs2034,nse_697gs2026,nse_710gs2034,nse_716gs2023,nse_717gs2028,nse_726gs2029,nse_727gs2026,nse_757gs2033,nse_759gs2026,nse_759gs2029,nse_761gs2030,nse_768gs2023,nse_772gs2025,nse_788gs2030,nse_795gs2032,nse_827gs2020,nse_883gs2023,nse_840gs2024,nse_563gs2026,nse_610gs2031,nse_664gs2035,nse_667gs2035,nse_654gs2032,nse_726gs2032,nse_754gs2036,nse_91dtb,nse_onmibor,nse_718gs2033,nse_718gs2037,nse_723gs2039,nse_726gs2033,nse_741gs2036,msei_716gs2023,msei_840gs2024,msei_883gs2023,msei_772gs2025,msei_679gs2027,msei_697gs2026,msei_759gs2026,msei_0788gs2030,msei_0759gs2029,msei_0768gs2023,released_on,updated_on,data_source,data_url
2013-14,Table 39: Instrument-wise Turnover in Interest Rate Derivatives,0,0,0.39239,0,0,0,2579.5506362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,0,0,0,0,,0,,12.788176,0,0,0,0,0,0,0,0,0,0,0,0,30160.1022985,0,,,,,,,,0,0,,,,,,0.053476,0,7190.761870000002,0,0,0,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,Table 39: Instrument-wise Turnover in Interest Rate Derivatives,0,0,0,0,0,35754.85101298,6120.765637199999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,118427.7589755,303130.518039,,,,,,,,0,0,,,,,,0,8924.794552000005,1387.1798810000007,0,0,0,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,Table 39: Instrument-wise Turnover in Interest Rate Derivatives,618.30359,870.3895684999999,0,1247.3484720000001,93823.74481394001,15600.267874000003,0,400.500975,1559.99925638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,0,0,0,0,,0,,0,0,0,0,0,8562.8386395,1732.039261,0,168.925613,286574.2654025,32296.3397325,0,2488.8553285,0,194601.3096035,,,,,,,,0,0,,,,,,0,11502.820617499985,0,11309.749504999983,0,0,0,0.238703,1.4918075,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,Table 39: Instrument-wise Turnover in Interest Rate Derivatives,0,0,0,0,0,0,0,0,0,0,0,0,0,2875.4927025,0,0,0,0,90408.55840599997,488.99509450000005,72.47601,362.33932350000003,28441.595493,4890.230075500001,0,12.4056,427.4133775,0,0,0,0,0,,,,,,,0,,,,,0,0,0,0,,10512.119944,,0,0,0,0,0,217020.39622,508.1104635,2670.431595,29.115715,46251.1974715,30817.88896,0,0,0,0.062618,,,,,,,,0,0,,,,,,0,0,0,571.1754304999998,0,0,1905.5359024999993,37.78122499999999,32.031321500000004,2.8297475000000003,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,Table 39: Instrument-wise Turnover in Interest Rate Derivatives,0,0,0,0,0,0,0,0,0,0,24483.185969999995,55969.35144428,35040.342702999995,48013.7242665,11254.4225205,0,0,0,49074.945513000006,0,34.8993125,0,0,10.01064,0,0,0,0,0,0,0,0,,,,,,,0,,,,,0,3567.971498,195860.423612,701.0710945,,62856.8487445,,0,964.722837,0,0,0,53546.7494645,0,3619.375437,0,0,90.958472,0,0,0,0,,,,,,,,0,0,,,,,,0,0,0,0,5.1067,141.4592255,71.9822075,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,Table 39: Instrument-wise Turnover in Interest Rate Derivatives,0,0,0,0,0,0,0,0,0,0,25349.4134273,32540.060876199997,824.4393345000001,1920.1884525000003,49279.86650428,361.620995,0,0,0,0,0,0,0,0,946.6925,0,0,0,0,0,0,0,,,,,,,0,,,,,0,343.009214,42473.2267895,0,,0,,0,201603.6141835,381.06745,0,0,0,0,0,0,0,0,605.26725,0,0,0,,,,,,,,0,0.99887385,,,,,,0,0,0,0,0,0,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,Table 39: Instrument-wise Turnover in Interest Rate Derivatives,0,0,0,0,0,0,0,0,0,13081.5,17644.95,,,,18899.98,44836.51,1463.11,559.45,0,0,0,0,0,0,3671.04,0,0,0.98,0,0,0,0,,,,,,,0,,,,,94274.20393849998,68.7975,0,0,,0,,0,67521.5196485,192938.2072295,0,437.781366,0,0,0,0,0,0,5570.6293925,0,0,0,,,,,,,,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,Table 39: Instrument-wise Turnover in Interest Rate Derivatives,0,0,0,0,0,0,0,0,0,29104.7,0,,,,,3078.87,,205.42,0,0,0,0,0,0,55.55,0,0,,8247.369999999999,290.84,0,0,,,,,,,0,24354.530418,416.701286,1166.1863385,153.81775,69892.0877105,0,0,0,,0,,0,0,233.493993,0,683.8243425,0,0,0,0,0,0,489.860496,0,0,0,0,0,0,0,,,,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,Table 39: Instrument-wise Turnover in Interest Rate Derivatives,,,,,,,,,,4015.0578291,,,,,,,,,,,,,,,,,,,15911.74068072,7676.6102204,7312.638196280001,8249.16123156,0,0,0,,,,0,552.5799999999999,0,8776.68,111.23,12.09,0,0,0,,0,,0,0,0,0,222.75,0,0,0,0,0,0,,0,0,0,208.14999999999912,14820.6,1260.46,380.54,0,0,0,12,0,,,,,,0,0,0,0,0,0,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,Table 39: Instrument-wise Turnover in Interest Rate Derivatives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,477.7962067599999,3252.9403558,7646.1478012,5524.395581119999,3930.129342000001,739.5999999999999,1119.23406,861.8862160000002,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,7751.460204999999,293.60175000000004,1464.566,4968.5078745,10377.4269605,1440.1849819999998,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
