fiscal_year,year,month,month_numeric,data_from_table,depository,debt_listed_no.of_issuers_debt,debt_listed_no.of_active_instruments,debt_listed_demat_quantity_lakh,debt_listed_demat_value_rs_crore,debt_listed_quantity_settled_during_the_month_lakh,debt_listed_value_settled_during_the_month_rs_crore,debt_unlisted_no.of_issuers_debt,debt_unlisted_no.of_active_instruments,debt_unlisted_demat_quantity_lakh,debt_unlisted_demat_value_rs_crore,debt_unlisted_quantity_settled_during_the_month_lakh,debt_unlisted_value_settled_during_the_month_rs_crore,equity_listed_no.of_companies,equity_listed_no.of_active_instruments,equity_listed_demat_quantity_lakh,equity_listed_demat_value_rs_crore,equity_listed_quantity_settled_during_the_month_lakh,equity_listed_value_settled_during_the_month_rs_crore,equity_unlisted_no.of_companies,equity_unlisted_no.of_active_instruments,equity_unlisted_demat_quantity_lakh,equity_unlisted_demat_value_rs_crore,equity_unlisted_quantity_settled_during_the_month_lakh,equity_unlisted_value_settled_during_the_month_rs_crore,others_listed_no.of_issuers,others_listed_no.of_active_instruments,others_listed_demat_quantity_lakh,others_listed_demat_value_rs_crore,others_listed_quantity_settled_during_the_month_lakh,others_listed_value_settled_during_the_month_rs_crore,others_unlisted_no.of_issuers,others_unlisted_no.of_active_instruments,others_unlisted_demat_quantity_lakh,others_unlisted_demat_value_rs_crore,others_unlisted_quantity_settled_during_the_month_lakh,others_unlisted_value_settled_during_the_month_rs_crore,total_listed_no.of_issuers_of_debt_companies_equity,total_listed_no.of_active_instruments,total_listed_demat_quantity_lakh,total_listed_demat_value_rs_crore,total_listed_quantity_settled_during_the_month_lakh,total_listed_value_settled_during_the_month_rs_crore,total_unlisted_no.of_issuers_of_debt_companies_equity,total_unlisted_no.of_active_instruments,total_unlisted_demat_quantity_lakh,total_unlisted_demat_value_rs_crore,total_unlisted_quantity_settled_during_the_month_lakh,total_unlisted_value_settled_during_the_month_rs_crore,released_on,updated_on,data_source,data_url
2015-16,2015,April,4,Table 51: Instrument-wise Dematerialisation Statistics,CDSL,488,18297,1702,37434.88,66.43500999999998,614.692925145,194,3917,7073,10744.54,0,0,6202,8402,1161262,1264563.83,47379.683469999996,38267.30334217,1955,2361,744016,56776.1,0,0,2582,33562,55124,13276.018335996067,2498.46942909,1316.8788434241662,322,5088,118645,12037.971664003935,0,0,9272,60261,1218088,1315274.728335996,49944.58790909,40198.875110739165,2471,11366,869734,79558.61166400394,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,2015,May,5,Table 51: Instrument-wise Dematerialisation Statistics,CDSL,489,18509,1720,36837.16,99.22024,875.8079215729999,195,3978,7039,10745.72,0,0,6218,8425,1165008,1332508.03,42485.31749000001,33906.348882647,1978,2385,744559,56856.47,0,0,2595,34492,55749,12130.466061461693,2379.6570707399997,1328.8504152711218,327,5138,119473,12046.623938538309,0,0,9302,61426,1222477,1381475.6560614617,44964.194800740006,36111.007219491126,2500,11501,871071,79648.81393853831,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,2015,June,6,Table 51: Instrument-wise Dematerialisation Statistics,CDSL,494,18725,1734,37232.75,145.33892,1396.312807351,205,4030,8851,16345.45,0,0,6233,8449,1176746,1285253.43,43881.45835000001,35872.80316319699,1999,2414,747967,57418.96,0,0,2608,34920,56996,13218.334887498573,3278.6939817299995,1289.4698548402237,333,5205,119488.00000000001,12203.925112501427,0,0,9335,62094,1235476,1335704.5148874985,47305.49125173,38558.58582538822,2537,11649,876306,85968.33511250143,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,2015,July,7,Table 51: Instrument-wise Dematerialisation Statistics,CDSL,492,18945,1707,36814.98,239.76013000000003,683.37514233,211,4078,13747,16841.52,0,0,6250,8485,1184935,1307949.52,65402.92632000002,51458.46599349699,2013,2434,749488,57552.95,0,0,2626,35295,57688,12825.475605678295,3654.3688396400003,1479.8904710753618,340,5284,119688.99999999999,12203.014394321706,0,0,9368,62725,1244330,1357589.9756056783,3654.3688396400003,53621.73160690235,2564,11796,882924,86597.48439432171,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,2015,August,8,Table 51: Instrument-wise Dematerialisation Statistics,CDSL,494,19162,1698,37229.1,36.638830000000006,458.86813008600006,210,4118,14296,17056.45,0,0,6282,8530,1189219,1193960.16,70765.50575999999,50328.962365750995,2024,2455,759596,58573.19,0,0,2633,35564,58491.99999999999,13575.01861466203,3709.4014587399997,1976.5804102932848,344,5334,120028.00000000001,12460.00138533797,0,0,9409,63256,1249409,1244764.2786146621,74511.54604873998,52764.41090613027,2578,11907,893920,88089.64138533796,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,2015,September,9,Table 51: Instrument-wise Dematerialisation Statistics,CDSL,498,19500,1703,37530.72,34.87344,865.6786166930001,216,4172,15197,17779.12,0,0,6299,8555,1196279,1177490.51,36951.33032000001,32440.539809423,2050,2489,767369,58628.72,0,0,2636,35803,59533.00000000001,13787.952336615619,2790.3592815399998,1540.486739414148,352,5421,132605.00000000003,13950.08766338438,0,0,9433,63858,1257515,1228809.1823366156,39776.56304154,34846.70516553015,2618,12082,915171,90357.92766338438,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,2015,October,10,Table 51: Instrument-wise Dematerialisation Statistics,CDSL,502,19668,1745,38160.92,24.37142,464.63904900099993,220,4222,15706,18317.41,0,0,6312,8583,1212938,1226000.24,49164.62263,39954.255602779995,2060,2501,775967,59384.7,0,0,2660,36029,53373,12925.118201950383,2784.4892057399998,1405.6980637056056,356,5487,133220,14366.611798049616,0,0,9474,64280,1268056,1277086.2782019502,51973.48325573999,41824.5927154866,2636,12210,924893,92068.72179804962,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,2015,November,11,Table 51: Instrument-wise Dematerialisation Statistics,CDSL,499,19818,1745,37713.25,22.983349999999998,402.28513238,224,4248,15691.999999999998,18475.01,0,0,6321,8603,1220325,1230011.11,44802.38621,38718.283038181995,2079,2521,779998,59981.51,0,0,2682,36231,48748,13244.604282717753,2415.00999744,1364.8198734669559,353,5520,133382,15356.715717282248,0,0,9502,64652,1270818,1280968.9642827178,47240.37955744,40485.38804402895,2656,12289,929072,93813.23571728225,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,2015,December,12,Table 51: Instrument-wise Dematerialisation Statistics,CDSL,503,19977,1810.0000000000002,38376.53,23.386599999999998,588.503609384,225,4314,15943,18642.18,0,0,6331,8628,1223486,1241587.47,68988.90272000001,51317.379002559996,2098,2541,811484,63088.43,0,0,2697,36448,42051,12563.67735554556,2959.79804483,1411.3105808361463,355,5606,133372,16151.522644454439,0,0,9531,65053,1267347,1292527.6773555456,71972.08736483,53317.19319278014,2678,12461,960799,97882.13264445444,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,2016,January,1,Table 51: Instrument-wise Dematerialisation Statistics,CDSL,505,20126,1986,40045.6,97.83683000000002,1465.173558533,226,4354,16009,18703.22,0,0,6344,8643,1235873,1129267.71,63611.16677000001,39849.893922762014,2136,2587,831093,65036.11,0,0,2720,36670,43510,13468.31831304001,3160.8928049300002,1722.1615865068002,354,5675,127627,15654.89168695999,0,0,9569,65439,1281369,1182781.6283130401,66869.89640493003,43037.22906780182,2716,12616,974729,99394.22168696,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,2016,February,2,Table 51: Instrument-wise Dematerialisation Statistics,CDSL,513,20382,1992.0000000000002,40086.51,98.25412999999999,1596.844024461,233,4392,17498,19166.39,0,0,6367,8681,1232058,1042477.59,44007.065010000006,31970.828856032997,2175,2631,844673,66403.38,0,0,2762,37044,44568,13258.688983840952,5021.117133359999,1973.5513093847776,352,5743,127682,16934.55101615905,0,0,9642,66107,1278618,1095822.7889838407,49126.43627336,35541.224189878776,2760,12766,989853,102504.32101615905,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,2016,March,3,Table 51: Instrument-wise Dematerialisation Statistics,CDSL,523,21122,2071,45264.05,171.76781999999997,2350.7009786090002,245,4531,18787,22895.26,0,0,6416,8754,1250904,1184643.55,44975.3223,38270.25548421401,2215,2700,856485,68435.11,0,0,2763,37963,42497,14795.012063778366,5075.02742981,2069.150993154043,366,5966,130610,17958.91793622163,0,0,9702,67839,1295472,1244702.6120637786,50222.117549810006,42690.10745597705,2826,13197,1005882,109289.28793622163,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,2016,April,4,Table 51: Instrument-wise Dematerialisation Statistics,CDSL,520,20856,2035.0000000000002,44079.6,52.17647999999999,1024.5939125569998,242,4484,18375,23824.15,0,0,6402,8732,1241302,1180578.23,40288.506519999995,35640.209718852006,2204,2681,841440,66970.66,0,0,2762,37742,41139.00000000001,14128.757338721141,3314.53906933,1620.2382217276488,359,5903,130384.99999999999,18033.842661278853,0,0,9684,67330,1284476,1238786.5873387211,43655.22206933,38285.04185313665,2805,13068,990200,108828.65266127884,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,2016,May,5,Table 51: Instrument-wise Dematerialisation Statistics,CDSL,523,21122,2071,45264.05,27.38618,937.5051383059999,245,4531,18787,22895.26,0,0,6416,8754,1250904,1184643.55,44776.34238,41418.427020068004,2215,2700,856485,68435.11,0,0,2763,37963,42497,14795.012063778366,3784.9563761400004,1804.6925852081795,366,5966,130609.99999999999,17958.91793622163,0,0,9702,67839,1295472,1244702.6120637786,48588.68493614,44160.62474358218,2826,13197,1005882,109289.28793622163,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,2016,June,6,Table 51: Instrument-wise Dematerialisation Statistics,CDSL,528,21422,2086,44601,194.19796,2648.120000059,252,4594,19265,21068.47,0,0,6428,8769,1261731,1241751.66,53836.15739999999,47381.12313515799,2233,2720,858331,68261.48,0,0,2774,38171,44580,16221.506820543354,3706.1983835600004,2006.3393378236792,363,6049,130831,20609.663179456646,0,0,9730,68362,1308397,1302574.1668205434,57736.55374355999,52035.582473040675,2848,13363,1008427,109939.61317945665,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,2016,July,7,Table 51: Instrument-wise Dematerialisation Statistics,CDSL,533,21671,2070,45277.17,28.580720000000003,792.446826645,257,4641,19764,21036.09,0,0,6428,8786,1267047,1300448.78,65103.85001999999,56524.983444057,2255,2748,859034,68529.45,0,0,2791,38438,46647,17701.297210486147,4111.60191068,2258.452688221878,364,6080,130939.99999999999,20753.682789513856,0,0,9752,68895,1315764,1363427.247210486,69244.03265067999,59575.882958923874,2876,13469,1009738,110319.22278951385,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,2016,August,8,Table 51: Instrument-wise Dematerialisation Statistics,CDSL,537,21942,2075,45935.03,142.51399000000004,2273.447718122,258,4701,21801,24667.12,0,0,6434,8798,1273541,1346607.18,59936.50857,58731.122062815,2299,2795,876256,70325.27,0,0,2777,38795,48780,18444.27366044533,4136.712476849999,2264.643655204726,364,6126,130872,20846.376339554667,0,0,9748,69535,1324396,1410986.4836604453,64215.73503684999,63269.21343614172,2921,13622,1028929,115838.76633955467,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
