fiscal_year,data_from_table,depository,debt_listed_no.of_issuers_debt,debt_listed_no.of_active_instruments,debt_listed_demat_quantity_lakh,debt_listed_demat_value_rs_crore,debt_listed_quantity_settled_during_the_year_lakh,debt_listed_value_settled_during_the_year_rs_crore,debt_unlisted_no.of_issuers_debt,debt_unlisted_no.of_active_instruments,debt_unlisted_demat_quantity_lakh,debt_unlisted_demat_value_rs_crore,debt_unlisted_quantity_settled_during_the_year_lakh,debt_unlisted_value_settled_during_the_year_rs_crore,equity_listed_no.of_companies,equity_listed_no.of_active_instruments,equity_listed_demat_quantity_lakh,equity_listed_demat_value_rs_crore,equity_listed_quantity_settled_during_the_year_lakh,equity_listed_value_settled_during_the_year_rs_crore,equity_unlisted_no.of_companies,equity_unlisted_no.of_active_instruments,equity_unlisted_demat_quantity_lakh,equity_unlisted_demat_value_rs_crore,equity_unlisted_quantity_settled_during_the_year_lakh,equity_unlisted_value_settled_during_the_year_rs_crore,others_listed_no.of_issuers,others_listed_no.of_active_instruments,others_listed_demat_quantity_lakh,others_listed_demat_value_rs_crore,others_listed_quantity_settled_during_the_year_lakh,others_listed_value_settled_during_the_year_rs_crore,others_unlisted_no.of_issuers,others_unlisted_no.of_active_instruments,others_unlisted_demat_quantity_lakh,others_unlisted_demat_value_rs_crore,others_unlisted_quantity_settled_during_the_year_lakh,others_unlisted_value_settled_during_the_year_rs_crore,total_listed_no.of_issuers_of_debt_companies_equity,total_listed_no.of_active_instruments,total_listed_demat_quantity_lakh,total_listed_demat_value_rs_crore,total_listed_quantity_settled_during_the_year_lakh,total_listed_value_settled_during_the_year_rs_crore,total_unlisted_no.of_issuers_of_debt_companies_equity,total_unlisted_no.of_active_instruments,total_unlisted_demat_quantity_lakh,total_unlisted_demat_value_rs_crore,total_unlisted_quantity_settled_during_the_year_lakh,total_unlisted_value_settled_during_the_year_rs_crore,released_on,updated_on,data_source,data_url
2013-14,Table 51: Instrument-wise Dematerialisation Statistics,CDSL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,Table 51: Instrument-wise Dematerialisation Statistics,CDSL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,Table 51: Instrument-wise Dematerialisation Statistics,CDSL,516,20658,2050,43505.45,1.7176781999999997,2350.7009786090002,237,4450,17837,22250.84,0,0,6385,8708,1236763,1158717.31,449.753223,38270.25548421401,2199,2672,836306,66424.91,0,0,2762,37447,54804,17084.027726393884,50.7502742981,2069.150993154043,355,5831,127729,18814.09227360611,0,0,9663,66813,1293617,1219306.787726394,502.2211754981,42690.10745597705,2791,12953,981872,107489.8422736061,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,Table 51: Instrument-wise Dematerialisation Statistics,CDSL,570,23522,2992,52956.07,0.5262339,1640.9860386999999,305,5013,25150,21548.11,0,0,6540,8973,1345675,1540851.3,914.6556630000001,88835.52018525999,2447,3010,980464,105100.12,0,0,2651,40951,67918,26578.010778997424,110.93630609099999,5584.38546294,377,6634,130075,26551.729221002584,0,0,9761,73446,1416585,1620385.3807789974,1026.118202991,96060.89168689998,3129,14657,1135689,153199.9592210026,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,Table 51: Instrument-wise Dematerialisation Statistics,CDSL,568,9196,3035.4,53307.46,26.07,1990.44,323,1590,42812.11,26320.7,0,0,6748,6863,1477471.74,1730199.53,73338.88,63122.54,2905,3075,1067062.84,112812.61,0,0,2440,18502,112277.76,40850.81,30773.09,9628.86,428,1472,135391.34,20489.93,0,0,9756,34561,1592784.9,1824357.8,104138.03,74741.84,3656,6137,1245266.28,159623.23,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,Table 51: Instrument-wise Dematerialisation Statistics,CDSL,561,8293,2930.48749,64924.8011,46.622049999999994,1489.3826759,402,2109,97343.15003,33366.3491,0,0,6407,5903,1766003.09677,1757785.2046,66937.94920000002,67847.910234102,5915,6146,1436669.10536,139408.3631,0,0,2537,19759,161192.84111682,59678.2199,11282.054291000002,8744.059582970001,545,1926,154622.49486096,24530.553999999996,0,0,9505,33955,1930126.42537682,1882388.2256,78266.625541,78081.35249297202,6862,10181,1688634.7502509598,197305.26619999998,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,Table 51: Instrument-wise Dematerialisation Statistics,CDSL,559,7443,3516.2568499999998,66222.7101,47.40579,687.331491699,447,3176,112552.68132999999,41579.5676,0,0,5692,5824,2410848.28064,1329810.84,119019.77067,79163.99031714199,7900,8194,1629139.70597,128540.7629,0,0,2607,20823,260203.83148293,77636.74109999998,29649.289705999996,16521.96645325,730,2569,141004.76847866,28181.750699999997,0,0,8858,34090,2674568.36897293,1473670.2912,148716.466166,96373.28826209101,9077,13939,1882697.15577866,198302.08120000002,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,Table 51: Instrument-wise Dematerialisation Statistics,CDSL,608,7308,3631,76099.99,418.96968999999996,6781.724209242,486,4336,172894.43,45207.84,0,0,5764,5907,2395338.13,2325562.79,2330707.04321,1955759.605905036,9397,9712,1759971.5,139583.74,0,0,2493,20670,266051.86,129889.13,288175.89798049995,179306.154495176,728,2314,146374.11,27592.22,0,0,8865,33885,2665020.99,2531551.9,2619301.9208805,2141847.494609454,10611,16362,2079240.03,212383.8,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,Table 51: Instrument-wise Dematerialisation Statistics,CDSL,666,7061,3461.13862,67001.5963,1631.4013900000002,5966.856266114,575,5086,236167.54552,49743.7679,0,0,5886,6044,2762504.01847,3228356.0198,3422819.38519,3074539.9091005996,10897,11292,2069869.40148,152245.805,0,0,2374,20523,387157.89972786,187244.7686,344397.36486840004,206864.85370209202,874,2841,216507.8093381,32685.5625,0,0,8926,33628,3153123.05681786,3482602.3847,3768848.1514483993,3287371.6190688065,12346,19219,2522544.7563381,234675.1354,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,Table 51: Instrument-wise Dematerialisation Statistics,CDSL,703,7050,3629.6728,72168.65,105.50618,942.5931709,687,6126,241982.9116,61933.1377,0,0,6043,6212,3094500.75989,3405158.1594,174946.48423,163539.28233,12623,13092,2106160.22628,164869.793,0,0,2333,20226,444011.72880267,231667.7195,36293.461858999995,22112.097535999997,1094,3645,238220.08637294,35329.444,0,0,9079,33488,3542142.16149267,3708994.5289,211345.452269,186593.9730369,14404,22863,2586363.22425294,262132.3747,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
