fiscal_year,data_from_table,bse_currency_futures_weekly,bse_currency_futures_1_month,bse_currency_futures_2_month,bse_currency_futures_3_month,bse_currency_futures_gt_3_months,bse_currency_options_week,bse_currency_options_1_month,bse_currency_options_2_month,bse_currency_options_3_month,bse_currency_options_gt_3_months,nse_currency_futures_weekly,nse_currency_futures_1_month,nse_currency_futures_2_month,nse_currency_futures_3_month,nse_currency_futures_gt_3_months,nse_currency_options_weekly,nse_currency_options_1_month,nse_currency_options_2_month,nse_currency_options_3_month,nse_currency_options_gt_3_months,msei_currency_futures_1_month,msei_currency_futures_2_month,msei_currency_futures_3_month,msei_currency_futures_gt_3_months,msei_currency_options_week,msei_currency_options_1_month,msei_currency_options_2_month,msei_currency_options_3_month,msei_currency_options_gt_3_months,released_on,updated_on,data_source,data_url
2013-14,Table 36: Maturity-wise Turnover in Currency Derivative Segment,,184767.24826693995,24881.43503819,932.8790998799999,1234.34933138,,15119.928234250001,9269.1609875,3784.95515575,4322.281812,,2469702.3946035006,395158.96791025007,44131.10650999999,31893.447532750008,,955799.82929325,114852.72073675,715.654757,259.33166075,1829121.4679529998,258882.14842100002,25656.899554499996,10970.5363815,0,270051.4951375,26664.471909499996,431.77556250000004,631.4084040000001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,Table 36: Maturity-wise Turnover in Currency Derivative Segment,,1170823.58918019,124652.83173011,10453.62688158,1144.7402836,,244730.07365000003,90666.3246425,100598.96286225002,165468.1522025,,1820213.59161675,353750.2313735,46388.85770375,27639.726022750005,,678436.33949625,95977.14694825001,1084.9471105,416.84678775000003,515428.2784935,99347.5207305,13681.517517999997,3183.3040579999997,0,16431.339957500004,1586.2622289999997,260.881447,6.278,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,Table 36: Maturity-wise Turnover in Currency Derivative Segment,,1662039.3200000003,179409.97,8750.93,151.48000000000002,,741661.73,70974.68000000001,63234.23,37692.72000000001,,2283299.8202707497,409291.93820475007,36271.92062574999,20469.2815305,,1523244.9870230001,223336.98205225,5802.7294813,167.91711375,243824.5069885,50734.229987,5470.9356955,3323.449091999999,0,19299.8282955,1665.0470405000003,102.4430795,155.10670000000002,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,Table 36: Maturity-wise Turnover in Currency Derivative Segment,,1570858.1343702502,222641.9086735,13202.433876000003,1118.434679,,1221761.1903335,137286.83551825,4461.48516575,309.19624999999996,,1999419.57419375,429520.32765399996,40831.9776135,20007.05629725,,1954971.52651975,398290.2409392499,13984.87507075,50.27651475000001,231099.2632705,52784.17110949999,1532.0654469999997,57.342732999999996,0,12098.3167115,344.8516815,11.6629,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,Table 36: Maturity-wise Turnover in Currency Derivative Segment,,1780792.27,257394.977,14923.9346,3215.2645,,2121666.6662999997,242715.1745,4734.7311,938.8169999999999,,2053700.4049875573,465857.94899617485,52348.62452606601,23778.694599250004,,2029429.0285419738,379758.3814188118,19693.137754249998,3935.9501984999997,79306.76019774997,18863.522521249997,1531.63269525,20.3990325,0,12055.741519000001,3071.17303,582.826,300.72624999999994,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,Table 36: Maturity-wise Turnover in Currency Derivative Segment,40725.2227,2821842.1990000005,328321.5935,9826.4511,1918.3599,128051.31930000002,3701091.8676000005,315307.14819999994,1160.0513,127.1642,,3719229.9872673075,828483.4260320642,70716.60730874559,36497.053710675005,,2646030.735913123,578570.9685492972,242227.87286474998,396594.59092000005,33138.89677774556,4977.641200749999,55.156287,22.9454045,195.252486,5507.6022195000005,3164.6335647500005,176.3905,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,Table 36: Maturity-wise Turnover in Currency Derivative Segment,67678.5734,2427178.9339,346918.81520000007,10602.6005,531.9735000000001,455671.57740000007,3139015.6289000004,235548.33520000003,127.55050000000001,0,,3697571.657083891,991649.223052962,77821.7516105,39596.808018,1353925.464397,2260305.7487352756,607443.4701759835,190662.84264892238,435416.80265292735,39121.48617075,2373.318225,25.85964625,0.3562,975.8633990000001,2765.6421455,61.94307,0,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,Table 36: Maturity-wise Turnover in Currency Derivative Segment,251146.0233,1472403.9682999996,333699.70060000004,12648.0532,10402.8383,816363.5930000001,1855960.5242,371111.3226,27.1622,0,9973.414840749992,4539245.092365551,1023711.5096865994,96953.43803968823,53693.541142536,3577101.2801197506,2467706.7133662556,334290.48013315385,3277.3342074999996,25.074072999999995,89941.32261849998,8329.766647249999,8.835409749999998,0.25721,57.48996224999999,54.15168750000001,2.8574487499999996,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,Table 36: Maturity-wise Turnover in Currency Derivative Segment,518128.0745,2076224.1855000004,334787.2505999999,40767.24900000001,18836.672800000004,945975.5369999995,2194862.3722,296421.9463,28522.546200000004,0,270716.15176625,5020376.457156143,1414692.6366988276,205119.23488783656,147703.2951883616,9458314.15731075,4200021.4661395,455436.82177275,3146.4006292500003,28.00967825,76401.52234450003,12685.712500500002,1133.7801742499998,0.75685,0,9.040676999999999,0.10330349999999999,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,Table 36: Maturity-wise Turnover in Currency Derivative Segment,679702.7851832501,3241394.2589719994,562299.2192589999,28892.17014425,37178.0534725,821493.415029,783162.7403549999,117738.88983799999,1.9646000000000001,0,1054241.7485113968,6581186.625091644,1920327.3123765818,321396.91384221567,238572.81099075056,20075886.957713,7096309.705817608,785977.6140365002,12795.706366499999,177.2690140145,197894.1726,26143.6792,7066.822099,329.9428958,0,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,Table 36: Maturity-wise Turnover in Currency Derivative Segment,265155.58940525,1582715.41855,323528.365603,14354.014708,3740.241036000002,87232.2753185,51139.150599250024,16606.64022175,1343.6427497500003,0,619188.15919525,4685370.845948106,1501948.9385291443,222220.96535619488,173012.63311431,19093760.92444725,7358692.799045251,1360063.1282590001,122684.10330375,7094.07542175,145944.96059725003,72897.09239275,28876.60764525,4.584887749999999,0,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,Table 36: Maturity-wise Turnover in Currency Derivative Segment,425.11490000000003,35255.330579999994,3269.003,186.8305,167.45919999999998,91.472,264.4163,0.0168,0,0,31841.978398268497,1043892.4699382329,284457.76084333606,6939.381283249999,7516.890320750007,57235.032333499985,97647.17126174999,16584.101623500006,3562.4702700000007,406.4674235,45578.43485199999,8524.025897999998,0.10031799999999999,0,0,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
