fiscal_year,data_from_table,bse_index_futures_week,bse_index_futures_1_month,bse_index_futures_2_month,bse_index_futures_3_month,bse_index_futures_gt_3_months,bse_index_options_week,bse_index_options_1_month,bse_index_options_2_month,bse_index_options_3_month,bse_index_options_gt_3_months,nse_index_futures_weekly,nse_index_futures_1_month,nse_index_futures_2_month,nse_index_futures_3_month,nse_index_futures_gt_3_months,nse_index_options_week,nse_index_options_1_month,nse_index_options_2_month,nse_index_options_3_month,nse_index_options_gt_3_months,index_options_week,msei_index_futures_1_month,msei_index_futures_2_month,msei_index_futures_3_month,msei_index_futures_gt_3_months,msei_index_options_week,msei_index_options_1_month,msei_index_options_2_month,msei_index_options_3_month,msei_index_options_gt_3_months,released_on,updated_on,data_source,data_url
2013-14,Table 32: Maturity-wise Turnover of Index Derivatives,0,57370.94123738999,3685.7532149199997,2450.19215297,0,1487.0978540249998,9048365.069074495,5325.218089975001,23.287084500000002,0,0,2651763.0619990006,404904.79213524994,28456.338864374993,172.30767874999998,,25569747.029962126,1981584.765095,144789.49430125,71220.02601525,,49758.92029375001,1636.905268,178.96960225,0.18375,0,60767.48824499999,1951.1266152500002,19.913010999999997,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,Table 32: Maturity-wise Turnover of Index Derivatives,0,41443.13124606,5571.298710744999,1617.8523975899989,0,10634.66525355,20112795.443536986,5695.727666799998,99.388389225,1.215861,0,3570961.865964125,510616.2468765,27893.550471875,0,,37414265.79627463,2285792.067375125,138724.81433987498,83880.79615050001,,47.717209499999996,46.602223499999994,0,0,0,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,Table 32: Maturity-wise Turnover of Index Derivatives,0,11105.964073750001,1283.782979,707.391932,0,2484575.5885878494,1901161.7881310647,502.092786625,4.470732,4.855968,0,3979357.614676125,542901.82407585,34854.02602705,0.14748,,45523951.96401987,3018792.84032745,303735.982853825,105449.79261525003,,0,0,0,0,0,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,Table 32: Maturity-wise Turnover of Index Derivatives,0,2216.0671547499996,50.891721000000004,0,0,0,4469.3449929,0,0,0,0,3725039.830636374,573891.154378975,37009.790766575,0,,65715060.54245138,5187891.507806925,919957.889289625,974377.7570835749,,0,0,0,0,0,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,Table 32: Maturity-wise Turnover of Index Derivatives,0,3179.9259334999997,37.612309875,0,0,0,8.205208875,0,0,0,0,4111021.9244295247,663324.4820874749,36107.985137825,0,,124372408.02916273,7732329.833294548,1210462.2899397,1606676.1353617748,,0,0,0,0,0,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,Table 32: Maturity-wise Turnover of Index Derivatives,0.1793975,38.9789725,0,0,0,2193.129716,0,0,0,0,0,4830550.822451275,699426.870188575,38936.727273675,0,,188629044.53962672,10476230.720466023,1877148.11604105,2319981.5141150756,,0,0,0,0,0,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,Table 32: Maturity-wise Turnover of Index Derivatives,0,14361.50038225,498.1801876249999,73.955676375,0,397.926319125,244775.89704275,788.7469486250001,0,0,0,5872545.3596486,763067.3963837,41699.29309475,0,124336453.48600967,171018883.40244997,9813743.37734148,1979442.7784751502,3543446.2779321256,,0,0,0,0,0,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,Table 32: Maturity-wise Turnover of Index Derivatives,3015.83182575,1774.91841825,160.577764625,58.919088124999995,0,34828525.050075725,226633.718029125,0,0,0,3431.5946490000006,8137363.678916075,835912.6062790501,70937.751084775,0,425110312.20781314,161176513.7202258,3505680.09998955,208554.69850035003,98002.01452674999,,0,0,0,0,0,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,Table 32: Maturity-wise Turnover of Index Derivatives,0.11693775,475.91311887500007,17.55417375,0,0,58804892.37562663,7272941.79165925,0.078015,0,0,909.6390561,7186758.2170286,1109498.6970930248,132211.763685925,0.0528075,1200999597.6392517,401120752.9393787,6640987.79826495,529641.0283340251,206217.89208662498,,0,0,0,0,0,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,Table 32: Maturity-wise Turnover of Index Derivatives,0,58.702923250000005,0,0,0,26716024.862422246,7599229.4733494995,0,0,0,5.6671185,7957458.8821575,1355302.713843475,207917.4585308,0.046897875,2847675212.8167815,876146710.7342554,9352778.667059176,890278.815216375,460753.300146,,0,0,0,0,0,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
