fiscal_year,data_from_table,bse_algo,bse_non_algo,bse_direct_market_access,bse_fow_now,bse_co_location,bse_internet_based_trading,bse_mobile,bse_smart_order_routing,nse_algo,nse_non_algo,nse_direct_market_access,nse_co_location,nse_internet_based_trading,nse_mobile,nse_smart_order_routing,msei_algo,msei_non_algo,msei_internet_based_trading,released_on,updated_on,data_source,data_url
2013-14,Table 24: Mode of Trading in the Cash Segment,,,,,,,,,18.11,49.71,0.82,17.2,11.01,0.65,2.51,85.0124537823222,14.925227058310444,0.06231915936736226,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,Table 24: Mode of Trading in the Cash Segment,16.451666666666668,56.029999999999994,0.5633333333333334,3.516666666666666,15.351666666666667,5.635000000000001,0.5433333333333333,1.9083333333333332,16.13,46.73,0.97,21.79,11.49,1.09,2.27,32.690160620833396,67.3098393791666,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,Table 24: Mode of Trading in the Cash Segment,11.1702,50.3429,0.6448,4.1868,23.6279,6.2294,1.0927,2.6959,17.72,41.62,0.59,24.01,11.32,2.16,2.59,0,100,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,Table 24: Mode of Trading in the Cash Segment,11.7769,53.9439,0.1935,3.421,20.9625,5.6253,1.8706,2.2061,17.08,40.96,1.01,23.16,12.42,3.48,1.9,0,99.75261250182935,0.24738749817066066,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,Table 24: Mode of Trading in the Cash Segment,8.78769999999999,47.3857,0.1372,3.587,28.0371,6.3441,3.0816,2.6395,15.34,37.64,1.15,24.67,14.61,5.06,1.52,0,100,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,Table 24: Mode of Trading in the Cash Segment,8.58109999999999,42.034,0.0687,2.8991,32.3236,6.4766,5.1446,2.4723,16.26,28.62,1.01,28.16,16.24,8.6,1.11,0,100,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,Table 24: Mode of Trading in the Cash Segment,10.035000000000002,37.221666666666664,0.05499999999999999,2.373333333333333,36.67416666666667,6.491666666666666,5.7575,1.3925,15.315833333333336,23.49,1.0333333333333334,31.699166666666667,13.170833333333333,13.9425,1.3416666666666668,0,98.69434588818518,1.3056541118148202,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,Table 24: Mode of Trading in the Cash Segment,6.16,30.75,0.14,1.81,37.17,7.85,15.17,0.94,11.82,17.27,1.08,33.19,12.82,23.05,0.77,,100,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,Table 24: Mode of Trading in the Cash Segment,3.6951,27.1539,0.1778,1.6432,39.2809,8.2278,18.6266,1.1947,12.35,18.83,1.31,34.77,12,20.15,1,,100,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,Table 24: Mode of Trading in the Cash Segment,4.2989,30.299,0.2827,0.9362,36.9209,7.4535,18.1128,1.696,14.703272091308776,18.539587890312955,2.852610083177487,34.11907592260329,9.096429992837116,19.679056742881645,1.0108006102120566,,100,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,Table 24: Mode of Trading in the Cash Segment,6.2067,26.3898,0.2092,0.8109,36.6789,7.3829,20.2988,2.0228,12.786068603000627,18.2966606933173,5.809657964012444,34.33299784549549,8.36529182204457,19.516829736726464,0.8924933354031053,,100,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,Table 24: Mode of Trading in the Cash Segment,4.68,20.07,0.43,0.74,39.6,7.94,24.87,1.68,13.07,14.09,6.84,36.91,7.73,20.59,0.76,,100,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
