fiscal_year,data_from_table,bse_algo,bse_non_algo,bse_direct_market_access,bse_fow_now,bse_co_location,bse_internet_based_trading,bse_mobile,bse_smart_order_routing,nse_algo,nse_non_algo,nse_direct_market_access,nse_fow_now,nse_co_location,nse_internet_based_trading,nse_mobile,nse_smart_order_routing,released_on,updated_on,data_source,data_url
2013-14,Table 27: Mode of Trading in the Equity Derivatives Segment,,,,,,,,,5.43,46.69,8.94,0,28.38,10.22,0.34,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,Table 27: Mode of Trading in the Equity Derivatives Segment,16.033333333333335,16.8,0,1.6916666666666667,65.40666666666667,0.06833333333333334,0,0,3.68,46.22,5.48,0,32.78,11.28,0.55,0.01,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,Table 27: Mode of Trading in the Equity Derivatives Segment,3.908,7.4103,0,8.8987,79.6721,0.111,0,0,4.09,43.05,4.26,0,35.46,12.05,1.02,0.07,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,Table 27: Mode of Trading in the Equity Derivatives Segment,7.4946,7.9527,0,3.7798,79.929,0.8439,0,0,4.07,39.24,7.44,0,34.15,13.5,1.6,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,Table 27: Mode of Trading in the Equity Derivatives Segment,41.2998,12.8862,0,2.0276,42.587,1.1994,0,0,3.69,37.16,7.02,0,35.15,14.83,2.15,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,Table 27: Mode of Trading in the Equity Derivatives Segment,0.907,48.9849,0,49.4955,0.6086,0.004,0,0,4.39,30.79,11.77,0,34.47,15.26,3.32,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,Table 27: Mode of Trading in the Equity Derivatives Segment,4.826666666666665,8.861666666666666,0,55.72583333333332,29.460000000000004,1.1216666666666666,0,0,5.04,26.08,15.528,0,34.47,12.68,6.17,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,Table 27: Mode of Trading in the Equity Derivatives Segment,24.467,0.0459,0,5.4877,68.8784,1.1207,0.0002,0,3.72,18.33,14.33,0,39.33,13.41,10.88,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,Table 27: Mode of Trading in the Equity Derivatives Segment,26.7605,0.0015,0,1.9258,70.6011,0.711,0,0,4.43,16.42,12.25,0,46.84,10.47,9.56,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,Table 27: Mode of Trading in the Equity Derivatives Segment,0.8518,0.0033,0,1.563,95.7665,1.8152,0.0001,0,4.2806810368968184,12.594536195046913,10.649411299093389,0,50.08814296004766,9.625410764178712,12.762651078069828,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,Table 27: Mode of Trading in the Equity Derivatives Segment,3.0861,9.81,0.2078,0.1253,60.8083,10.6061,15.3564,0,4.609782359069986,11.007542481399266,11.624297770720492,0,50.46539688315351,8.622026384252452,13.670954121404296,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,Table 27: Mode of Trading in the Equity Derivatives Segment,3.39,5.99,0.22,0.05,65.66,10.92,13.78,0,5.15,9.24,14.34,0,50.73,7.61,12.92,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
