fiscal_year,year,month,month_numeric,data_from_table,released_on,updated_on,data_source,data_url,period_date,reit_amount_inr_crore,invit_amount_inr_crore
2019-20,2019,April,4,Table 65 Mutual Funds Investment into REITs and InvITs (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2019-04-01,55.99,1084.27
2019-20,2019,May,5,Table 65 Mutual Funds Investment into REITs and InvITs (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2019-05-01,62.11,1073.87
2019-20,2019,June,6,Table 65 Mutual Funds Investment into REITs and InvITs (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2019-06-01,64.13,1064.09
2019-20,2019,July,7,Table 65 Mutual Funds Investment into REITs and InvITs (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2019-07-01,65.52,1047.51
2019-20,2019,August,8,Table 65 Mutual Funds Investment into REITs and InvITs (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2019-08-01,67.86,1045.94
2019-20,2019,September,9,Table 65 Mutual Funds Investment into REITs and InvITs (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2019-09-01,69.49,1033.62
2019-20,2019,October,10,Table 65 Mutual Funds Investment into REITs and InvITs (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2019-10-01,70.76,938.16
2019-20,2019,November,11,Table 65 Mutual Funds Investment into REITs and InvITs (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2019-11-01,75.61,933.66
2019-20,2019,December,12,Table 65 Mutual Funds Investment into REITs and InvITs (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2019-12-01,72.48,947.77
2019-20,2020,January,1,Table 65 Mutual Funds Investment into REITs and InvITs (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2020-01-01,71.08,908.53
2019-20,2020,February,2,Table 65 Mutual Funds Investment into REITs and InvITs (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2020-02-01,77.71,866.17
2019-20,2020,March,3,Table 65 Mutual Funds Investment into REITs and InvITs (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2020-03-01,60.29,727.7
2020-21,2020,April,4,Table 65 Mutual Funds Investment into REITs and InvITs (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2020-04-01,64.87,749.69
2020-21,2020,May,5,Table 65 Mutual Funds Investment into REITs and InvITs (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2020-05-01,58.56,747.48
2020-21,2020,June,6,Table 65 Mutual Funds Investment into REITs and InvITs (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2020-06-01,402.32,968.5
2020-21,2020,July,7,Table 65 Mutual Funds Investment into REITs and InvITs (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2020-07-01,561.77,957.6
2020-21,2020,August,8,Table 65 Mutual Funds Investment into REITs and InvITs (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2020-08-01,578.73,823.58
2020-21,2020,September,9,Table 65 Mutual Funds Investment into REITs and InvITs (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2020-09-01,503.48,800.67
2020-21,2020,October,10,Table 65 Mutual Funds Investment into REITs and InvITs (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2020-10-01,482.58,793.56
2020-21,2020,November,11,Table 65 Mutual Funds Investment into REITs and InvITs (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2020-11-01,489.54,816.61
2020-21,2020,December,12,Table 65 Mutual Funds Investment into REITs and InvITs (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2020-12-01,621.32,787.36
2020-21,2021,January,1,Table 65 Mutual Funds Investment into REITs and InvITs (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2021-01-01,633.53,780.09
