fiscal_year,year,no_of_issuers,financial_corporations_listed_corporate_bonds,financial_corporations_unlisted_corporate_bonds,total_value_of_corporate_bonds_issued_by_financial_corporations,non_financial_corporations_listed_corporate_bonds,non_financial_corporations_unlisted_corporate_bonds,total_value_of_corporate_bonds_issued_by_non_financial_corporations,total_value_of_outstanding_corporate_bonds,released_on,updated_on,data_source,data_url
2012-13,2013.0,830.0,520198.89,318671.07,838869.96,254241.43,232399.68,486641.11,1325511.0699999998,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2014.0,959.0,685088.04,243933.4,929021.44,325545.27,261508.3,587053.57,1516075.0099999998,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,2015.0,1225.0,896729.09,210423.69,1107152.78,426251.77,270456.7,696708.47,1803861.25,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,2016.0,1507.0,1071804.3,194385.05,1266189.34,521711.78,305965.71,827677.49,2093866.83,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,2017.0,1894.0,1346865.52,181020.57,1527886.09,674547.17,337105.23,1011652.39,2539538.48,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,2018.0,2184.0,1571460.27,166981.05,1738441.32,784276.82,439267.09,1223543.91,2961985.23,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,2019.0,2489.0,1711375.74,144752.45,1856128.19,877480.95,496893.03,1374373.98,3230502.17,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,2020.0,2794.0,1808353.69,96263.4,1904617.09,1035636.1,473796.62,1509432.72,3414049.81,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21.,2021.0,3187.0,1904710.2,70087.56,1974797.76,1266452.86,569948.56,1836401.43,3811199.19,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,2022.0,3555.0,1918578.51,112194.71,2030773.23,1318713.12,671272.5,1989985.63,4020758.86,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,2023.0,3856.0,2111403.71,102460.43,2213864.14,1381248.19,721559.46,2102807.66,4316671.800000001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,2024.0,4178.0,2331582.12,120245.71,2451827.83,1467026.85,803155.19,2270182.04,4722009.87,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,2025.0,5384.0,,,3340245.022239379,,,2023309.536053861,5363554.55829324,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
Note: Value of Securities (as per face value) (Rs. in Crs.); data format for  outstanding corporate bonds has been revised from April-24 onwards therefore the listed and unlisted bifurcation is not available for 2024-25.,,,,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
Source: SEBI,,,,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
