fiscal_year,data_from_table,bse_n_5,bse_n_10,bse_n_25,bse_n_50,bse_n_100,nse_n_5,nse_n_10,nse_n_25,nse_n_50,nse_n_100,released_on,updated_on,data_source,data_url
2013-14,Table 20: Percentage Share of Top 'N' Members in Turnover in Equity Cash Segment,16.401992074478677,24.62707402972028,40.89740888539329,57.65619567400517,73.71300115787719,13.896259460918694,24.92351806884557,45.948286227616364,63.69172311399833,78.75080470756816,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,Table 20: Percentage Share of Top 'N' Members in Turnover in Equity Cash Segment,17.74,28.38,47.35,64.14,77.88,14.92870632775953,25.90076601736219,47.822081607074615,64.88,79.46,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,Table 20: Percentage Share of Top 'N' Members in Turnover in Equity Cash Segment,20.81,31.01,50.08,65.58,79.11,17.69399283978313,29.050916606073518,50.49501802316053,67.8275468472614,81.52436109588318,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,Table 20: Percentage Share of Top 'N' Members in Turnover in Equity Cash Segment,30.27,39.54,57.69,72.1,83.82,18.51576766219861,28.945501128063768,50.78493250010826,68.04748353929286,81.71394252135794,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,Table 20: Percentage Share of Top 'N' Members in Turnover in Equity Cash Segment,21.16,33.31,55.24,70.51,82.76,19.752511820047484,30.91070448054473,51.523940094640906,68.44630918318528,82.00671496525531,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,Table 20: Percentage Share of Top 'N' Members in Turnover in Equity Cash Segment,24.17,38.41,61.01,73.45,84.49,22.47322632864762,34.34110667568254,54.603497691488634,72.367360412559,85.69152910596905,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,Table 20: Percentage Share of Top 'N' Members in Turnover in Equity Cash Segment,26.49,40.16,64.55,76.04,85.83,25.4789192396235,39.0203349650064,59.553963724018,75.8707304654644,87.6628863071645,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,Table 20: Percentage Share of Top 'N' Members in Turnover in Equity Cash Segment,33.33,48.81,69.5,81.12,89.68,30.21,43.3,62.99,78.56,89.51,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,Table 20: Percentage Share of Top 'N' Members in Turnover in Equity Cash Segment,35.67,50.48,68.5,80.26,89.39,27.41,40.91,60.25,76.66,88.75,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,Table 20: Percentage Share of Top 'N' Members in Turnover in Equity Cash Segment,39.33,53.18,69.02,79.4,88.91,24.82,38.11,59.64,76.74,89.05,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,Table 20: Percentage Share of Top 'N' Members in Turnover in Equity Cash Segment,35.9,47.49,68.79,81.44,90.03,25.48,38.59,59.21,75.72,88.71,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,Table 20: Percentage Share of Top 'N' Members in Turnover in Equity Cash Segment,42.06,54.31,71,81.26,90.14,26.61,41.5,63.42,78.79,90.55,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
