fiscal_year,data_from_table,bse_n_5,bse_n_10,bse_n_25,bse_n_50,bse_n_100,nse_n_5,nse_n_10,nse_n_25,nse_n_50,nse_n_100,released_on,updated_on,data_source,data_url
2013-14,Table 19:  Percentage Share of Top 'N' Securities in Turnover in Equity Cash Segment,13.8893,21.9404,37.9973,52.9494,67.8045,15.28557341741082,26.23990525440166,46.6291557763298,64.8531086746798,82.04534439486626,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,Table 19:  Percentage Share of Top 'N' Securities in Turnover in Equity Cash Segment,13.3544,18.5576,30.3457,42.3031,57.4842,11.4,18.98009951,34.13,51.32,70.85,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,Table 19:  Percentage Share of Top 'N' Securities in Turnover in Equity Cash Segment,11.1654,17.7127,31.6289,44.0918,58.5321,11.804384377427105,21.011204120149905,37.310379240676866,53.42216517735182,71.73863310145782,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,Table 19:  Percentage Share of Top 'N' Securities in Turnover in Equity Cash Segment,23.89,28.57,38.98,49.56,62.33,10.51209711033149,18.833468355539516,33.42775844046809,48.57888799568136,67.23698015460016,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,Table 19:  Percentage Share of Top 'N' Securities in Turnover in Equity Cash Segment,10.6509,15.7315,26.2105,36.85,51.7392,9.077800679623941,15.47804467482779,29.09696829656282,43.04647821711907,61.30184210736574,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,Table 19:  Percentage Share of Top 'N' Securities in Turnover in Equity Cash Segment,9.529,16.1709,31.0552,44.2911,60.2394,11.681888224868102,20.42520444629442,36.66835750972348,52.56524711098164,70.9286841331209,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,Table 19:  Percentage Share of Top 'N' Securities in Turnover in Equity Cash Segment,15.9616,24.4329,39.5174,52.5185,68.0829,15.549385961708,26.3161666311429,45.6827459459358,60.5789933122552,77.9236461135589,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,Table 19:  Percentage Share of Top 'N' Securities in Turnover in Equity Cash Segment,13.5912,22.5324,38.7416,51.4571,67.043,16.09,26.25,43.58,58.72,76.61,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,Table 19:  Percentage Share of Top 'N' Securities in Turnover in Equity Cash Segment,8.0854,13.7061,24.9273,36.9066,50.6495,10.09,17.49,32.17,46.43,62.69,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,Table 19:  Percentage Share of Top 'N' Securities in Turnover in Equity Cash Segment,7.7347,13.0945,25.3949,37.1818,50.9075,11.06,18.06,32.08,45.92,61.46,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,Table 19:  Percentage Share of Top 'N' Securities in Turnover in Equity Cash Segment,6.886,12.1078,22.8741,33.898,47.016,10.41,15.69,26.18,37.52,53.16,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,Table 19:  Percentage Share of Top 'N' Securities in Turnover in Equity Cash Segment,6.11,10.73,20.8,31.06,43.69,7.96,12.94,24.01,35.9,50.98,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
