year,index_name,country,per_value,pbr_value,dividend_yield_value,data_from_table,released_on,updated_on,data_source,data_url
2013,Bovespa,Brazil,11.48004,1.05677,4.72177,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2014,Bovespa,Brazil,12.36958,1.32129,4.81751,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2015,Bovespa,Brazil,9.19276,1.07176,5.05701,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2016,Bovespa,Brazil,13.59078,1.59831,3.18134,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2017,Bovespa,Brazil,16.62116,1.93222,2.91825,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2018,Bovespa,Brazil,17.0524,1.97821,3.89462,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2019,Bovespa,Brazil,15.56517,2.43324,3.51812,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2020,Bovespa,Brazil,21.48827,2.40117,2.86345,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2021,Bovespa,Brazil,7.0696,1.87195,8.80913,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2022,Bovespa,Brazil,6.12993,1.62652,11.22981,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2023,Bovespa,Brazil,9.32992,1.61899,6.38353,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2024,Bovespa,Brazil,7.52494,1.36226,7.78388,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2025,Bovespa,Brazil,8.65811,1.35865,7.39752,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2013,Dow Jones Industrial Average,United States,17.08088,3.07171,2.23093,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
