fiscal_year,year,investment_grade_highest_safety_aaa_no,investment_grade_highest_safety_aaa_amount_cr,investment_grade_high_safety_aa_no,investment_grade_high_safety_aa_amount_cr,investment_grade_adequate_safety_a_no,investment_grade_adequate_safety_a_amount_cr,investment_grade_moderate_safety_bbb_no,investment_grade_moderate_safety_bbb_amount_cr,non_investment_grade_no,non_investment_grade_amount_cr,total_no,total_amount_cr,released_on,updated_on,data_source,data_url
2013-14,2014,169,758736.8099999999,303,201516.06999999998,187,79790.35999999999,422,81243.98,1351,38475.494,2432,1159762.714,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,2015,201,714359.7705,354,253554.83999999997,246,52227.16,292,28655.370000000003,703,30710.97,1796,1079508.1105,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,2016,178,1031139.63,309,193073.61,214,40889.38,151,6179.600000000001,100,8886.18,952,1280168.4,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,2017,244,1308971.3499999999,418,309641.04,252,61125.48,173,10267.570000000002,117,12714.49,1204,1702719.93,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,2018,280,1596761.05,538,408841.17,322,104834,216,16271.32,88,10928.98,1444,2137636.5199999996,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,2019,279,2080535.77,400,324988.84,349,104665.52,241,20878.506,57,12738.1,1326,2543806.736,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,2020,315,1895046.5899999999,310,196018.72,278,40357.38,202,32699.885000000002,46,10509.96,1151,2174632.5349999997,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,2021,265,2382411.21,457,333028.81,326,51443.56,211,46005.0876,60,12728.7,1319,2825617.3676000005,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,2022,278,1797829.2400000002,358,347376.79,297,63824.909999999996,236,35894.17,66,10536.828999999989,1235,2255461.9390000002,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,2023,266,2019875.816,409,372534.52,372,61654.90000000001,200,18194.870000000003,72,17535.12,1319,2489795.2260000003,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,2024,127,1269289.92,165,153963.38,129,20557.36,62,20601.649999999998,19,5873,502,1470285.31,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
