fiscal_year,month,month_numeric,data_from_table,investment_grade_highest_safety_aaa_no,investment_grade_highest_safety_aaa_amount_cr,investment_grade_high_safety_aa_no,investment_grade_high_safety_aa_amount_cr,investment_grade_adequate_safety_a_no,investment_grade_adequate_safety_a_amount_cr,investment_grade_moderate_safety_bbb_no,investment_grade_moderate_safety_bbb_amount_cr,non_investment_grade_no,non_investment_grade_amount_cr,total_no,total_amount_cr,released_on,updated_on,data_source,data_url
2013-14,April,4,Table 13: Ratings Assigned to Corporate Debt Securities (Maturity ≥ 1 year),15,183239.8,19,15945.84,9,1687.94,24,7508.29,101,1130.25,168,209512.12,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,May,5,Table 13: Ratings Assigned to Corporate Debt Securities (Maturity ≥ 1 year),18,128600,16,12542.5,12,2202.79,31,2495.99,94,1646.0700000000002,171,147487.35,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,June,6,Table 13: Ratings Assigned to Corporate Debt Securities (Maturity ≥ 1 year),9,87867.9,37,18199.18,14,6383.65,32,11304.58,66,1571.334,158,125326.64399999999,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,July,7,Table 13: Ratings Assigned to Corporate Debt Securities (Maturity ≥ 1 year),8,52929.45,30,34646.72,12,1893.04,57,5704.799999999999,116,1736.76,223,96910.76999999999,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,August,8,Table 13: Ratings Assigned to Corporate Debt Securities (Maturity ≥ 1 year),9,23536.460000000003,22,24256,8,10705.039999999999,38,5651.41,177,3351.0499999999997,254,67499.96,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,September,9,Table 13: Ratings Assigned to Corporate Debt Securities (Maturity ≥ 1 year),9,13173.01,35,26602.27,26,21837.71,37,2422.19,117,2490.89,224,66526.07,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,October,10,Table 13: Ratings Assigned to Corporate Debt Securities (Maturity ≥ 1 year),11,29609.309999999998,24,17540.09,13,10744.060000000001,22,4008.67,99,3068.6400000000003,169,64970.76999999999,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,November,11,Table 13: Ratings Assigned to Corporate Debt Securities (Maturity ≥ 1 year),9,26806.5,12,7450,11,2256.88,23,3992.05,74,3461.2999999999997,129,43966.73,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,December,12,Table 13: Ratings Assigned to Corporate Debt Securities (Maturity ≥ 1 year),29,35541.990000000005,38,16470.269999999997,17,4108.53,41,9797.24,108,4323.14,233,70241.17,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,January,1,Table 13: Ratings Assigned to Corporate Debt Securities (Maturity ≥ 1 year),13,44134.54,22,9982.08,15,1797.58,20,16010.389999999998,116,2843.95,186,74768.54,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,February,2,Table 13: Ratings Assigned to Corporate Debt Securities (Maturity ≥ 1 year),19,117299.02,17,4003.21,15,1683.99,25,4205.98,106,3696.33,182,130888.53000000001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,March,3,Table 13: Ratings Assigned to Corporate Debt Securities (Maturity ≥ 1 year),20,15998.83,31,13877.91,35,14489.15,72,8142.39,177,9155.78,335,61664.06,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,April,4,Table 13: Ratings Assigned to Corporate Debt Securities (Maturity ≥ 1 year),17,176883.25,17,9645.689999999999,16,4134.21,27,3219.3,97,2504.69,174,196387.13999999998,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
