fiscal_year,month,month_numeric,data_from_table,total_no_of_issues,total_amount_cr,northern_no_of_issues,northern_amount_cr,eastern_no_of_issues,eastern_amount_cr,western_no_of_issues,western_amount_cr,southern_no_of_issues,southern_amount_cr,central_no_of_issues,central_amount_cr,foreign_no_of_issues,foreign_amount_cr,released_on,updated_on,data_source,data_url
2013-14,April,4,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),7,379.2798944,,,1,12.192,4,94.083388,2,273.00450639999997,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,May,5,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),2,659.780438,1,108.9342,,,1,550.846238,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,June,6,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),4,943.54,2,21.6,,,1,919.14,1,2.8,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,July,7,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),2,416.359353,,,1,416.179205,1,0.180148,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,August,8,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),5,42.894,1,12.75,2,19.02,2,11.123999999999999,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,September,9,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),8,1689.3459312999998,2,257.027035,,,6,1432.3188962999998,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,October,10,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),6,72.87259999999999,1,13.51,1,6.32,3,27.266,,,1,25.7766,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,November,11,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),4,121.78875430000001,1,9,,,2,99.9210043,1,12.86775,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,December,12,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),3,6966.69,2,6960.75,,,1,5.94,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,January,1,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),3,23.5,1,11.52,,,2,11.98,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,February,2,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),5,575.161636,1,498.134,2,14.129999999999999,1,3.02,1,59.877636,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,March,3,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),7,176.6576372,4,23.35,1,3.04,2,150.2676372,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
