fiscal_year,year,total_no_of_issues,total_amount_cr,northern_no_of_issues,northern_amount_cr,eastern_no_of_issues,eastern_amount_cr,western_no_of_issues,western_amount_cr,southern_no_of_issues,southern_amount_cr,central_no_of_issues,central_amount_cr,foreign_no_of_issues,foreign_amount_cr,released_on,updated_on,data_source,data_url
2013-14,2014,56,12067.870244200001,16,7916.575235000001,8,470.881205,26,3306.0873118,5,348.5498924,1,25.7766,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,2015,61,9434.041171775,12,622.3565330000001,5,142.1041361,32,6793.118667074999,11,1876.0008106,1,0.461025,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,2016,84,26431.444360399997,13,5806.665999999999,2,6.5600000000000005,51,16059.189105999998,16,4509.045427,2,49.983827399999996,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,2017,118,32483.368771875004,16,6278.3777864,5,80.2438456,79,18711.2175757,14,6728.043564174999,4,685.486,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,2018,212,99764.95196395,33,7525.228935,9,6446.023450000001,133,73399.39612375,23,11663.573255199999,14,730.7301999999999,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,2019,145,23721.8518533,32,4922.2127252,8,681.6619999999999,87,15753.235584099999,12,2225.142744,6,139.5988,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,2020,79,77049.17201655,18,39119.8924076,2,1503.49,52,34701.79784325,7,1723.9917656999999,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,2021,78,110118.34000000001,12,6731.38,3,474.33,48,87719.56,13,14679.83,2,513.24,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,2022,164,138894.237202145,34,65789.15682224499,13,6397.582478900001,82,41864.389565000005,33,24804.894336,2,38.214,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,2023,238,65823.2154275,39,14304.536800799997,14,2190.0960000000005,138,39306.9027197,36,8167.5939069999995,11,1854.0859999999998,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,2024,340,83092.51624,72,32405.5937092,16,2306.4180997,195,37193.1077387,50,10340.56902,7,846.28728,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,2025,464,210189.857260146,104,41976.986882016005,35,7422.73175456,248,86735.24545750998,65,73204.80221776,12,850.0909482999999,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
