fiscal_year,month,month_numeric,data_from_table,total_no_of_issues,total_amount_cr,ipos_ipos_mainboard_no_of_issues,ipos_ipos_mainboard_amount_cr,ipos_ipos_sme_platform_no_of_issues,ipos_ipos_sme_platform_amount_cr,ipos_total_no_of_issues,ipos_total_amount_cr,other_than_ipos_fpos_no_of_issues,other_than_ipos_fpos_amount_cr,other_than_ipos_rights_no_of_issues,other_than_ipos_rights_amount_cr,released_on,updated_on,data_source,data_url
2013-14,April,4,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),7,379.2798944,1,270.3885064,5,53.89,6,324.27850639999997,0,0,1,55.001388,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,May,5,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),2,659.780438,0,0,,,0,0,0,0,2,659.780438,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,June,6,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),4,943.54,1,919.14,3,24.4,4,943.54,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,July,7,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),2,416.359353,0,0,,,0,0,0,0,2,416.359353,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,August,8,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),5,42.894,0,0,5,42.894,5,42.894,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,September,9,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),8,1689.3459313,0,0,4,48.294,4,48.294,0,0,4,1641.0519313,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,October,10,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),6,72.87259999999999,0,0,6,72.87259999999999,6,72.87259999999999,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,November,11,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),4,121.78875430000001,0,0,2,34,2,34,0,0,2,87.78875430000001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,December,12,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),3,6966.6900000000005,0,0,2,8.05,2,8.05,1,6958.64,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,January,1,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),3,23.5,0,0,3,23.5,3,23.5,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,February,2,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),5,575.157636,0,0,3,17.15,3,17.15,1,498.13,1,59.877636,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,March,3,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),7,176.6576372,0,0,6,33.245000000000005,6,33.245000000000005,0,0,1,143.4126372,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,April,4,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),4,2001.627364,0,0,3,12.309999999999999,3,12.309999999999999,0,0,1,1989.317364,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,May,5,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),6,912.5290654,1,181.25,1,9,2,190.25,0,0,4,722.2790654,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,June,6,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),5,177.0097647,0,0,3,45.82,3,45.82,0,0,2,131.1897647,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,July,7,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),2,8.05,0,0,2,8.05,2,8.05,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,August,8,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),3,27.18,0,0,3,27.18,3,27.18,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,September,9,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),7,2964.8680373999996,2,549.2599344,3,9.489999999999998,5,558.7499344,0,0,2,2406.118103,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,October,10,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),11,233.2095411,1,120.00002669999999,9,80.52,10,200.5200267,0,0,1,32.6895144,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,November,11,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),4,630.1339848,0,0,2,6.5,2,6.5,0,0,2,623.6339848,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,December,12,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),5,389.775333,1,350.43,3,29.4,4,379.83,0,0,1,9.945333,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,January,1,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),3,14.9732,0,0,2,7.21,2,7.21,0,0,1,7.7632,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,February,2,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),4,1590.840241375,0,0,1,2.58,1,2.58,0,0,3,1588.260241375,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,March,3,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),7,483.84464,1,174.71000000000004,5,33.059999999999995,6,207.77000000000004,0,0,1,276.07464,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,April,4,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),10,3943.0343190999993,3,1862.4783264999996,4,9.139999999999999,7,1871.6183264999997,0,0,3,2071.4159925999998,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,May,5,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),5,8902.9260689,3,1412.44,,,3,1412.44,0,0,2,7490.4860689,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,June,6,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),1,4.63,0,0,1,4.63,1,4.63,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,July,7,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),11,442.5180000000001,1,400.00000000000006,9,42.42,10,442.4200000000001,0,0,1,0.098,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,August,8,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),7,989.235999,2,823.216,4,66.02,6,889.236,0,0,1,99.999999,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,September,9,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),9,1700.277,5,1673.847,4,26.43,9,1700.277,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,October,10,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),9,42.615,0,0,9,42.615,9,42.615,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,November,11,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),8,5574.8981475,3,4675.27,1,5.7684,4,4681.0384,0,0,4,893.8597475,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
