fiscal_year,month,month_numeric,data_from_table,listed_only_on_bse_no_of_issues,listed_only_on_bse_amount_rs.crore,listed_only_on_nse_no_of_issues,listed_only_on_nse_amount_rs.crore,listed_both_on_nse_and_bse_no_of_issues,listed_both_on_nse_and_bse_amount_rs.crore,total_no_of_issues,total_amount_rs.crore,released_on,updated_on,data_source,data_url
2013-14,April,4,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,114,11298,78,19134.38,14,11380,206,41811.99,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,May,5,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,113,8787.51,112,17651.13,11,7320,236,33758.64,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,June,6,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,67,10281.97,149,20144.95,6,4787,222,35213.92,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,July,7,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,84,7273.35,48,4549.09,9,360,141,12182.44,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,August,8,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,37,1344.11,15,594.6,3,150,55,2088.71,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,September,9,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,81,7613.59,44,7799.53,3,2350,128,17763.12,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,October,10,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,81,5314.55,61,13532.5,8,4720,150,23567.05,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,November,11,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,50,2070.09,36,3126.85,6,5978,92,11174.94,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,December,12,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,95,8000.04,38,12174.75,10,4102,143,24276.79,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,January,1,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,84,3864.39,51,8813.1,10,8105,145,20782.49,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,February,2,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,78,5646.84,81,11783.85,3,2740,162,20170.69,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,March,3,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,113,7311.09,124,21408.31,7,4544,244,33263.4,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,April,4,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,194,10651.75,94,9122.8,12,3800,300,23574.55,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,May,5,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,39,2685.65,44,6384.2,0,0,83,9069.85,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,June,6,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,83,5763.84,62,6312.3,14,6250,159,18326.14,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,July,7,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,17,491.19,0,0,11,2375,28,2866.19,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,August,8,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,102,8086.43,62,14142.1,10,10647,174,32875.53,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,September,9,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,155,15950.13,138,24082.3,19,18546.1,312,58578.53,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,October,10,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,151,11199.12,123,18789.24,5,8411,279,38399.36,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,November,11,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,165,14943.55,126,16113.85,7,6600,298,37657.4,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,December,12,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,142,11269.1,144,21292.58,10,15336,296,47897.68,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,January,1,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,104,9280.6,72,16030.6,12,20876,188,46187.2,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,February,2,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,114,15571.45,92,16361.05,10,9915,216,41847.5,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,March,3,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,120,12056.57,137,21095,21,13705,278,46856.57,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,April,4,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,186,31282.44,175,37968.3,17,15556,378,84806.74,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,May,5,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,113,8193.06,134,9348.89,4,3150,251,20691.95,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
