fiscal_year,city,data_from_table,released_on,updated_on,data_source,data_url,direct_plan_gross_inflows_inr_crore,direct_plan_net_inflows_inr_crore,regular_plan_gross_inflows_inr_crore,regular_plan_net_inflows_inr_crore
2022-23,Mumbai,Table 62 Resource Mobilised by Mutual Funds under Direct and Regular Plans (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,3789309.5926609463,-50257.237945722736,1095132.958325928,16955.219024306734
2023-24,Mumbai,Table 62 Resource Mobilised by Mutual Funds under Direct and Regular Plans (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,4284622.489961874,87160.85974951877,1010898.9651689883,42101.88541733035
2024-25,Mumbai,Table 62 Resource Mobilised by Mutual Funds under Direct and Regular Plans (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,5156293.161618977,170897.9544973884,992363.7218414084,62794.4806627423
2022-23,Delhi,Table 62 Resource Mobilised by Mutual Funds under Direct and Regular Plans (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,2428200.347017082,10737.730585616366,194704.83053271793,-6585.832353684932
2023-24,Delhi,Table 62 Resource Mobilised by Mutual Funds under Direct and Regular Plans (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,2350789.9208926554,19655.687169076475,221767.7958883039,-9416.410925237013
2024-25,Delhi,Table 62 Resource Mobilised by Mutual Funds under Direct and Regular Plans (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,2736137.8631607764,69124.50125307094,281752.1914845046,3761.915594823964
2022-23,Bangalore,Table 62 Resource Mobilised by Mutual Funds under Direct and Regular Plans (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,415148.0898036575,-4702.512977956629,85603.00956353445,5842.275328668038
2023-24,Bangalore,Table 62 Resource Mobilised by Mutual Funds under Direct and Regular Plans (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,452855.0550280436,3523.0382581410367,101819.66951406866,11625.527441008308
2024-25,Bangalore,Table 62 Resource Mobilised by Mutual Funds under Direct and Regular Plans (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,494597.52235618734,15398.013492643171,115454.24693693515,18819.099249523853
2022-23,Chennai,Table 62 Resource Mobilised by Mutual Funds under Direct and Regular Plans (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,159020.0650123205,5722.159916211673,260668.90665740514,-2561.1847456420583
2023-24,Chennai,Table 62 Resource Mobilised by Mutual Funds under Direct and Regular Plans (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,197888.3055243016,8193.505567937755,338817.740193573,7595.6640908879735
2024-25,Chennai,Table 62 Resource Mobilised by Mutual Funds under Direct and Regular Plans (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,288220.7296653391,17513.717127882075,349344.47628693737,11179.042522166248
2022-23,Kolkata,Table 62 Resource Mobilised by Mutual Funds under Direct and Regular Plans (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,156772.08165098843,-2381.697348083226,126264.00605700532,2943.285904432325
2023-24,Kolkata,Table 62 Resource Mobilised by Mutual Funds under Direct and Regular Plans (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,167186.8055398178,3215.315440702674,135748.28489937805,7387.57585078345
2024-25,Kolkata,Table 62 Resource Mobilised by Mutual Funds under Direct and Regular Plans (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,159224.27913035228,10376.94448664384,150088.7222350118,21579.569749917962
2022-23,Pune,Table 62 Resource Mobilised by Mutual Funds under Direct and Regular Plans (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,291389.5712991771,-4632.098221565106,79832.80772877116,5883.3479221524885
2023-24,Pune,Table 62 Resource Mobilised by Mutual Funds under Direct and Regular Plans (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,269716.98423999606,10907.541721871079,93479.4380260084,9998.59789292238
2024-25,Pune,Table 62 Resource Mobilised by Mutual Funds under Direct and Regular Plans (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,321120.4859219569,12033.904661428405,109394.81842560407,15584.699564696304
2022-23,Ahmedabad,Table 62 Resource Mobilised by Mutual Funds under Direct and Regular Plans (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,245507.3356426775,-7537.1578634227035,41493.748961329795,-656.7058072387869
2023-24,Ahmedabad,Table 62 Resource Mobilised by Mutual Funds under Direct and Regular Plans (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,327855.2508313585,-7535.393495146904,47341.838861127435,4267.1243399349405
2024-25,Ahmedabad,Table 62 Resource Mobilised by Mutual Funds under Direct and Regular Plans (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,477762.36963651614,16127.894397821578,51478.235160573895,9388.033062734936
2022-23,Hyderabad,Table 62 Resource Mobilised by Mutual Funds under Direct and Regular Plans (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,64639.66793052835,7456.744113090285,27527.62978572562,1775.9224502221518
2023-24,Hyderabad,Table 62 Resource Mobilised by Mutual Funds under Direct and Regular Plans (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,84828.25142231352,4708.8221401431165,35015.89626134651,4172.388813392037
2024-25,Hyderabad,Table 62 Resource Mobilised by Mutual Funds under Direct and Regular Plans (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,133668.99929948262,14083.311940380656,40859.530089552965,6813.781433873795
2022-23,Jaipur,Table 62 Resource Mobilised by Mutual Funds under Direct and Regular Plans (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,20677.564229974792,96.7171862531409,9327.299654347942,1710.783485022429
2023-24,Jaipur,Table 62 Resource Mobilised by Mutual Funds under Direct and Regular Plans (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,17345.07355703545,1464.2495833653916,10808.092637186188,2089.247143796888
2024-25,Jaipur,Table 62 Resource Mobilised by Mutual Funds under Direct and Regular Plans (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,20687.213770950926,2608.559295771349,14950.468559035235,4389.495335456021
