fiscal_year,month,month_numeric,data_from_table,bse_no.of_issues,bse_amount_crore,nse_no.of_issues,nse_amount_crore,msei_no.of_issues,msei_amount_crore,common_nse_bse_msei_no.of_issues,common_nse_bse_msei_amount_crore,total_no.of_issues,total_amount_crore,released_on,updated_on,data_source,data_url
2013-14,April,4,Table 6: Resource Mobilisation through Preferential Allotments,14,153.41,0,0,0,0,16,11185.571630951998,30,11338.981630951997,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,May,5,Table 6: Resource Mobilisation through Preferential Allotments,20,286.64,0,0,0,0,32,3767.3056353529996,52,4053.9456353529995,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,June,6,Table 6: Resource Mobilisation through Preferential Allotments,20,162.02000000000004,0,0,0,0,7,11633.360587299998,27,11795.380587299998,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,July,7,Table 6: Resource Mobilisation through Preferential Allotments,14,380.33000000000004,0,0,0,0,6,1140.9180079999999,20,1521.248008,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,August,8,Table 6: Resource Mobilisation through Preferential Allotments,23,132.03000000000003,0,0,0,0,9,830.3781663909999,32,962.4081663909999,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,September,9,Table 6: Resource Mobilisation through Preferential Allotments,14,309.3,0,0,0,0,14,575.6532132030001,28,884.9532132030001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,October,10,Table 6: Resource Mobilisation through Preferential Allotments,13,271.12,0,0,0,0,10,2963.0718941500004,23,3234.1918941500003,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,November,11,Table 6: Resource Mobilisation through Preferential Allotments,12,78.77,0,0,0,0,11,631.686267515,23,710.456267515,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,December,12,Table 6: Resource Mobilisation through Preferential Allotments,8,98.56,0,0,0,0,17,6527.211269746,25,6625.771269746,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,January,1,Table 6: Resource Mobilisation through Preferential Allotments,16,40.9,0,0,0,0,31,11539.916569519999,47,11580.816569519999,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,February,2,Table 6: Resource Mobilisation through Preferential Allotments,14,148.46,0,0,0,0,6,533.890812584,20,682.350812584,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,March,3,Table 6: Resource Mobilisation through Preferential Allotments,22,560.74,0,0,0,0,12,1840.5497880530002,34,2401.289788053,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,April,4,Table 6: Resource Mobilisation through Preferential Allotments,0,0,0,0,0,0,28,3160.0002635829997,28,3160.0002635829997,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,May,5,Table 6: Resource Mobilisation through Preferential Allotments,1,1.288609293,0,0,0,0,43,1165.4604939439998,44,1166.7491032369999,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,June,6,Table 6: Resource Mobilisation through Preferential Allotments,0,0,0,0,0,0,44,3271.199176953999,44,3271.199176953999,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,July,7,Table 6: Resource Mobilisation through Preferential Allotments,0,0,0,0,0,0,29,2159.036012253,29,2159.036012253,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,August,8,Table 6: Resource Mobilisation through Preferential Allotments,0,0,0,0,0,0,23,2264.64996096,23,2264.64996096,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,September,9,Table 6: Resource Mobilisation through Preferential Allotments,0,0,0,0,0,0,25,666.9964883,25,666.9964883,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,October,10,Table 6: Resource Mobilisation through Preferential Allotments,0,0,0,0,0,0,39,2604.7426387069995,39,2604.7426387069995,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,November,11,Table 6: Resource Mobilisation through Preferential Allotments,0,0,0,0,0,0,34,1112.114491403,34,1112.114491403,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,December,12,Table 6: Resource Mobilisation through Preferential Allotments,0,0,0,0,1,3.2,21,606.1090518490001,22,609.3090518490002,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,January,1,Table 6: Resource Mobilisation through Preferential Allotments,0,0,0,0,6,21.2825,26,2537.9540921469998,32,2559.2365921469996,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,February,2,Table 6: Resource Mobilisation through Preferential Allotments,1,133.214844,0,0,2,5.081976,41,1197.2869881549996,44,1335.5838081549996,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,March,3,Table 6: Resource Mobilisation through Preferential Allotments,0,0,0,0,0,0,27,1252.1974127969997,27,1252.1974127969997,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,April,4,Table 6: Resource Mobilisation through Preferential Allotments,0,0,0,0,1,2.04,37,10484.884493859,38,10486.924493859,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,May,5,Table 6: Resource Mobilisation through Preferential Allotments,0,0,0,0,2,1.56,30,5406.523075938999,32,5408.083075938999,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,June,6,Table 6: Resource Mobilisation through Preferential Allotments,0,0,0,0,3,3.15,38,1506.1119621930002,41,1509.2619621930003,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,July,7,Table 6: Resource Mobilisation through Preferential Allotments,0,0,0,0,2,2.9856000000000003,31,657.6518767350001,33,660.6374767350001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,August,8,Table 6: Resource Mobilisation through Preferential Allotments,0,0,0,0,0,0,18,1787.60015686,18,1787.60015686,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,September,9,Table 6: Resource Mobilisation through Preferential Allotments,0,0,0,0,0,0,34,1031.4618243459997,34,1031.4618243459997,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,October,10,Table 6: Resource Mobilisation through Preferential Allotments,0,0,0,0,0,0,23,16382.483333075,23,16382.483333075,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,November,11,Table 6: Resource Mobilisation through Preferential Allotments,0,0,0,0,0,0,29,4903.427502586999,29,4903.427502586999,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,December,12,Table 6: Resource Mobilisation through Preferential Allotments,0,0,0,0,1,0.2055,24,578.520991196,25,578.726491196,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,January,1,Table 6: Resource Mobilisation through Preferential Allotments,0,0,0,0,1,6.8208,29,3939.137246744,30,3945.958046744,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,February,2,Table 6: Resource Mobilisation through Preferential Allotments,0,0,0,0,0,0,28,1509.541280802,28,1509.541280802,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,March,3,Table 6: Resource Mobilisation through Preferential Allotments,0,0,0,0,2,2.7199999999999998,34,2325.754203557,36,2328.474203557,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,April,4,Table 6: Resource Mobilisation through Preferential Allotments,0,0,0,0,2,0.79,47,3929.663601538,49,3930.453601538,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,May,5,Table 6: Resource Mobilisation through Preferential Allotments,0,0,0,0,0,0,64,5218.489019096001,64,5218.489019096001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,June,6,Table 6: Resource Mobilisation through Preferential Allotments,0,0,0,0,1,0.16,32,2009.3435679509998,33,2009.503567951,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,July,7,Table 6: Resource Mobilisation through Preferential Allotments,0,0,0,0,1,0.72,36,1793.8230584719995,37,1794.5430584719995,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,August,8,Table 6: Resource Mobilisation through Preferential Allotments,0,0,0,0,2,13.0999968,17,349.74925077899996,19,362.84924757899995,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,September,9,Table 6: Resource Mobilisation through Preferential Allotments,0,0,0,0,0,0,16,5464.607827133,16,5464.607827133,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,October,10,Table 6: Resource Mobilisation through Preferential Allotments,1,7.11,0,0,1,5.697,29,5831.387307296999,31,5844.194307296999,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,November,11,Table 6: Resource Mobilisation through Preferential Allotments,0,0,0,0,0,0,22,2496.6321305090005,22,2496.6321305090005,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,December,12,Table 6: Resource Mobilisation through Preferential Allotments,0,0,0,0,0,0,34,3124.5736654490006,34,3124.5736654490006,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
