fiscal_year,year,upgraded_no,upgraded_amount_cr,downgraded_no,downgraded_amount_cr,reaffirmed_no,reaffirmed_amount_cr,rating_watch_no,rating_watch_amount_cr,withdrawn_suspended_no,withdrawn_suspended_amount_cr,total_no,total_amount_cr,released_on,updated_on,data_source,data_url
2013-14,2014,225,46605.82399999999,231,102385.13999999997,1788,5015025.418799999,21,12106.29,358,61585.979999999996,2623,5237708.652799999,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,2015,464,187442.75,206,103202.65,1930,5947139.2193,50,60743.4,451,65843.19679999999,3101,6364371.216100001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,2016,347,97274.92599999998,352,411977.06,1747,6634397.828000001,54,53392.5,450,118351.66,2950,7315393.974,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,2017,368,79324.57,189,177619.89,2647,9057498.6416,59,50382.75,600,261346.32,3863,9626172.171600001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,2018,360,154861.12,331,303486.87,3591,10772518.465,134,202450.83,894,249959.15,5310,11683276.435,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,2019,711,314241.217,892,913562.25,5489,12252044.543,494,1124407.72,1101,475759.98,8687,15080015.71,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,2020,252,75088.09,1691,1855652.5500000003,4431,9133682.93,768,739873.1,1197,581427.5700000001,8339,12385724.24,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,2021,307,142129.33,789,300978.09,6708,17111213.622,269,146807.03,1375,1189331.22,9448,18890459.292000003,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,2022,500,308101.435,240,86912.20999999999,7617,16440487.530000001,157,91791.19999999998,1200,553043.498,9714,17480335.873,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,2023,460,269687.23,251,107880.65,7153,18110492.603,135,34838.31,1041,454662.93260000006,9040,18977561.725599997,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,2024,266,120177.50999999998,70,24472.11,2671,8792511.595,58,18517.46,465,846860.175,3530,9802538.850000001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
