fiscal_year,month,month_numeric,data_from_table,upgraded_no,upgraded_amount_cr,downgraded_no,downgraded_amount_cr,reaffirmed_no,reaffirmed_amount_cr,rating_watch_no,rating_watch_amount_cr,withdrawn_suspended_no,withdrawn_suspended_amount_cr,total_no,total_amount_cr,released_on,updated_on,data_source,data_url
2013-14,April,4,Table 14: Review of Accepted Ratings of Corporate Debt Securities (Maturity ≥ 1 year),24,2703.16,5,1350,95,342296.73,1,100,13,701.12,138,347151.00999999995,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,May,5,Table 14: Review of Accepted Ratings of Corporate Debt Securities (Maturity ≥ 1 year),7,262.35,9,2784.08,69,626493.6839999999,1,100,32,1728.23,118,631368.3439999999,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,June,6,Table 14: Review of Accepted Ratings of Corporate Debt Securities (Maturity ≥ 1 year),25,5926.610000000001,16,5790,207,451334.4826,3,7142.96,17,2048.86,268,472242.9126,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,July,7,Table 14: Review of Accepted Ratings of Corporate Debt Securities (Maturity ≥ 1 year),13,2951.7200000000003,8,1699.37,100,430462.31000000006,2,933.3299999999999,15,533.65,138,436580.3800000001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,August,8,Table 14: Review of Accepted Ratings of Corporate Debt Securities (Maturity ≥ 1 year),22,647.88,17,10145.48,133,229307.6426,0,0,40,4394.65,212,244495.65259999997,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,September,9,Table 14: Review of Accepted Ratings of Corporate Debt Securities (Maturity ≥ 1 year),14,796.1799999999998,23,8005.67,365,762813.2172999999,0,0,39,22929.84,441,794544.9072999998,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,October,10,Table 14: Review of Accepted Ratings of Corporate Debt Securities (Maturity ≥ 1 year),7,621.74,21,19292.3,109,211178.75260000007,0,0,28,11903.029999999999,165,242995.82260000007,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,November,11,Table 14: Review of Accepted Ratings of Corporate Debt Securities (Maturity ≥ 1 year),9,3516.2099999999996,41,15633.3,105,312071.70999999996,5,730,20,1153.27,180,333104.49,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,December,12,Table 14: Review of Accepted Ratings of Corporate Debt Securities (Maturity ≥ 1 year),23,6457.73,37,17364.1,227,395937.3226,1,1000,36,3049.5299999999997,324,423808.68260000006,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,January,1,Table 14: Review of Accepted Ratings of Corporate Debt Securities (Maturity ≥ 1 year),28,13880.66,9,5945.23,135,627674.4172999999,3,1400,36,5733.549999999999,211,654633.8572999999,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,February,2,Table 14: Review of Accepted Ratings of Corporate Debt Securities (Maturity ≥ 1 year),23,290.13,25,8742.07,86,264055.5499,2,525,29,3282.37,165,276895.1199,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,March,3,Table 14: Review of Accepted Ratings of Corporate Debt Securities (Maturity ≥ 1 year),30,8551.454000000002,20,5633.54,157,361399.5998999999,3,175,53,4127.88,263,379887.4738999999,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,April,4,Table 14: Review of Accepted Ratings of Corporate Debt Securities (Maturity ≥ 1 year),11,3030.57,9,4499.15,98,171269.13,6,1791.67,35,5598.51,159,186189.03000000003,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,May,5,Table 14: Review of Accepted Ratings of Corporate Debt Securities (Maturity ≥ 1 year),13,2565.79,6,1315.06,91,576346.4972999999,2,950,29,3076.53,141,584253.8772999999,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,June,6,Table 14: Review of Accepted Ratings of Corporate Debt Securities (Maturity ≥ 1 year),63,24489.180000000004,5,10064.83,211,283754.45999999996,18,15199.939999999999,44,754.6500000000001,341,334263.06,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,July,7,Table 14: Review of Accepted Ratings of Corporate Debt Securities (Maturity ≥ 1 year),69,28102.16,42,4234.98,259,427323.91069999995,5,17681.43,66,15877.899999999998,441,493220.3807,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,August,8,Table 14: Review of Accepted Ratings of Corporate Debt Securities (Maturity ≥ 1 year),69,61079.3,11,1350.65,129,523672.81000000006,6,2488.5,48,4295.5268,263,592886.7868,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,September,9,Table 14: Review of Accepted Ratings of Corporate Debt Securities (Maturity ≥ 1 year),89,19294.550000000003,42,22893.89,451,1151409.3299999998,1,1280,42,2379.02,625,1197256.7899999998,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
