fiscal_year,month,month_numeric,data_from_table,total_no_of_issues,total_amount_cr,lt_5_crore_no_of_issues,lt_5_crore_amount_cr,gte_5_crore_lt_10_crore_no_of_issues,gte_5_crore_lt_10_crore_amount_cr,gte_10_crore_lt_50_crore_no_of_issues,gte_10_crore_lt_50_crore_amount_cr,gte_50_crore_lt_100_crore_no_of_issues,gte_50_crore_lt_100_crore_amount_cr,gte_100_crore_lt_500_crore_no_of_issues,gte_100_crore_lt_500_crore_amount_cr,gte_500_crore_no_of_issues,gte_500_crore_amount_cr,released_on,updated_on,data_source,data_url
2013-14,April,4,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),7,379.284,1,2.62,1,5.082,3,46.192,1,55,1,270.39,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,May,5,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),2,659.78,0,0,0,0,0,0,0,0,1,108.93,1,550.85,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,June,6,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),4,943.54,1,2.8,1,6,1,15.6,0,0,0,0,1,919.14,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,July,7,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),2,416.36,1,0.18,0,0,0,0,0,0,1,416.18,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,August,8,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),5,42.894000000000005,1,2.004,2,16.14,2,24.75,0,0,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,September,9,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),8,1689.34,0,0,3,20.54,1,27.75,0,0,2,352.72,2,1288.33,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,October,10,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),6,72.872,1,3.5,2,11.336,3,58.036,0,0,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,November,11,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),4,121.78999999999999,0,0,1,9,2,37.87,1,74.92,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,December,12,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),2,8.05,1,2.11,1,5.94,0,0,0,0,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,January,1,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),4,6982.14,1,4.53,1,7.45,1,11.52,0,0,0,0,1,6958.64,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,February,2,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),5,575.16,1,3.02,2,14.13,0,0,1,59.88,1,498.13,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,March,3,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),7,176.64999999999998,3,9.52,2,13.35,1,10.37,0,0,1,143.41,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,April,4,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),4,2001.6299999999999,2,5.81,1,6.5,0,0,0,0,0,0,1,1989.32,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,May,5,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),6,912.52,0,0,1,9,1,29.72,1,58.92,2,290.36,1,524.52,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,June,6,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),5,177.01,1,4.44,1,7.84,2,41.38,0,0,1,123.35,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,July,7,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),2,8.05,1,2.04,1,6.01,0,0,0,0,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,August,8,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),3,27.18,1,4.96,1,6.59,1,15.63,0,0,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,September,9,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),7,2964.8599999999997,3,9.49,0,0,0,0,0,0,3,955.56,1,1999.81,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,October,10,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),11,233.21,4,14.27,3,24.77,3,74.17,0,0,1,120,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,November,11,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),4,630.1400000000001,2,6.5,0,0,1,24.94,0,0,0,0,1,598.7,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,December,12,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),5,389.78000000000003,1,4.4,2,18.95,1,16,0,0,1,350.43,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,January,1,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),3,14.969999999999999,2,7.21,1,7.76,0,0,0,0,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,February,2,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),4,1590.83,2,3.04,0,0,1,49.98,0,0,0,0,1,1537.81,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,March,3,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),7,483.84,3,10.2,1,7.87,1,14.99,0,0,2,450.78,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,April,4,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),10,3943.04,4,9.14,0,0,0,0,0,0,4,1512.07,2,2421.83,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,May,5,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),5,8902.93,0,0,0,0,0,0,0,0,3,1412.44,2,7490.49,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,June,6,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),1,4.63,1,4.63,0,0,0,0,0,0,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,July,7,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),11,442.52,8,19.83,1,5.45,1,17.24,0,0,1,400,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,August,8,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),7,989.24,1,2.29,1,5.7,2,58.03,1,100,1,273.22,1,550,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,September,9,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),9,1700.28,2,5.53,1,5,1,15.9,1,70,3,1003.85,1,600,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,October,10,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),9,42.61,5,14.75,3,16.52,1,11.34,0,0,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,November,11,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),8,5574.900000000001,1,3.37,1,5.77,0,0,2,150.33,0,0,4,5415.43,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,December,12,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),5,2049.12,1,1.19,0,0,2,69.4,0,0,0,0,2,1978.53,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,January,1,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),3,626.0200000000001,1,4.26,1,8.68,0,0,0,0,0,0,1,613.08,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,February,2,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),11,1473.6799999999998,4,11.43,2,13.48,1,13.65,0,0,4,1435.12,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,March,3,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),5,682.49,1,3.22,2,13.79,1,15.84,0,0,0,0,1,649.64,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,April,4,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),12,2934.5,5,9.88,2,13.83,1,10.01,1,70,2,654.1,1,2176.68,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,May,5,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),9,2569.44,1,2.6,2,13.54,1,30.9,0,0,3,889.38,2,1633.02,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,June,6,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),4,124.76,1,2.51,1,7.65,1,39.6,1,75,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,July,7,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),9,2712.45,3,8.82,2,13.87,1,14.76,0,0,1,400,2,2275,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,August,8,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),5,2529,0,0,0,0,1,11.22,0,0,2,650.82,2,1866.96,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,September,9,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),14,7205.2,3,10.88,5,37.81,3,74.91,0,0,1,130.41,2,6951.19,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,October,10,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),21,1697.47,8,27.23,5,29.06,6,118.45,0,0,1,361,1,1161.73,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,November,11,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),3,4125.44,0,0,0,0,1,12.94,0,0,0,0,2,4112.5,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,December,12,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),7,2538.9399999999996,1,4.07,2,15.75,1,19.65,0,0,0,0,3,2499.47,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,January,1,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),4,50.11,1,4.22,1,5.12,2,40.77,0,0,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,February,2,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),7,1398.46,2,8.56,0,0,4,146.47,0,0,0,0,1,1243.43,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,March,3,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),23,4597.59,4,13.57,5,35.38,8,144.92,1,51.26,2,727.48,3,3624.98,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,April,4,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),16,721.95,3,9.99,4,29.77,6,99.37,1,87.83,2,494.99,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,May,5,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),13,2654.7200000000003,3,10.69,2,13.69,2,54.49,2,126.35,2,511.37,2,1938.13,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
