fiscal_year,year,total_no_of_issues,total_amount_cr,lt_5_crore_no_of_issues,lt_5_crore_amount_cr,gte_5_crore_lt_10_crore_no_of_issues,gte_5_crore_lt_10_crore_amount_cr,gte_10_crore_lt_50_crore_no_of_issues,gte_10_crore_lt_50_crore_amount_cr,gte_50_crore_lt_100_crore_no_of_issues,gte_50_crore_lt_100_crore_amount_cr,gte_100_crore_lt_500_crore_no_of_issues,gte_100_crore_lt_500_crore_amount_cr,gte_500_crore_no_of_issues,gte_500_crore_amount_cr,released_on,updated_on,data_source,data_url
2013-14,2014,56,12067.870244200001,11,30.280148,16,108.97700000000002,14,232.08635000000004,3,189.8000283,7,1789.7722259000002,5,9716.954492,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,2015,61,9434.041171775,22,72.36102500000001,12,95.28475620000002,11,266.810758875,1,58.9240493,10,2290.4968737,5,6650.1637087,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,2016,84,26431.444360399997,29,79.646344,12,74.3844,9,201.4038274,4,320.32633949999996,15,5436.6878025999995,15,20318.9956469,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,2017,118,32483.368371874996,29,92.3336,25,172.01099,30,664.6166678500001,3,196.250436625,12,3813.1955786999997,19,27544.961098699998,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,2018,212,99764.95196394998,28,106.9294,41,279.02959870000007,85,1728.11206375,7,491.4146852,16,5342.8896089,35,91816.57660739998,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,2019,145,23721.851853300002,21,73.427,32,233.28485,64,1397.1033935999997,7,514.9121121999999,10,3734.0927152,11,17769.0317823,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,2020,79,77049.18,19,60.45,12,89.87,27,564.5200000000001,1,60,9,3106.64,11,73167.7,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,2021,77,110018.34000000003,14,46.28630000000001,6,47.407,11,102.35,4,293.28000000000003,14,4147.8879396000175,28,105381.12876040001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,2022,164,138894.246658085,32,111,18,136,49,1315.5560740849999,4,270.690584,13,3172,48,133889,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,2023,238,65823.2227905,22,75.134,37,280.115,117,3087.3290099,15,956.4213199999999,20,6114.443460600001,27,55309.78,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,2024,340,83093,3,9.462,28,218.70821859999998,187,5420.513700500001,38,2473.5783006,29,8297.8353831,55,66671.8786372,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,2025,464,210189.85726014597,9,30.3879025,28,206.71637899999996,256,8097.9175190860005,54,3693.8637799999997,55,12182.003051460002,62,185978.96862809997,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
