fiscal_year,mcx_proprietorship,mcx_partnership,mcx_llp,mcx_corporate,mcx_others,mcx_total,ncdex_proprietorship,ncdex_partnership,ncdex_llp,ncdex_corporate,ncdex_others,ncdex_total,nmce_proprietorship,nmce_partnership,nmce_llp,nmce_corporate,nmce_total,icex_proprietorship,icex_partnership,icex_llp,icex_corporate,icex_total,bse_proprietorship,bse_partnership,bse_llp,bse_corporate,bse_total,nse_proprietorship,nse_partnership,nse_llp,nse_corporate,nse_total,data_from_table,released_on,updated_on,data_source,data_url
2013-14,490,220,0,1109,21,1840,80,75,0,678,6,839,,,,,,,,,,,,,,,,,,,,,Table 77: Stock Brokers on the Basis of Ownership in Commodity Derivatives Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2014-15,459,208,0,1071,21,1759,75,68,0,648,7,798,,,,,,,,,,,,,,,,,,,,,Table 77: Stock Brokers on the Basis of Ownership in Commodity Derivatives Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2015-16,73,51,0,579,6,709,37,50,1,486,4,578,0,2,0,33,35,,,,,,,,,,,78,85,3,1250,1416,Table 77: Stock Brokers on the Basis of Ownership in Commodity Derivatives Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2016-17,69,49,0,568,3,689,30,39,1,412,4,486,2,2,0,37,41,12,6,0,33,51,,,,,,77,83,5,1250,1415,Table 77: Stock Brokers on the Basis of Ownership in Commodity Derivatives Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2017-18,69,55,3,556,0,683,27,34,2,389,1,453,3,2,0,38,43,14,9,1,62,86,,,,,,75,85,11,1235,1406,Table 77: Stock Brokers on the Basis of Ownership in Commodity Derivatives Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2018-19,57,53,7,583,0,700,17,28,2,340,0,387,3,2,0,41,46,20,14,1,103,138,4,5,7,242,258,75,84,17,1227,1403,Table 77: Stock Brokers on the Basis of Ownership in Commodity Derivatives Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2019-20,43,43,8,598,0,692,16,24,1,334,0,375,0,0,0,0,0,16,12,1,106,135,3,5,7,260,275,4,11,7,246,268,Table 77: Stock Brokers on the Basis of Ownership in Commodity Derivatives Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2020-21,33,36,9,558,0,636,15,24,1,325,,365,0,0,0,0,0,16,12,1,105,134,2,6,7,269,284,5,9,8,261,283,Table 77: Stock Brokers on the Basis of Ownership in Commodity Derivatives Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2021-22,22,33,9,528,0,592,8,22,1,304,4,339,0,0,0,0,0,14,10,1,100,125,3,6,8,279,296,4,8,9,263,284,Table 77: Stock Brokers on the Basis of Ownership in Commodity Derivatives Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2022-23,18,26,9,495,,548,6,19,1,279,4,309,0,0,0,0,0,14,9,1,82,106,3,6,8,270,287,5,7,9,271,292,Table 77: Stock Brokers on the Basis of Ownership in Commodity Derivatives Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2023-24,17,24,9,496,,546,9,15,1,225,0,250,0,0,0,0,0,12,9,1,76,98,3,6,8,271,288,7,11,14,320,352,Table 77: Stock Brokers on the Basis of Ownership in Commodity Derivatives Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2024-25,14,24,497,9,0,544,6,12,206,1,0,,0,0,0,0,0,0,0,0,0,0,2,4,280,9,295,6,10,348,14,378,Table 77: Stock Brokers on the Basis of Ownership in Commodity Derivatives Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
