fiscal_year,proprietorship_bse,proprietorship_nse,proprietorship_msei,proprietorship_use,proprietorship_total,partnership_bse,partnership_nse,partnership_msei,partnership_use,partnership_total,llp_bse,llp_nse,llp_msei,llp_use,llp_total,corporate_bse,corporate_nse,corporate_msei,corporate_use,corporate_total,total_number_of_brokers_bse,total_number_of_brokers_nse,total_number_of_brokers_msei,total_number_of_brokers_use,total_number_of_brokers_total,data_from_table,released_on,updated_on,data_source,data_url
2013-14,6,31,38,24,99,2,44,27,,73,,,0,13,13,147,827,765,372,2111,155,902,830,409,2296,Table 76: Stock Brokers on the Basis of Ownership in Currency Derivatives Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2014-15,7,32,37,24,100,3,45,26,,74,,,0,13,13,154,826,731,381,2092,164,903,794,418,2279,Table 76: Stock Brokers on the Basis of Ownership in Currency Derivatives Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2015-16,31,32,35,,98,16,45,24,,85,,,0,,0,535,829,700,,2064,582,906,759,0,2247,Table 76: Stock Brokers on the Basis of Ownership in Currency Derivatives Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2016-17,14,33,33,,80,10,54,22,,86,,,1,,1,494,859,642,,1995,518,946,698,0,2162,Table 76: Stock Brokers on the Basis of Ownership in Currency Derivatives Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2017-18,15,33,33,,81,8,43,20,,71,,,2,,2,530,702,604,,1836,553,778,659,0,1990,Table 76: Stock Brokers on the Basis of Ownership in Currency Derivatives Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2018-19,12,23,32,,67,10,34,19,,63,11,13,2,,26,539,748,554,,1841,572,818,607,0,1997,Table 76: Stock Brokers on the Basis of Ownership in Currency Derivatives Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2019-20,11,15,29,,55,11,31,18,,60,13,17,2,,32,547,730,509,,1786,582,793,558,0,1933,Table 76: Stock Brokers on the Basis of Ownership in Currency Derivatives Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2020-21,10,14,28,,52,10,24,18,,52,12,16,2,,2,547,722,484,,1753,579,776,532,0,1887,Table 76: Stock Brokers on the Basis of Ownership in Currency Derivatives Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2021-22,10,13,28,,51,10,20,18,,48,12,17,2,,31,548,707,459,,1714,580,757,507,,1844,Table 76: Stock Brokers on the Basis of Ownership in Currency Derivatives Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2022-23,8,11,26,,45,8,14,16,,38,14,16,3,,33,525,717,443,,1685,555,758,488,,1801,Table 76: Stock Brokers on the Basis of Ownership in Currency Derivatives Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2023-24,9,11,26,,46,7,14,16,,37,14,18,3,,35,507,711,409,,1627,537,754,454,,1745,Table 76: Stock Brokers on the Basis of Ownership in Currency Derivatives Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2024-25,8,10,25,,43,5,12,16,,33,13,16,3,,32,499,689,400,,1588,525,727,444,,1696,Table 76: Stock Brokers on the Basis of Ownership in Currency Derivatives Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
