fiscal_year,stock_exchange,proprietorship,partnership,corporate,limited_liability_partnership_llp,total,data_from_table,released_on,updated_on,data_source,data_url
2013-14,Ahmedabad,136,22,178,0,336,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2014-15,Ahmedabad,134,22,176,0,332,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2015-16,Ahmedabad,134,22,176,0,332,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2016-17,Ahmedabad,134,22,177,0,333,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2017-18,Ahmedabad,134,22,170,0,326,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2018-19,Ahmedabad,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2019-20,Ahmedabad,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2020-21,Ahmedabad,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2021-22,Ahmedabad,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2022-23,Ahmedabad,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2023-24,Ahmedabad,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2024-25,Ahmedabad,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2013-14,Bangalore,125,6,127,0,258,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2014-15,Bangalore,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2015-16,Bangalore,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2016-17,Bangalore,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2017-18,Bangalore,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2018-19,Bangalore,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2019-20,Bangalore,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2020-21,Bangalore,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2021-22,Bangalore,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2022-23,Bangalore,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2023-24,Bangalore,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2024-25,Bangalore,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2013-14,BSE,167,29,1120,0,1316,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2014-15,BSE,178,28,1189,1,1396,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2015-16,BSE,172,26,1162,1,1361,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2016-17,BSE,164,29,1164,7,1364,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2017-18,BSE,160,28,1152,14,1354,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2018-19,BSE,155,31,1146,16,1348,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2019-20,BSE,153,33,1136,21,1343,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2020-21,BSE,151,31,1128,21,1331,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2021-22,BSE,151,32,1145,20,1348,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2022-23,BSE,127,31,1091,21,1270,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2023-24,BSE,127,32,1080,26,1265,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2024-25,BSE,100,28,1066,33,1227,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2013-14,Bhubaneswar,183,0,16,0,199,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2014-15,Bhubaneswar,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2015-16,Bhubaneswar,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2016-17,Bhubaneswar,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2017-18,Bhubaneswar,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2018-19,Bhubaneswar,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2019-20,Bhubaneswar,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2020-21,Bhubaneswar,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2021-22,Bhubaneswar,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2022-23,Bhubaneswar,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2023-24,Bhubaneswar,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2024-25,Bhubaneswar,0,0,0,,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2013-14,Calcutta,603,43,207,0,853,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2014-15,Calcutta,592,41,208,0,841,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2015-16,Calcutta,591,41,209,0,841,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2016-17,Calcutta,591,41,210,0,842,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2017-18,Calcutta,588,41,195,0,824,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2018-19,Calcutta,591,40,189,0,820,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2019-20,Calcutta,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2020-21,Calcutta,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2021-22,Calcutta,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2022-23,Calcutta,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2023-24,Calcutta,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2024-25,Calcutta,0,0,0,,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2013-14,Cochin,309,9,77,0,395,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2014-15,Cochin,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2015-16,Cochin,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2016-17,Cochin,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2017-18,Cochin,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2018-19,Cochin,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2019-20,Cochin,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2020-21,Cochin,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2021-22,Cochin,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2022-23,Cochin,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2023-24,Cochin,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2024-25,Cochin,0,0,0,,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2013-14,Coimbatore,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2014-15,Coimbatore,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2015-16,Coimbatore,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2016-17,Coimbatore,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
