fiscal_year,month,month_numeric,data_from_table,open_offers_objectives_change_in_control_of_management_no,open_offers_objectives_change_in_control_of_management_amount_cr,open_offers_objectives_consolidation_of_holdings_no,open_offers_objectives_consolidation_of_holdings_amount_cr,open_offers_objectives_substantial_acquisition_no,open_offers_objectives_substantial_acquisition_amount_cr,open_offers_objectives_total_no,open_offers_objectives_total_amount_cr,released_on,updated_on,data_source,data_url
2013-14,April,4,Table 15: Substantial Acquisition of Shares and Takeovers,0,0,6,5579.824699999999,0,0,6,5579.824699999999,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,May,5,Table 15: Substantial Acquisition of Shares and Takeovers,1,53.0494,8,271.1475,0,0,9,324.19689999999997,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,June,6,Table 15: Substantial Acquisition of Shares and Takeovers,0,0,4,119.6457,1,0.7105,5,120.3562,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,July,7,Table 15: Substantial Acquisition of Shares and Takeovers,0,0,10,29249.235600000004,0,0,10,29249.235600000004,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,August,8,Table 15: Substantial Acquisition of Shares and Takeovers,0,0,6,1916.2206000000003,0,0,6,1916.2206000000003,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,September,9,Table 15: Substantial Acquisition of Shares and Takeovers,0,0,9,197.064,0,0,9,197.064,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,October,10,Table 15: Substantial Acquisition of Shares and Takeovers,0,0,3,234.8854,0,0,3,234.8854,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,November,11,Table 15: Substantial Acquisition of Shares and Takeovers,0,0,3,1062.8111,0,0,3,1062.8111,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,December,12,Table 15: Substantial Acquisition of Shares and Takeovers,0,0,5,170.4225,0,0,5,170.4225,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,January,1,Table 15: Substantial Acquisition of Shares and Takeovers,2,6.1610000000000005,5,104.2051,0,0,7,110.3661,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,February,2,Table 15: Substantial Acquisition of Shares and Takeovers,0,0,3,39.550799999999995,1,40.8226,4,80.3734,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,March,3,Table 15: Substantial Acquisition of Shares and Takeovers,2,1.4659,4,6469.3571,0,0,6,6470.823,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,April,4,Table 15: Substantial Acquisition of Shares and Takeovers,0,0,4,63.622800000000005,0,0,4,63.622800000000005,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,May,5,Table 15: Substantial Acquisition of Shares and Takeovers,3,6.417199999999999,0,0,4,64.2654,7,70.6826,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,June,6,Table 15: Substantial Acquisition of Shares and Takeovers,6,1067.8117000000002,1,11448.9198,2,232.22140000000002,9,12748.9529,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,July,7,Table 15: Substantial Acquisition of Shares and Takeovers,5,40.4985,0,0,0,0,5,40.4985,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,August,8,Table 15: Substantial Acquisition of Shares and Takeovers,2,86.2446,0,0,1,36.815,3,123.0596,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,September,9,Table 15: Substantial Acquisition of Shares and Takeovers,5,16.6307,0,0,0,0,5,16.6307,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,October,10,Table 15: Substantial Acquisition of Shares and Takeovers,4,569.7011999999999,0,0,0,0,4,569.7011999999999,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,November,11,Table 15: Substantial Acquisition of Shares and Takeovers,1,1.3291,0,0,1,16.95,2,18.2791,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,December,12,Table 15: Substantial Acquisition of Shares and Takeovers,8,1398.8353000000002,0,0,0,0,8,1398.8353000000002,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,January,1,Table 15: Substantial Acquisition of Shares and Takeovers,1,404.0844,0,0,0,0,1,404.0844,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,February,2,Table 15: Substantial Acquisition of Shares and Takeovers,1,0.8195,0,0,0,0,1,0.8195,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,March,3,Table 15: Substantial Acquisition of Shares and Takeovers,11,820.2995000000001,0,0,0,0,11,820.2995000000001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,April,4,Table 15: Substantial Acquisition of Shares and Takeovers,5,179.8172,0,0,0,0,5,179.8172,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,May,5,Table 15: Substantial Acquisition of Shares and Takeovers,3,13.8963,0,0,1,398.28,4,412.17629999999997,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,June,6,Table 15: Substantial Acquisition of Shares and Takeovers,7,142.5834,0,0,1,19.1434,8,161.72680000000003,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,July,7,Table 15: Substantial Acquisition of Shares and Takeovers,6,97.92720000000001,0,0,0,0,6,97.92720000000001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,August,8,Table 15: Substantial Acquisition of Shares and Takeovers,5,111.96519999999998,0,0,1,0.9273,6,112.89249999999998,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,September,9,Table 15: Substantial Acquisition of Shares and Takeovers,1,38.5211,0,0,0,0,1,38.5211,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,October,10,Table 15: Substantial Acquisition of Shares and Takeovers,0,0,0,0,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,November,11,Table 15: Substantial Acquisition of Shares and Takeovers,0,0,0,0,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,December,12,Table 15: Substantial Acquisition of Shares and Takeovers,0,0,0,0,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,January,1,Table 15: Substantial Acquisition of Shares and Takeovers,0,0,0,0,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,February,2,Table 15: Substantial Acquisition of Shares and Takeovers,0,0,0,0,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,March,3,Table 15: Substantial Acquisition of Shares and Takeovers,0,0,0,0,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,April,4,Table 15: Substantial Acquisition of Shares and Takeovers,3,17.529999999999998,0,0,0,0,3,17.529999999999998,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,May,5,Table 15: Substantial Acquisition of Shares and Takeovers,3,63.629999999999995,0,0,0,0,3,63.629999999999995,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,June,6,Table 15: Substantial Acquisition of Shares and Takeovers,6,74.11,0,0,0,0,6,74.11,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
