fiscal_year,year,month,month_numeric,data_from_table,released_on,updated_on,data_source,data_url,period_date,gross_purchases_rupees_crore,gross_sales_rupees_crore,net_investment_rupees_crore,net_investment_usd_mn,cumulative_net_investment_usd_mn
2013-14,2013,April,4,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2013-04-01,86203.12,75454.67,10748.42,1992.47,173521.57000000007
2013-14,2013,May,5,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2013-05-01,101673.81,73536.15,28137.67,5175.53,178697.10000000006
2013-14,2013,June,6,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2013-06-01,66997.45,111159.15,-44161.72,-7535.63,171161.47000000006
2013-14,2013,July,7,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2013-07-01,75347.96,93471.49,-18123.54,-3025.57,168135.90000000005
2013-14,2013,August,8,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2013-08-01,86775.69,102471.17,-15695.4,-2456.94,165678.96000000005
2013-14,2013,September,9,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2013-09-01,93575.28,86195.98,7379.28,1151.33,166830.29000000004
2013-14,2013,October,10,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2013-10-01,71821.93,69693.71,2128.26000000001,356.499999999999,167186.79000000004
2013-14,2013,November,11,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2013-11-01,65767.52,63634.68,2132.89,343.22,167530.01000000004
2013-14,2013,December,12,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2013-12-01,80132.2,58755.81,21376.4,3459.64,170989.65000000005
2013-14,2014,January,1,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2014-01-01,98552.56,85229.55,13322.96,2186.51,173176.16000000006
2013-14,2014,February,2,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2014-02-01,76085.21,63344.27,12740.96,2054.02,175230.18000000005
2013-14,2014,March,3,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2014-03-01,118075.69,86412.37,31663.32,5174.73,180404.91000000006
2014-15,2014,April,4,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2014-04-01,90853,90435.65,417.339999999998,75.98,180480.89000000007
2014-15,2014,May,5,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2014-05-01,155525.48,121747.2,33778.3,5701.03,186181.92000000007
2014-15,2014,June,6,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2014-06-01,152547.49,121842.04,30705.36,5187.97,191369.89000000007
2014-15,2014,July,7,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2014-07-01,130901.77,94855.86,36045.91,6009.02,197378.91000000006
2014-15,2014,August,8,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2014-08-01,111481.27,89347.6,22133.67,3646.45,201025.36000000007
2014-15,2014,September,9,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2014-09-01,131804.61,110833.08,20971.53,3460.32,204485.68000000008
2014-15,2014,October,10,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2014-10-01,99863.62,83131.89,16731.73,2729.71,207215.39000000007
2014-15,2014,November,11,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2014-11-01,128358.46,102882.32,25476.14,4133.58,211348.97000000006
2014-15,2014,December,12,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2014-12-01,113231.31,101006.55,12224.76,1998.43,213347.40000000005
2014-15,2015,January,1,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2015-01-01,141227.34,107539.15,33688.19,5452.88,218800.28000000006
2014-15,2015,February,2,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2015-02-01,120838.43,96274.8,24563.63,3965.6,222765.88000000006
2014-15,2015,March,3,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2015-03-01,144713.31,123990.21,20723.1,3337.01,226102.89000000007
2015-16,2015,April,4,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2015-04-01,136237.62,120904.71,15332.91,2440.8,228543.69000000006
2015-16,2015,May,5,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2015-05-01,121139.69,135412.17,-14272.48,-2234.5,226309.19000000006
2015-16,2015,June,6,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2015-06-01,143319.98,144927.84,-1607.86,-249.65,226059.54000000007
2015-16,2015,July,7,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2015-07-01,108597.94,103274.99,5322.95,842.17,226901.71000000008
2015-16,2015,August,8,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2015-08-01,111843.85,129368.02,-17524.17,-2645.19,224256.52000000008
2015-16,2015,September,9,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2015-09-01,100344.85,106128.48,-5783.63,-873.55,223382.9700000001
2015-16,2015,October,10,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2015-10-01,121074.6,98724.13,22350.47,3443.87,226826.84000000008
2015-16,2015,November,11,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2015-11-01,81117.23,91943.49,-10826.26,-1640.92,225185.92000000007
2015-16,2015,December,12,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2015-12-01,92441.8,100746.25,-8304.45,-1242.86,223943.06000000008
2015-16,2016,January,1,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2016-01-01,90880.32,99694.03,-8813.71,-1299.72,222643.34000000008
2015-16,2016,February,2,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2016-02-01,87635.58,101351.72,-13716.14,-2001.08,220642.2600000001
2015-16,2016,March,3,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2016-03-01,129784.07,110116.84,19667.23,2937.83,223580.09000000008
2016-17,2016,April,4,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2016-04-01,118609.29,103775.12,14834.17,2233.61,225813.70000000007
2016-17,2016,May,5,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2016-05-01,107126.34,108992.22,-1865.88,-275.58,225538.12000000008
2016-17,2016,June,6,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2016-06-01,117711.31,120218.67,-2507.36,-366.99,225171.1300000001
2016-17,2016,July,7,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2016-07-01,120284.37,100827.11,19457.26,2897.19,228068.3200000001
2016-17,2016,August,8,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2016-08-01,127521.77,121075.32,6446.45,964.08,229032.40000000008
2016-17,2016,September,9,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2016-09-01,146049.82,125817.21,20232.61,3038.58,232070.98000000007
