fiscal_year,year,month,month_numeric,data_from_table,released_on,updated_on,data_source,data_url,period_date,equity_gross_purchase_inr_crore,equity_gross_sales_inr_crore,equity_net_purchase_sales_inr_crore,debt_gross_purchase_inr_crore,debt_gross_sales_inr_crore,debt_net_purchase_sales_inr_crore,total_gross_purchase_inr_crore,total_gross_sales_inr_crore,total_net_purchase_sales_inr_crore
2013-14,2013,April,4,Table 64 Trends in Transactions on Stock Exchanges by Mutual Funds   (₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2013-04-01,6321,7744,-1422.9,151370.5,99516.2,51854.6,157691.5,107260.2,50431.7
2013-14,2013,May,5,Table 64 Trends in Transactions on Stock Exchanges by Mutual Funds   (₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2013-05-01,9067.3,12575.3,3507.9,138989,112149.4,26840.1,148056.3,124724.7,30348
2013-14,2013,June,6,Table 64 Trends in Transactions on Stock Exchanges by Mutual Funds   (₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2013-06-01,9582.3,9851.1,-269,157537.9,92935.6,64602.1,167120.19999999998,102786.70000000001,64333.1
2013-14,2013,July,7,Table 64 Trends in Transactions on Stock Exchanges by Mutual Funds   (₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2013-07-01,10485.1,12653.7,-2168.5,112007.6,135747.7,-23740.2,122493,148401,-25909
2013-14,2013,August,8,Table 64 Trends in Transactions on Stock Exchanges by Mutual Funds   (₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2013-08-01,13109,11502.1,1607,65168.4,61416.6,3752,78277.4,72918.7,5359
2013-14,2013,September,9,Table 64 Trends in Transactions on Stock Exchanges by Mutual Funds   (₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2013-09-01,8172.8,10973.6,-2800.9,122605.7,40636.1,81969.6,130778.5,51609.7,79168.70000000001
2013-14,2013,October,10,Table 64 Trends in Transactions on Stock Exchanges by Mutual Funds   (₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2013-10-01,7157.3,11175.1,-4017.8,91637,54466.1,37171,98794.3,65641.2,33153.2
2013-14,2013,November,11,Table 64 Trends in Transactions on Stock Exchanges by Mutual Funds   (₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2013-11-01,8066.5,8549.1,-482.2,97156.2,55533,41623.5,105222.7,64082.1,41141.3
2013-14,2013,December,12,Table 64 Trends in Transactions on Stock Exchanges by Mutual Funds   (₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2013-12-01,10051,10462.1,-410.9,125320.3,73378.2,51941.7,135371.3,83840.3,51530.799999999996
2013-14,2014,January,1,Table 64 Trends in Transactions on Stock Exchanges by Mutual Funds   (₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2014-01-01,9348.8,11864.3,-2515.3,143613.7,98198.4,45415.4,152962.5,110062.7,42900.1
2013-14,2014,February,2,Table 64 Trends in Transactions on Stock Exchanges by Mutual Funds   (₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2014-02-01,8468.8,9814.1,-1345.4,118152.7,56138.1,62014.8,126621.5,65952.2,60669.4
2013-14,2014,March,3,Table 64 Trends in Transactions on Stock Exchanges by Mutual Funds   (₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2014-03-01,12301.4,16191.1,-3889.9,214183.1,114726.8,99456.5,226484.5,130917.90000000001,95566.6
2014-15,2014,April,4,Table 64 Trends in Transactions on Stock Exchanges by Mutual Funds   (₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2014-04-01,12017.5,14715.4,-2698.1,149934.6,100000.9,49933.8,161952.1,114716.29999999999,47235.700000000004
