fiscal_year,data_from_table,released_on,updated_on,data_source,data_url,equity_gross_purchase,equity_gross_sales,equity_net_purchase_sales,debt_gross_purchase,debt_gross_sales,debt_net_purchase_sales,total_gross_purchase,total_gross_sales,total_net_purchase_sales
2013-14,Table 64 Trends in Transactions on Stock Exchanges by Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,112131.3,133355.60000000003,-14207.9,1537742.0999999999,994842.2,542901.1000000001,1649873.7,1128197.3999999997,528692.9
2014-15,Table 64 Trends in Transactions on Stock Exchanges by Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,231409.40000000002,190686.99999999997,40722.3,1717155.4000000004,1130137.8,587018.4,1948564.8000000003,1320824.7999999998,627740.7
2015-16,Table 64 Trends in Transactions on Stock Exchanges by Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,281334,215191,66144,1497676,1121386,376292,1779010,1336577,442436
2016-17,Table 64 Trends in Transactions on Stock Exchanges by Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,376874.41000000003,320315.76,56558.65000000002,1605937.0999999999,1286083.61,319853.48999999976,1982811.51,1606399.37,376412.1399999998
2017-18,Table 64 Trends in Transactions on Stock Exchanges by Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,667008.82,525239.54,141769.28,1825230.98,1454514.96,370715.95,2492239.8,1979754.5,512485.23
2018-19,Table 64 Trends in Transactions on Stock Exchanges by Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,708991.25,621112.49,87878.75999999998,2267415.5199999996,1877490.3099999998,418096.31000000006,2976406.77,2498602.8,505975.06999999995
2019-20,Table 64 Trends in Transactions on Stock Exchanges by Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,806744.43,715141.68,91602.75,2263316.96,1844703.3000000003,418613.66000000003,3070061.3899999997,2559844.98,510216.41000000003
2020-21,Table 64 Trends in Transactions on Stock Exchanges by Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,765760,886492,-120732,1650572,1422271,228301,2416332,2308763,107568
2021-22,Table 64 Trends in Transactions on Stock Exchanges by Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,1255851.96,1075950.3499999999,179901.61,1631109,1532902.5200000003,98206.48000000001,2886960.9599999995,2608852.8699999996,278108.09
2022-23,Table 64 Trends in Transactions on Stock Exchanges by Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,1227831.7697610548,1059772.7543127346,168059.00544832012,1701976.1112341804,1765239.3296948299,-62985.75846064996,2929807.880995235,2825012.0840075645,105073.25698767016
2023-24,Table 64 Trends in Transactions on Stock Exchanges by Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,1689869.16,1489137.0499999998,200732.11000000004,1900513.16,2096290.51,-195777.35,3590382.3200000003,3585427.5599999996,4954.760000000024
2024-25,Table 64 Trends in Transactions on Stock Exchanges by Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,2832317.1599999997,2362825.78,469491.38,2303492.5999999996,2745314.44,-441821.84,5135809.760000001,5108140.220000001,27669.540000000008
