fiscal_year,year,month,month_numeric,data_from_table,released_on,updated_on,data_source,data_url,period_date,total_aum_inr_crore,aum_held_corporates_inr_crore,aum_held_hnis_inr_crore,aum_held_retail_investors_inr_crore,aum_held_banks_inr_crore,pct_aum_held_corporates,pct_aum_held_hnis,pct_aum_held_retail_investors,pct_aum_held_banks
2013-14,2013,April,4,Table 66 Unit Holding Pattern of Mutual Funds,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2013-04-01,825814.5508477555,413672.8482635246,218085.5201690304,141411.05261082284,52645.1298043772,0.5009270517682947,0.2640853445185128,0.17123826707298226,0.06374933664020978
2013-14,2013,May,5,Table 66 Unit Holding Pattern of Mutual Funds,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2013-05-01,868093.7195212817,443487.53101961035,226717.59509517564,138990.2644815365,58898.328924958936,0.5108751751644692,0.26116718736336575,0.1601097454756198,0.06784789199654499
2013-14,2013,June,6,Table 66 Unit Holding Pattern of Mutual Funds,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2013-06-01,811403.4064037726,423307.32550218137,227671.42104285702,134836.2499343395,25588.409924393425,0.5216977426534664,0.28058967863090606,0.1661765884517891,0.03153599026383685
2013-14,2013,July,7,Table 66 Unit Holding Pattern of Mutual Funds,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2013-07-01,773088.7127108338,399592.76881707984,223690.50964602453,131031.35405475908,18774.080192970654,0.5168782860842822,0.2893464953868674,0.16949070902263977,0.024284509506210982
2013-14,2013,August,8,Table 66 Unit Holding Pattern of Mutual Funds,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2013-08-01,766683.8117188007,398962.9272776903,223246.47868184908,128218.35963263223,16256.04612662882,0.5203747896845112,0.29118454735774435,0.16723759869819624,0.021203064259547856
2013-14,2013,September,9,Table 66 Unit Holding Pattern of Mutual Funds,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2013-09-01,762549.118409973,383696.30352413293,229129.8760743866,133843.5103603759,15879.428451045282,0.5031758535426494,0.30047884200844144,0.17552116595381984,0.020824138495047013
2013-14,2013,October,10,Table 66 Unit Holding Pattern of Mutual Funds,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2013-10-01,848258.2112038806,423394.688541198,236437.91215819013,141852.3302675935,46573.28028595679,0.49913420577479584,0.2787334198894796,0.16722777144269693,0.05490460295086116
2013-14,2013,November,11,Table 66 Unit Holding Pattern of Mutual Funds,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2013-11-01,890143.146514309,455002.0635193058,238214.27168004093,142878.16217662956,54048.649138332075,0.511156059900071,0.2676134424141316,0.16051144440770326,0.06071905327809345
2013-14,2013,December,12,Table 66 Unit Holding Pattern of Mutual Funds,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2013-12-01,845386.6688657632,436466.9034475968,238197.02259372655,145699.93737098755,25022.80548242651,0.5162926262288887,0.28176103476212877,0.1723470959939195,0.0295992430493363
2013-14,2014,January,1,Table 66 Unit Holding Pattern of Mutual Funds,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2014-01-01,904965.1271901868,466978.8446687866,243985.72210129784,139104.2109644667,54896.349491664194,0.5160186073895494,0.2696078719175021,0.1537122335270193,0.06066128720574138
2013-14,2014,February,2,Table 66 Unit Holding Pattern of Mutual Funds,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2014-02-01,917438.419213513,474482.6413200876,246492.0615468396,142592.90636870917,53870.80998231298,0.5171820052258598,0.2686742307545267,0.15542504366772533,0.05871872035672377
2013-14,2014,March,3,Table 66 Unit Holding Pattern of Mutual Funds,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2014-03-01,827786.3241633765,408134.5947558484,248549.41988493304,152842.7122236582,18259.597298936897,0.4930434133087909,0.3002579441453516,0.18464029636891213,0.022058346176945395
2014-15,2014,April,4,Table 66 Unit Holding Pattern of Mutual Funds,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2014-04-01,947251.6327809937,480880.0754391698,251872.7700026302,152871.36685161226,61627.420447712684,0.5076582175185864,0.2658984807058798,0.1613841154359418,0.06505918629750312
2014-15,2014,May,5,Table 66 Unit Holding Pattern of Mutual Funds,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2014-05-01,1012787.0948289285,514634.28970475245,261353.55548072275,168912.03750029966,67887.21215053837,0.5081366975669058,0.2580537971061612,0.16677941332657964,0.06703009200764481
2014-15,2014,June,6,Table 66 Unit Holding Pattern of Mutual Funds,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2014-06-01,985403.055127344,508256.83315563836,273694.9022521922,181862.15597729787,21589.163727355248,0.5157857290080718,0.27774919189470393,0.18455611136074238,0.021908967721401343
2014-15,2014,July,7,Table 66 Unit Holding Pattern of Mutual Funds,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2014-07-01,1026707.0353545514,506635.1383315926,276571.5479321267,181699.46168540433,61800.88739863818,0.493456381310017,0.2693772794072835,0.17697303654168328,0.06019330273440326
2014-15,2014,August,8,Table 66 Unit Holding Pattern of Mutual Funds,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2014-08-01,1036604.3983245742,500909.21603737463,283327.04509080615,188015.0578996612,64353.07925700898,0.4832211949389525,0.2733222486309505,0.18137590213155863,0.0620806542602178
2014-15,2014,September,9,Table 66 Unit Holding Pattern of Mutual Funds,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2014-09-01,996837.7341511431,482911.4165513535,288397.7146043941,192849.70480885293,32678.898138500594,0.48444335522930076,0.2893125979525435,0.19346148144469474,0.032782565325266605
2014-15,2014,October,10,Table 66 Unit Holding Pattern of Mutual Funds,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2014-10-01,1100019.529515404,530044.07487812,300836.3458050307,202309.2029032591,66829.90592400228,0.48184969507916137,0.27348273165437287,0.18391419195292213,0.060753381309005594
2014-15,2014,November,11,Table 66 Unit Holding Pattern of Mutual Funds,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2014-11-01,1118311.1309840546,530197.7089770101,310257.84637780284,210409.73746280678,67445.83815651898,0.47410572450482913,0.27743428262651054,0.1881495512591897,0.06031044160060377
2014-15,2014,December,12,Table 66 Unit Holding Pattern of Mutual Funds,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2014-12-01,1075987.3511005214,518694.636945407,317482.5522203749,212102.15118008363,27708.01076981861,0.4820638796681814,0.2950616026253964,0.19712327562507612,0.025751242095438037
2014-15,2015,January,1,Table 66 Unit Holding Pattern of Mutual Funds,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2015-01-01,1160970.816327712,565688.5867622412,305811.00907724304,233859.94111979697,55611.04476841629,0.4872547860863386,0.26340972983675803,0.2014348145800285,0.047900467424599524
